keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
structures and algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
today some basic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
terminology regarding data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
definitions an algorithm	0.0000000000	0.0	0.0	0.0	1.58496250072	False
organize the data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures an array	0.0000000000	0.0	0.0	0.0	1.58496250072	False
array or list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list for instance	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lot more data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
solve that problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
process develop data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
develop data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
organizing the data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem okay whats	0.0000000000	0.0	0.0	0.0	1.58496250072	False
whats an algorithmic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem an algorithmic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
specification a sorted	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sorted non decreasing	0.0000000000	0.0	0.0	0.0	3.16992500144	False
non decreasing sequence	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence of natural	0.0000000000	0.0	0.0	0.0	1.58496250072	False
numbers of non	0.0000000000	0.0	0.0	0.0	1.58496250072	False
non zero finite	0.0000000000	0.0	0.0	0.0	1.58496250072	False
completely specified input	0.0000000000	0.0	0.0	0.0	1.58496250072	False
input which meet	0.0000000000	0.0	0.0	0.0	1.58496250072	False
meet the specification	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence of sorted	0.0000000000	0.0	0.0	0.0	1.58496250072	False
non decreasing numbers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form a input	0.0000000000	0.0	0.0	0.0	1.58496250072	False
infinitely many input	0.0000000000	0.0	0.0	0.0	3.16992500144	False
describing the actions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
infinitely many algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithms for solving	0.0000000000	0.0	0.0	0.0	3.16992500144	False
notion of good	0.0000000000	0.0	0.0	0.0	1.58496250072	False
right so good	0.0000000000	0.0	0.0	0.0	1.58496250072	False
efficient is good	0.0000000000	0.0	0.0	0.0	1.58496250072	False
takes less memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
working with right	0.0000000000	0.0	0.0	0.0	1.58496250072	False
measures of efficiency	0.0000000000	0.0	0.0	0.0	1.58496250072	False
spending with running	0.0000000000	0.0	0.0	0.0	1.58496250072	False
analyzing this space	0.0000000000	0.0	0.0	0.0	1.58496250072	False
spend in worrying	0.0000000000	0.0	0.0	0.0	1.58496250072	False
efficiency of algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
function of input	0.0000000000	0.0	0.0	0.0	1.58496250072	False
input becomes ten	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ten times larger	0.0000000000	0.0	0.0	0.0	1.58496250072	False
size of input	0.0000000000	0.0	0.0	3.99815157116	4.75488750216	False
algorithm you implement	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithm which means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means you write	0.0000000000	0.0	0.0	0.0	1.58496250072	False
write a program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
language you run	0.0000000000	0.0	0.0	0.0	1.58496250072	False
run the program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program with varying	0.0000000000	0.0	0.0	0.0	1.58496250072	False
varying data sets	0.0000000000	0.0	0.0	0.0	1.58496250072	False
smaller some larger	0.0000000000	0.0	0.0	0.0	1.58496250072	False
larger data sets	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds varying composition	0.0000000000	0.0	0.0	0.0	1.58496250072	False
right and clock	0.0000000000	0.0	0.0	0.0	1.58496250072	False
utility like system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
current time millis	0.0000000000	0.0	0.0	0.0	1.58496250072	False
millis to clock	0.0000000000	0.0	0.0	0.0	1.58496250072	False
out how good	0.0000000000	0.0	0.0	0.0	1.58496250072	False
good your algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
