keyphrase	tfidf	Frequency Occurance Ratio	cuewords	Contiguous Occurance Ratio	dispersion	Phrase Size	localspan	cscore	keyword
d	c	c	c	c	c	c	c	c	d
m									class
limited	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
notion of physically	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
talking about rendering	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
applications in biographics	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
simple primitives	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
wednesday thusday	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
segments	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
graphics shading illumination	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
worth	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
representation is concerned	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
sixty hertz	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
handling	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
display now the idea	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
held first in ninety	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
wednesday	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
criteria we prescribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
collection of primitives	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
form of primitives	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
power of n minus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
motion of the animation	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
force	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
disciplines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
shape of the object	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
raster device	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
established	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
range of my intensity	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
specification	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
fourty percentage	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
reconstruction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
put on the data	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
told	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
discontinuity	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
simultaneously	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
skinner this arm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0633985000288	False
atoms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
assigned for each pixel	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
represented	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
display of such devices	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
application of computer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126797000058	False
study	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False
engineering applications	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	False
specification okay now remember	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	False
