keyphrase	dispersion	tfidf	cscore	keyword
d	c	c	c	d
m				class
albicans 	0.0000000000	0.00785859416328	0.0	False
human immunodeficiency virus 	0.0000000000	0.0	1.58496250072	False
results 	0.0000000000	0.00304011921298	0.0	False
antral glands 	0.0000000000	0.0157171883266	1.0	False
serum vitamin 	0.0000000000	0.0157171883266	1.0	False
four 	0.0000000000	0.0	0.0	False
human 	0.0000000000	0.00304011921298	0.0	False
duodenal 	0.0000000000	0.00785859416328	0.0	False
gastrointestinal 	nan	0.0192738998012	0.0	False
hiv-positive patients 	0.0000000000	0.0314343766531	2.0	False
gastrointestinal function 	0.0000000000	0.0157171883266	1.0	False
absorption 	0.0000000000	0.0235757824898	0.0	False
folate 	0.0000000000	0.00785859416328	0.0	False
symptoms 	0.0000000000	0.0144554248509	0.0	False
folate and serum 	0.0000000000	0.0	1.58496250072	False
tract infection 	0.0000000000	0.0157171883266	1.0	False
symptoms to determine 	0.0000000000	0.0	1.58496250072	False
junction 	0.0000000000	0.00785859416328	0.0	False
normal limits 	0.0000000000	0.0157171883266	1.0	False
biopsy 	0.0000000000	0.0157171883266	0.0	False
ferritin 	0.0000000000	0.00785859416328	0.0	False
yielded 	0.0000000000	0.00785859416328	0.0	False
common in hiv-positive 	0.0000000000	0.0	1.58496250072	False
small intestine 	0.0000000000	0.0157171883266	1.0	False
candida 	0.0000000000	0.00785859416328	0.0	False
revealed nonspecific lymphocytic 	0.0000000000	0.0	1.58496250072	False
level 	0.0000000000	0.0048184749503	0.0	False
absorption test results 	0.0000000000	0.0	1.58496250072	False
antral 	0.0000000000	0.00785859416328	0.0	False
four patients 	0.0000000000	0.0	1.0	False
microscopy 	0.0000000000	0.00785859416328	0.0	False
light microscopy 	0.0000000000	0.0157171883266	1.0	False
crypts 	0.0000000000	0.00785859416328	0.0	False
mucosal 	0.0000000000	0.0048184749503	0.0	False
defect in mucosal 	0.0000000000	0.0	1.58496250072	False
small 	0.0000000000	0.0048184749503	0.0	False
intestinal 	0.0000000000	0.00785859416328	0.0	False
abnormal biochemical 	0.0000000000	0.0157171883266	1.0	False
human immunodeficiency 	0.0000000000	0.0096369499006	0.0	False
b12 levels 	0.0000000000	0.0157171883266	1.0	False
nonspecific lymphocytic inflammation 	0.0000000000	0.0	1.58496250072	False
series 	0.0000000000	0.0048184749503	0.0	False
