keyphrase	dispersion	tfidf	localspan	cscore	keyword
d	c	c	c	c	d
m					class
represent 	0.0000000000	0.00260334665561	0.0	0.0	False
anogenital 	0.0000000000	0.0042458755195	0.0	0.0	False
impact on sexual 	0.0000000000	0.0	0.0	1.58496250072	False
genome as part 	0.0000000000	0.0	0.0	1.58496250072	False
tool for exploring 	0.0000000000	0.0	0.0	1.58496250072	False
study in part 	0.0000000000	0.0	0.0	1.58496250072	False
children 	0.0000000000	0.00260334665561	0.0	0.0	False
issues 	0.0000000000	0.0	0.0	0.0	False
disseminated lesions 	0.0000000000	0.008491751039	0.0	1.0	False
multifaceted tumorigenic pathogens 	0.0000000000	0.0	0.0	1.58496250072	False
adjacent to lesions 	0.0000000000	0.0	0.0	1.58496250072	False
risk 	0.0000000000	0.0042458755195	0.0	0.0	False
replication 	0.0000000000	0.0042458755195	0.0	0.0	False
cellular 	0.0000000000	0.0127376265585	0.0	0.0	False
summarized 	0.0000000000	0.00260334665561	0.0	0.0	False
infectious diseases 	0.0000000000	0.008491751039	0.0	1.0	False
society-wide 	0.0000000000	0.0042458755195	0.0	0.0	False
respiratory 	0.0000000000	0.0042458755195	0.0	0.0	False
transmission 	0.0000000000	0.0127376265585	0.0	0.0	False
vertical transmission 	0.0000000000	0.008491751039	0.0	1.0	False
invasive carcinomas 	0.0000000000	0.008491751039	0.0	1.0	False
prevent 	0.0000000000	0.00164252886389	0.0	0.0	False
differentiation and cancer 	0.0000000000	0.0	0.0	1.58496250072	False
data overwhelmingly 	0.0000000000	0.008491751039	0.0	1.0	False
casual 	0.0000000000	0.0042458755195	0.0	0.0	False
hpv genomes 	0.0000000000	0.008491751039	0.0	1.0	False
transmission may involve 	0.0000000000	0.0	0.0	1.58496250072	False
clinicians 	0.0000000000	0.0042458755195	0.0	0.0	False
represent an important 	0.0000000000	0.0	0.0	1.58496250072	False
cell 	0.0000000000	0.0042458755195	0.0	0.0	False
society-wide campaign 	0.0000000000	0.008491751039	0.0	1.0	False
hpvs represent 	0.0000000000	0.008491751039	0.0	1.0	False
method 	0.0000000000	0.00164252886389	0.0	0.0	False
development of cervical 	0.0000000000	0.0	0.0	1.58496250072	False
pediatrics 	0.0000000000	0.0042458755195	0.0	0.0	False
modes of hpv 	0.0000000000	0.0	0.0	1.58496250072	False
normal tissue 	0.0000000000	0.008491751039	0.0	1.0	False
education on sexually 	0.0000000000	0.0	0.0	1.58496250072	False
subclinical 	0.0000000000	0.0042458755195	0.0	0.0	False
data overwhelmingly suggest 	0.0000000000	0.0	0.0	1.58496250072	False
hpv via abstinence 	0.0000000000	0.0	0.0	1.58496250072	False
papillomaviruses 	0.0000000000	0.008491751039	0.0	0.0	False
involved 	0.0000000000	0.00260334665561	0.0	0.0	False
study 	0.0000000000	0.00164252886389	0.0	0.0	False
perinatal 	0.0000000000	0.0042458755195	0.0	0.0	False
pediatric 	0.0000000000	0.0042458755195	0.0	0.0	False
multifaceted tumorigenic 	0.0000000000	0.008491751039	0.0	0.0	False
children is recurrent 	0.0000000000	0.0	0.0	1.58496250072	False
transmitted diseases 	0.0000000000	0.008491751039	0.0	1.0	False
gene 	0.0000000000	0.008491751039	0.0	0.0	False
clinical importance 	0.0000000000	0.008491751039	0.0	1.0	False
awareness alone falls 	0.0000000000	0.0	0.0	1.58496250072	False
family 	0.0000000000	0.0042458755195	0.0	0.0	False
viral replication 	0.0000000000	0.008491751039	0.0	1.0	False
virus-cell interactions 	0.0000000000	0.008491751039	0.0	1.0	False
propagated in tissue 	0.0000000000	0.0	0.0	1.58496250072	False
highly 	0.0000000000	0.0042458755195	0.0	0.0	False
visible 	0.0000000000	0.0042458755195	0.0	0.0	False
tissue adjacent 	0.0000000000	0.008491751039	0.0	1.0	False
dna 	0.0000000000	0.0127376265585	0.0	0.0	False
hpv dna 	0.0000000000	0.025475253117	2.96428571429	3.0	False
society-wide campaign directed 	0.0000000000	0.0	0.0	1.58496250072	False
viral-induced abnormal 	0.0000000000	0.008491751039	0.0	1.0	False
type 	0.0000000000	0.00164252886389	0.0	0.0	False
part sexually transmitted 	0.0000000000	0.0	0.0	1.58496250072	False
hpv transmission 	0.0000000000	0.016983502078	0.0	2.0	False
infection 	0.0000000000	0.00328505772777	0.0	0.0	False
knowledge of hpv 	0.0000000000	0.0	0.0	1.58496250072	False
widely disseminated 	0.0000000000	0.008491751039	0.0	1.0	False
hpv gene functions 	0.0000000000	0.0	0.0	1.58496250072	False
making 	0.0000000000	0.00260334665561	0.0	0.0	False
life-threatening 	0.0000000000	0.0042458755195	0.0	0.0	False
hpv-induced illness 	0.0000000000	0.008491751039	0.0	1.0	False
involve 	0.0000000000	0.0042458755195	0.0	0.0	False
protective 	0.0000000000	0.0042458755195	0.0	0.0	False
allowed 	0.0000000000	0.0042458755195	0.0	0.0	False
low copy 	0.0000000000	0.008491751039	0.0	1.0	False
goal 	0.0000000000	0.00260334665561	0.0	0.0	False
fortunately 	0.0000000000	0.0042458755195	0.0	0.0	False
genomes 	0.0000000000	0.008491751039	0.0	0.0	False
lesions 	1.0000000000	0.016983502078	0.0	0.0	False
adjacent 	0.0000000000	0.0042458755195	0.0	0.0	False
important considerations 	0.0000000000	0.008491751039	0.0	1.0	False
difficult to treat 	0.0000000000	0.0	0.0	1.58496250072	False
subclinical infections 	0.0000000000	0.008491751039	0.0	1.0	False
data 	0.0000000000	0.00260334665561	0.0	0.0	False
hpv infections 	0.0000000000	0.008491751039	0.0	1.0	False
