keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
computer networks prof	0.0000000000	0.0	0.0	0.0	3.16992500144	False
networks prof sujoy	0.0000000000	0.0	0.0	0.0	1.58496250072	False
prof sujoy ghosh	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sujoy ghosh iit	0.0000000000	0.0	0.0	0.0	3.16992500144	False
ghosh iit kharagpur	0.0000000000	0.0	0.0	0.0	3.16992500144	False
iit kharagpur lecture	0.0000000000	0.0	0.0	0.0	3.16992500144	False
emergence of networks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
networks & reference	0.0000000000	0.0	0.0	0.0	1.58496250072	False
professor sujoy ghosh	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ghosh of iit	0.0000000000	0.0	0.0	0.0	1.58496250072	False
science and engineering	0.0000000000	0.0	0.0	0.0	1.58496250072	False
emergence of computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
protocols and reference	0.0000000000	0.0	0.0	0.0	1.58496250072	False
view of computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
networks the text	0.0000000000	0.0	0.0	0.0	1.58496250072	False
top down approach	0.0000000000	0.0	0.0	0.0	1.58496250072	False
featuring the internet	0.0000000000	0.0	0.0	0.0	1.58496250072	False
internet by kurose	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data and communication	0.0000000000	0.0	0.0	0.0	1.58496250072	False
communication by william	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stallings and computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
books the first	0.0000000000	0.0	0.0	0.0	1.58496250072	False
network ? computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of computers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lines two computers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
two computers connected	0.0000000000	0.0	0.0	0.0	1.58496250072	False
network can communicate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means that computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
network in order	0.0000000000	0.0	0.0	0.0	1.58496250072	False
order to communicate	0.0000000000	0.0	0.0	1.99799062291	4.75488750216	False
nodes are computers	0.0000000000	0.0	0.0	0.0	3.16992500144	False
kinds of network	0.0000000000	0.0	0.0	0.0	1.58496250072	False
devices like switches	0.0000000000	0.0	0.0	1.99799062291	4.75488750216	False
facilitate the communication	0.0000000000	0.0	0.0	0.0	1.58496250072	False
communication and running	0.0000000000	0.0	0.0	0.0	1.58496250072	False
switches and routers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
presently the computers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computers can communicate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kind of information	0.0000000000	0.0	0.0	0.0	3.16992500144	False
basic and major	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computers can replace	0.0000000000	0.0	0.0	0.0	1.58496250072	False
replace a large	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computation to perform	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pieces and assign	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computers the small	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form the final	0.0000000000	0.0	0.0	0.0	1.58496250072	False
coming into vogue	0.0000000000	0.0	0.0	0.0	1.58496250072	False
mode of communication	0.0000000000	0.0	0.0	0.0	1.58496250072	False
communicate through voice	0.0000000000	0.0	0.0	0.0	1.58496250072	False
communicate through video	0.0000000000	0.0	0.0	0.0	1.58496250072	False
communication is converging	0.0000000000	0.0	0.0	0.0	1.58496250072	False
network and nowadays	0.0000000000	0.0	0.0	0.0	1.58496250072	False
communication are converging	0.0000000000	0.0	0.0	0.0	1.58496250072	False
necessarily of distributed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
railway reservation system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer to handle	0.0000000000	0.0	0.0	0.0	1.58496250072	False
place and form	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form a huge	0.0000000000	0.0	0.0	0.0	1.58496250072	False
distribute this functionality	0.0000000000	0.0	0.0	0.0	1.58496250072	False
functionality that means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
examples of distributed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
distributed reservation system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
