sujoy ghosh department::sujoy ghosh department
department of computer::department of computer
science and engineering::science and engineering
day so ttoday::day so ttoday
fiber optic communication::fiber optic communication
heard tthis lecture::heard tthis lecture
couple of lectures::couple of lectures
lectures will concentrate::lectures will concentrate
concentrate on fiber::concentrate on fiber
fiber optic components::fiber optic components
fiber optic systems::fiber optic systems
talking about today::talking about today
wavelength division multiplexing::wavelength division multiplexing
multiplexing is done::multiplexing is done
handled in fiber::handled in fiber
fiber optic domain::fiber optic domain
domain tthe fiber::domain tthe fiber
tthe fiber optic::tthe fiber optic
traffic in terms::traffic in terms
terms of volume::terms of volume
forty to fifty::forty to fifty
fiber as days::fiber as days
demand for bandwidth::demand for bandwidth
talking about fiber::talking about fiber
optic components today::optic components today
sso in fiber::sso in fiber
fiber optic component::fiber optic component
talk little bit::talk little bit
sources and receivers::sources and receivers
carrier of information::carrier of information
components like amplifiers::components like amplifiers
multiplexers and switches::multiplexers and switches
start our discussion::start our discussion
discussion on wavelength::discussion on wavelength
sso optical fiber::sso optical fiber
transparent silica glass::transparent silica glass
aat a moderate::aat a moderate
light is restricted::light is restricted
total internal reflection::total internal reflection
reflection for ordinary::reflection for ordinary
fiber ok mmf::fiber ok mmf
lans for low::lans for low
speeds or short::speeds or short
kind of fiber::kind of fiber
bbut the multimode::bbut the multimode
low speed wwhen::low speed wwhen
comparatively low speed::comparatively low speed
mbps or hundred::mbps or hundred
hundred and fifty::hundred and fifty
fifty five mbps::fifty five mbps
couple of kilometers::couple of kilometers
carries the signal::carries the signal
remember our discussion::remember our discussion
fibers in physical::fibers in physical
shown some diagrams::shown some diagrams
strand of glass::strand of glass
glass fiber tthis::glass fiber tthis
tthis is surrounded::tthis is surrounded
made of glass::made of glass
carrying the signal::carrying the signal
signal tthe surrounding::signal tthe surrounding
coated or covered::coated or covered
tthen it acts::tthen it acts
mode of operations::mode of operations
details of eelectro::details of eelectro
mmagnetics and wave::mmagnetics and wave
wave guide propagation::wave guide propagation
propagation of optics::propagation of optics
mode of propagation::mode of propagation
single mode fiber::single mode fiber
mode fiber smf::mode fiber smf
fibers which span::fibers which span
span across oceans::span across oceans
marvel of engineering::marvel of engineering
engineering and technology::engineering and technology
single mode fibers::single mode fibers
fifteen fifty nanometer::fifteen fifty nanometer
window is preferred::window is preferred
long haul applications::long haul applications
easily get good::easily get good
good optical amplifiers::good optical amplifiers
fifteen fifty nanometer1550::fifteen fifty nanometer1550
nanometer1550 nm range::nanometer1550 nm range
kind of low::kind of low
nanometeris another window::nanometeris another window
discuss optical amplifiers::discuss optical amplifiers
require optical amplifiers::require optical amplifiers
losses in fiber,losses::losses in fiber,losses
fiber,losses in fiber::fiber,losses in fiber
thing is absorption::thing is absorption
atom and absorbs::atom and absorbs
magnitude or lower::magnitude or lower
longer and longer::longer and longer
scattering of photons::scattering of photons
due to slight::due to slight
index of glass::index of glass
mie scattering due::mie scattering due
due to imperfection::due to imperfection
made to rigorous::made to rigorous
types of scattering::types of scattering
leading to losses::leading to losses
losses in fiber::losses in fiber
lowering of signal::lowering of signal
means that tthe::means that tthe
frequency the trouble::frequency the trouble
specially a digital::specially a digital
lot of spectral::lot of spectral
harmonics or components::harmonics or components
perfect square shape::perfect square shape
specific strengths compared::specific strengths compared
ddue to differential::ddue to differential
shape has changed::shape has changed
dispersion ? chromatic::dispersion ? chromatic
wavelength or frequency::wavelength or frequency
chromatic different spectral::chromatic different spectral
components of pulse::components of pulse
group velocity dispersion::group velocity dispersion
dispersion so wwe::dispersion so wwe
kind of velocity::kind of velocity
kind of dispersion::kind of dispersion
fiber for compensating::fiber for compensating
compensating these dispersions::compensating these dispersions
nowadays some special::nowadays some special
types of fibers::types of fibers
reduced dispersion fiber::reduced dispersion fiber
fiber by dispersion::fiber by dispersion
dispersion shifted fibers::dispersion shifted fibers
sort of acted::sort of acted
acted on nonzero::acted on nonzero
nonzero dispersion shifted::nonzero dispersion shifted
ninety five percent95::ninety five percent95
deployed plant dispersion::deployed plant dispersion
dispersion is measured::dispersion is measured
measured in pico::measured in pico
fiber these days::fiber these days
short haul applications::short haul applications
bother about dispersion::bother about dispersion
dispersion shifted characteristics::dispersion shifted characteristics
bandwidth span product::bandwidth span product
kind of distance::kind of distance
kinds of transmission::kinds of transmission
sso a transmission::sso a transmission
increase the rate::increase the rate
increase the frequency::increase the frequency
data rate constant::data rate constant
constant and increase::constant and increase
increase the length::increase the length
kind of medium::kind of medium
bandwidth distance product::bandwidth distance product
sort of constant::sort of constant
speed for lets::speed for lets
double the data::double the data
kind of smf::kind of smf
point five giga::point five giga
forty kilometers640 kms::forty kilometers640 kms
kms without amplification::kms without amplification
kms a decent::kms a decent
four hundred kilometers::four hundred kilometers
kms,ok which spans::kms,ok which spans
ten giga bits::ten giga bits
multiply these figures::multiply these figures
figures for dwdm::figures for dwdm
talk about wdm::talk about wdm
number of channels::number of channels
realize really tremendous::realize really tremendous
tremendous data rate::tremendous data rate
high data rate::high data rate
advantage of fiber::advantage of fiber
susceptible to electromagnetic::susceptible to electromagnetic
thing because nowadays::thing because nowadays
noisy electromagnetic ambience::noisy electromagnetic ambience
fiber is immune::fiber is immune
point about fiber::point about fiber
led light source::led light source
multi mode fiber::multi mode fiber
fiber or single::fiber or single
led one good::led one good
sso the good::sso the good
