networks prof .sujoy::networks prof .sujoy
prof .sujoy ghosh::prof .sujoy ghosh
.sujoy ghosh indian::.sujoy ghosh indian
ghosh indian institute::ghosh indian institute
institute of technology::institute of technology
technology i.i.t kharagpur::technology i.i.t kharagpur
i.i.t kharagpur lecture::i.i.t kharagpur lecture
two protocol stacks::two protocol stacks
osi protocol stack::osi protocol stack
stack in detail::stack in detail
cpi pre reference::cpi pre reference
pre reference stack::pre reference stack
characteristics of physical::characteristics of physical
data can travel::data can travel
two different modes::two different modes
modes of communication::modes of communication
kind of signal::kind of signal
represents a series::represents a series
zeros ? stream::zeros ? stream
stream of bits::stream of bits
media to carry::media to carry
divided into channels::divided into channels
sort of divide::sort of divide
give different channels::give different channels
users ; specific::users ; specific
medium and technology::medium and technology
speed of communication::speed of communication
communication will depend::communication will depend
channel can carry::channel can carry
represent the values::represent the values
carry the digital::carry the digital
harmonics ? harmonics::harmonics ? harmonics
means the sin::means the sin
sin x constant::sin x constant
sin 2x constant::sin 2x constant
pure sin wave::pure sin wave
make a comparison::make a comparison
comparison of analog::comparison of analog
analog verses digital::analog verses digital
verses digital signals::verses digital signals
digital signals digital::digital signals digital
signals digital signals::signals digital signals
prone that means::prone that means
kind of distortion::kind of distortion
source and destination::source and destination
limited extent errors::limited extent errors
talking about analog::talking about analog
control over signal::control over signal
limitations in technology::limitations in technology
signal still rules::signal still rules
statement that digital::statement that digital
affects an analog::affects an analog
hard to deduce::hard to deduce
deduce the original::deduce the original
kind of noise::kind of noise
signal gets distorted::signal gets distorted
signal was sort::signal was sort
sort of square::sort of square
easily in digital::easily in digital
channel is concerned::channel is concerned
number of signal::number of signal
number of bits::number of bits
transmit ? suppose::transmit ? suppose
bits in terms::bits in terms
terms of digital::terms of digital
higher the bandwidth::higher the bandwidth
higher the number::higher the number
regenerate slightly damaged::regenerate slightly damaged
slightly damaged signals::slightly damaged signals
weaker in strength::weaker in strength
result of noise::result of noise
lose some information::lose some information
loss of information::loss of information
case of digital::case of digital
fault-tolerant or resistant::fault-tolerant or resistant
resistant to noise::resistant to noise
compared to analog::compared to analog
errors in transmission::errors in transmission
advantage of digital::advantage of digital
bytes of error-checking::bytes of error-checking
error is detected::error is detected
bits called bytes::bits called bytes
add an extra::add an extra
byte would make::byte would make
flipped that means::flipped that means
bits was supposed::bits was supposed
dictate the number::dictate the number
station was odd::station was odd
case the receiver::case the receiver
receiver may request::receiver may request
request the sender::request the sender
sender to retransmit::sender to retransmit
kind of error-checking::kind of error-checking
sophisticated error-checking methods::sophisticated error-checking methods
error-checking methods employed::error-checking methods employed
employed in networks::employed in networks
networks and communication::networks and communication
error-checking and correction::error-checking and correction
correction of error::correction of error
sophisticated coding technique::sophisticated coding technique
carry sensitive information::carry sensitive information
e-banking is coming::e-banking is coming
coming in vogue::coming in vogue
network similarly e-commerce::network similarly e-commerce
buy something online::buy something online
transaction take place::transaction take place
sending some information::sending some information
credit card number::credit card number
set of numbers::set of numbers
snoops and finds::snoops and finds
out the stream::out the stream
out the original::out the original
application these days::application these days
digital transmission compression::digital transmission compression
compress a message::compress a message
message before transmission::message before transmission
transmission and decompress::transmission and decompress
network is lighter::network is lighter
load is lighter::load is lighter
lossy compression techniques::lossy compression techniques
non-lossy compression techniques::non-lossy compression techniques
compression techniques lossy::compression techniques lossy
techniques lossy compression::techniques lossy compression
lossy compression technique::lossy compression technique
send a digital::send a digital
photograph a digital::photograph a digital
serve the purpose::serve the purpose
purpose sometimes loss::purpose sometimes loss
compression is acceptable::compression is acceptable
taking less amount::taking less amount
amount of space::amount of space
compression and decompression::compression and decompression
kind of overhead::kind of overhead
presence or absence::presence or absence
voltage might represent::voltage might represent
represent a binary::represent a binary
voltage i interpret::voltage i interpret
kind of electrical::kind of electrical
electrical signal traveling::electrical signal traveling
light for communication::light for communication
communication the presence::communication the presence
presence of light::presence of light
absence of light::absence of light
wave to encode::wave to encode
form the current::form the current
signal is digital::signal is digital
forced to send::forced to send
send some digital::send some digital
signal by analog::signal by analog
preferred analog signal::preferred analog signal
signal will transmit::signal will transmit
transmit whatever signal::transmit whatever signal
digital or analog::digital or analog
kind of regeneration::kind of regeneration
trouble with amplifiers::trouble with amplifiers
out the noise::out the noise
noise and regenerate::noise and regenerate
regenerate the original::regenerate the original
signal becomes weak::signal becomes weak
make it stronger::make it stronger
noise is coming::noise is coming
data using analog::data using analog
transmission is concerned::transmission is concerned
recover the pattern::recover the pattern
pattern of zeros::pattern of zeros
carries digital data::carries digital data
analog signal carries::analog signal carries
signal carries digital::signal carries digital
recovers the digital::recovers the digital
generates new clean::generates new clean
clean analog signal::clean analog signal
essentially an analog::essentially an analog
computer is digital::computer is digital
make this digital::make this digital
digital data ride::digital data ride
reaches the telephone::reaches the telephone
back to digital::back to digital
encode digital information::encode digital information
amplitude shift keying::amplitude shift keying
two binary numbers::two binary numbers
two different amplitudes::two different amplitudes
amplitudes of carrier::amplitudes of carrier
kbps on voice::kbps on voice
voice grade lines::voice grade lines
transmit digital data::transmit digital data
data over optical::data over optical
signal is analog::signal is analog
signal is supposed::signal is supposed
amplitude and high::amplitude and high
give this high::give this high
low amplitude analog::low amplitude analog
amplitude analog signal::amplitude analog signal
kind of thing::kind of thing
efficient more common::efficient more common
so-called frequency shift::so-called frequency shift
frequency shift keying::frequency shift keying
keying in frequency::keying in frequency
two different frequencies::two different frequencies
two binary digits::two binary digits
susceptible to error::susceptible to error
error than amplitude::error than amplitude
so-called phase shift::so-called phase shift
phase shift keying::phase shift keying
keying two binary::keying two binary
represented by phase::represented by phase
shift of carrier::shift of carrier
efficient and noise::efficient and noise
resistant than fsk::resistant than fsk
voice grade line::voice grade line
simple phase shift::simple phase shift
complex phase shift::complex phase shift
techniques in order::techniques in order
order to achieve::order to achieve
achieve even higher::achieve even higher
higher data rates::higher data rates
data rates nowadays::data rates nowadays
common to combine::common to combine
combine phase shift::combine phase shift
shift and amplitude::shift and amplitude
line the modems::line the modems
technique called multilevel::technique called multilevel
signaling each signal::signaling each signal
phase or frequency::phase or frequency
bit or bits::bit or bits
kind of technique::kind of technique
bits of information::bits of information
number of times::number of times
times the signal::times the signal
signal will change::signal will change
rate and bit::rate and bit
encoding of analog::encoding of analog
system are nowadays::system are nowadays
nowadays entirely digital::nowadays entirely digital
in-between in order::in-between in order
advantages of robustness::advantages of robustness
