sujoy ghosh indian
ghosh indian institute
institute of technology
technology iit kharagpur
iit kharagpur lecture
sharing a medium
good day today
talk about multiplexing
means different users
users are sharing
medium for communication
medium can carry
carry one signal
signals to share
share one medium
giving each signal
signal a portion
communication is concerned
bandwidth to facilitate
facilitate the communication
number of pairs
pairs of senders
senders and receivers
idea of multiplexing
expensive ? leased
packet switching networks
laying of lines
lay a line
amount of communication
multiplexing and compression
saves a lot
lot of money
send a lot
lot of data
devices individually require
individually require modest
require modest amount
amount of data
number of users
requirements are aggregated
accomplish this include
frequency division multiplexing
wavelength division multiplexing
code division multiplexing
scheme of multiplexing
number of sender
sender ? receiver
pairs are utilizing
physical link in-between
alternative to multiplexing
direct point-to-point connection
number of problems
problems the first
amount of wiring
floors another important
line the host
host polls machines
saves i port
total communications load
rate of line
data is multiplexed
number of lines
link carries multiple
carries multiple channels
channels of information
types of multiplexer
multiplexing ; tdm
multiplexing ; stdm
statistical time division
bandwidth that means
means the entire
channel is dedicated
spectrum is divided
number of logical
channel is divided
user has exclusive
fdm sends signals
distinct frequency ranges
radiation can pass
pass electromagnetic radiation
range of bandwidth
so-called radio frequencies
radio frequencies constitute
constitute one part
fairly important part
bandwidth of radio
frequencies is divided
divided into small
tune our radio
number of stations
cable tv providers
give one cable
apparently is carrying
carrying a number
number of channels
hundreds of channels
channels these days
carry multiple video
multiple video channels
out of question
imagine the cost
cost of stringing
hundred cables coming
signal is modulated
frequency ; carrier
frequencies are separated
separated by guard
bands this guard
band is important
range of frequencies
occupy ; first
non-overlapping the range
separation in frequencies
transmission medium exceeds
medium exceeds required
exceeds required bandwidth
transmit signals broadcast
signals broadcast radio
radio and television
television and amps
amps cellular phone
cellular phone system
system use frequency
division multiplexing amps
kind of cellular
complex multiplexing techniques
multiplexing this technique
assignment of non-overlapping
non-overlapping frequency ranges
user or signal
signals are transmitted
frequencies a multiplexer
multiplexer accepts inputs
inputs and assigns
multiplexer is attached
high-speed communications line
bands on individual
frequencies the communication
multiplexer or demultiplexer
line and separates
separates the multiplexed
separate them out
involves analog signaling
susceptible to noise
noise in digital
sort of clean
clean the noise
noise more easily
dedicated to user
frequency ? frequency
kind of scheme
