sujoy ghosh indian::sujoy ghosh indian
ghosh indian institute::ghosh indian institute
institute of technology::institute of technology
technology iit kharagpur::technology iit kharagpur
iit kharagpur lecture::iit kharagpur lecture
sharing a medium::sharing a medium
good day today::good day today
talk about multiplexing::talk about multiplexing
means different users::means different users
users are sharing::users are sharing
medium for communication::medium for communication
medium can carry::medium can carry
carry one signal::carry one signal
signals to share::signals to share
share one medium::share one medium
giving each signal::giving each signal
signal a portion::signal a portion
communication is concerned::communication is concerned
bandwidth to facilitate::bandwidth to facilitate
facilitate the communication::facilitate the communication
number of pairs::number of pairs
pairs of senders::pairs of senders
senders and receivers::senders and receivers
idea of multiplexing::idea of multiplexing
expensive ? leased::expensive ? leased
packet switching networks::packet switching networks
laying of lines::laying of lines
lay a line::lay a line
amount of communication::amount of communication
multiplexing and compression::multiplexing and compression
saves a lot::saves a lot
lot of money::lot of money
send a lot::send a lot
lot of data::lot of data
devices individually require::devices individually require
individually require modest::individually require modest
require modest amount::require modest amount
amount of data::amount of data
number of users::number of users
requirements are aggregated::requirements are aggregated
accomplish this include::accomplish this include
frequency division multiplexing::frequency division multiplexing
wavelength division multiplexing::wavelength division multiplexing
code division multiplexing::code division multiplexing
scheme of multiplexing::scheme of multiplexing
number of sender::number of sender
sender ? receiver::sender ? receiver
pairs are utilizing::pairs are utilizing
physical link in-between::physical link in-between
alternative to multiplexing::alternative to multiplexing
direct point-to-point connection::direct point-to-point connection
number of problems::number of problems
problems the first::problems the first
amount of wiring::amount of wiring
floors another important::floors another important
line the host::line the host
host polls machines::host polls machines
saves i port::saves -NONE- port
total communications load::total communications load
rate of line::rate of line
data is multiplexed::data is multiplexed
number of lines::number of lines
link carries multiple::link carries multiple
carries multiple channels::carries multiple channels
channels of information::channels of information
types of multiplexer::types of multiplexer
multiplexing ; tdm::multiplexing ; tdm
multiplexing ; stdm::multiplexing ; stdm
statistical time division::statistical time division
bandwidth that means::bandwidth that means
means the entire::means the entire
channel is dedicated::channel is dedicated
spectrum is divided::spectrum is divided
number of logical::number of logical
channel is divided::channel is divided
user has exclusive::user has exclusive
fdm sends signals::fdm sends signals
distinct frequency ranges::distinct frequency ranges
radiation can pass::radiation can pass
pass electromagnetic radiation::pass electromagnetic radiation
range of bandwidth::range of bandwidth
so-called radio frequencies::so-called radio frequencies
radio frequencies constitute::radio frequencies constitute
constitute one part::constitute one part
fairly important part::fairly important part
bandwidth of radio::bandwidth of radio
frequencies is divided::frequencies is divided
divided into small::divided into small
tune our radio::tune our radio
number of stations::number of stations
cable tv providers::cable tv providers
give one cable::give one cable
apparently is carrying::apparently is carrying
carrying a number::carrying a number
number of channels::number of channels
hundreds of channels::hundreds of channels
channels these days::channels these days
carry multiple video::carry multiple video
multiple video channels::multiple video channels
out of question::out of question
imagine the cost::imagine the cost
cost of stringing::cost of stringing
hundred cables coming::hundred cables coming
signal is modulated::signal is modulated
frequency ; carrier::frequency ; carrier
frequencies are separated::frequencies are separated
separated by guard::separated by guard
bands this guard::bands this guard
band is important::band is important
range of frequencies::range of frequencies
occupy ; first::occupy ; first
non-overlapping the range::non-overlapping the range
separation in frequencies::separation in frequencies
transmission medium exceeds::transmission medium exceeds
medium exceeds required::medium exceeds required
exceeds required bandwidth::exceeds required bandwidth
transmit signals broadcast::transmit signals broadcast
signals broadcast radio::signals broadcast radio
radio and television::radio and television
television and amps::television and amps
amps cellular phone::amps cellular phone
cellular phone system::cellular phone system
system use frequency::system use frequency
division multiplexing amps::division multiplexing amps
kind of cellular::kind of cellular
complex multiplexing techniques::complex multiplexing techniques
multiplexing this technique::multiplexing this technique
assignment of non-overlapping::assignment of non-overlapping
non-overlapping frequency ranges::non-overlapping frequency ranges
user or signal::user or signal
signals are transmitted::signals are transmitted
frequencies a multiplexer::frequencies a multiplexer
