sujoy ghosh dept::sujoy ghosh dept
dept of computer::dept of computer
science & engineering::science & engineering
engineering iit kharagpur::engineering iit kharagpur
iit kharagpur lecture::iit kharagpur lecture
telecom networks good::telecom networks good
networks good day::networks good day
day ! today::day ! today
talk about telecom::talk about telecom
networks that means::networks that means
means the kind::means the kind
kind of network::kind of network
discuss this telecom::discuss this telecom
sense that first::sense that first
network even today::network even today
wide area communication::wide area communication
exclusive data networks::exclusive data networks
evolution of telecom::evolution of telecom
alexander graham bell::alexander graham bell
graham bell developed::graham bell developed
developed the first::developed the first
couple of telephone::couple of telephone
telephone instruments connected::telephone instruments connected
taking this principle::taking this principle
connecting the wires::connecting the wires
pair of telephones::pair of telephones
good long-term strategy::good long-term strategy
jungle of wires::jungle of wires
difficult to manage::difficult to manage
central switching office::central switching office
operator could connect::operator could connect
connect one telephone::connect one telephone
number of wires::number of wires
matter of fact::matter of fact
approximately n2 kind::approximately n2 kind
kind of links::kind of links
number of links::number of links
question of connecting::question of connecting
connecting them individually::connecting them individually
connect to subscriber::connect to subscriber
finally a connection::finally a connection
connection is made::connection is made
user could connect::user could connect
town by cranking::town by cranking
cranking a handle::cranking a handle
movies or movies::movies or movies
depicting an older::depicting an older
crank crank crank::crank crank crank
ring some kind::ring some kind
bell or give::bell or give
give some indication::give some indication
office the switch::office the switch
person and find::person and find
subscriber tells connect::subscriber tells connect
operator would connect::operator would connect
connect this subscriber::connect this subscriber
person was replaced::person was replaced
sort of prepares::sort of prepares
wanted to connect::wanted to connect
necessarily her husband::necessarily her husband
designed some kind::designed some kind
kind of electromechanical::kind of electromechanical
relays and mechanical::relays and mechanical
switches would sort::switches would sort
sort of rotate::sort of rotate
side and connect::side and connect
connect this electromechanical::connect this electromechanical
electromechanical exchange served::electromechanical exchange served
exchanges were operating::exchanges were operating
replaced by electronic::replaced by electronic
make a connection::make a connection
make a physical::make a physical
physical copper connection::physical copper connection
local exchange building::local exchange building
local exchange switch::local exchange switch
kind of signal::kind of signal
connecting this part::connecting this part
loop in telephone::loop in telephone
analog carrier systems::analog carrier systems
types of wires::types of wires
sort of connecting::sort of connecting
connecting the premise::connecting the premise
kind of black::kind of black
kind of cables::kind of cables
cables these category::cables these category
hut are connected::hut are connected
exchange where switching::exchange where switching
switching is done::switching is done
switching ? suppose::switching ? suppose
suppose this user::suppose this user
pairs of wires::pairs of wires
switch would connect::switch would connect
naturally people found::naturally people found
apparent that callers::apparent that callers
talk to people::talk to people
people in neighbouring::people in neighbouring
solved the first::solved the first
pairs of telephones::pairs of telephones
local switching office::local switching office
two different towns::two different towns
two different locations::two different locations
problem ; first::problem ; first
large so irrespective::large so irrespective
put your exchange::put your exchange
lot of wires::lot of wires
step in telecom::step in telecom
connect every telephone::connect every telephone
number of towns::number of towns
single switching office::single switching office
so-called trunk exchanges::so-called trunk exchanges
number of local::number of local
fashion automatic switching::fashion automatic switching
automatic switching office::automatic switching office
switching office enables::switching office enables
office enables connections::office enables connections
means your connection::means your connection
exchange that means::exchange that means
make a local::make a local
caller and callee::caller and callee
two different local::two different local
exchanges are connected::exchanges are connected
exchange would connect::exchange would connect
exchange would make::exchange would make
make the connection::make the connection
connections are set::connections are set
telecom grew bigger::telecom grew bigger
bigger and bigger::bigger and bigger
levels of hierarchy::levels of hierarchy
wanted to talk::wanted to talk
countries to cope::countries to cope
tiers were added::tiers were added
hierarchy to make::hierarchy to make
make a call::make a call
dial a number::dial a number
number this number::number this number
number is examined::number is examined
higher level switching::higher level switching
level switching office::level switching office
public switched telephone::public switched telephone
switched telephone network::switched telephone network
exchanges these trunk::exchanges these trunk
exchanges would connect::exchanges would connect
lots of calls::lots of calls
two local exchanges::two local exchanges
making a local::making a local
making a call::making a call
make an std::make an std
main trunk exchange::main trunk exchange
exchange of west::exchange of west
exchange of bihar::exchange of bihar
two from kolkata::two from kolkata
kolkata to patna::kolkata to patna
patna main trunk::patna main trunk
main trunk exchanges::main trunk exchanges
high speed lines::high speed lines
local trunk exchange::local trunk exchange
exchange at kolkata::exchange at kolkata
exchange in bihar::exchange in bihar
making isd calls::making isd calls
question of routing::question of routing
routing a telephone::routing a telephone
telephone call routing::telephone call routing
telephone call means::telephone call means
exchange to trunk::exchange to trunk
make some provision::make some provision
problem of routing::problem of routing
route a telephone::route a telephone
call in older::call in older
older telephone systems::older telephone systems
made a call::made a call
call the switching::call the switching
switching office set::switching office set
path is set::path is set
call is routed::call is routed
level switching offices::level switching offices
reaches a switching::reaches a switching
reach the destination::reach the destination
telephone by connecting::telephone by connecting
connecting with lower::connecting with lower
lower level switching::lower level switching
offices the switching::offices the switching
switching offices examine::switching offices examine
examine the digits::examine the digits
number you dialed::number you dialed
dialed to make::dialed to make
make these connections::make these connections
sense fairly simple::sense fairly simple
numbers are distributed::numbers are distributed
making an std::making an std
call in india::call in india
callee ; digit::callee ; digit
fairly methodical manner::fairly methodical manner
kolkata trunk exchange::kolkata trunk exchange
caller is connected::caller is connected
make any sense::make any sense
first few digits::first few digits
making a connection::making a connection
kolkata to delhi::kolkata to delhi
suppose from kolkata::suppose from kolkata
so-called subscriber trunk::so-called subscriber trunk
subscriber trunk dialing::subscriber trunk dialing
main tax exchange::main tax exchange
