computer networks prof.sujoy::computer networks prof.sujoy
networks prof.sujoy ghosh::networks prof.sujoy ghosh
prof.sujoy ghosh department::prof.sujoy ghosh department
department of computer::department of computer
science and engineering::science and engineering
sonet the word::sonet the word
word sonet stands::word sonet stands
stands for synchronous::stands for synchronous
synchronous optical network::synchronous optical network
synchronous digital hierarchy::synchronous digital hierarchy
division multiplexing system::division multiplexing system
system that transmits::system that transmits
transmits a constant::transmits a constant
stream of information::stream of information
successor of pdh::successor of pdh
pdh few years::pdh few years
wide area network::wide area network
area network part::area network part
lot of problems::lot of problems
problems and complications::problems and complications
improvement of services::improvement of services
signals are transmitted::signals are transmitted
significant instance occur::significant instance occur
sonet was introduced::sonet was introduced
number of achievements::number of achievements
multiplexing using multiples::multiplexing using multiples
rate and sts-n::rate and sts-n
important the point::important the point
multiplexing the original::multiplexing the original
signals will travel::signals will travel
international multiplexing standard::international multiplexing standard
standard was first::standard was first
achieved in sonet::achieved in sonet
sonet what happened::sonet what happened
rate which people::rate which people
kinds of differences::kinds of differences
differences as technology::differences as technology
sort of countries::sort of countries
rate of transmission::rate of transmission
basic building block::basic building block
block of sonnet::block of sonnet
stated the optical::stated the optical
optical signal standard::optical signal standard
standard for interconnecting::standard for interconnecting
interconnecting multiple vendor::interconnecting multiple vendor
multiple vendor equipment::multiple vendor equipment
equipment the point::equipment the point
electrical signal standards::electrical signal standards
electrical signal standard::electrical signal standard
bring together multiple::bring together multiple
vendors to agree::vendors to agree
achievement in sonet::achievement in sonet
sonet was extensive::sonet was extensive
maintaining the system::maintaining the system
administrating the system::administrating the system
flexible in sonet::flexible in sonet
sonet when compared::sonet when compared
kind of flexibility::kind of flexibility
matter of fact::matter of fact
strong in sonet::strong in sonet
discuss this aspect::discuss this aspect
talk about protection::talk about protection
points in sonet::points in sonet
formats for existing::formats for existing
existing digital signals::existing digital signals
place in vacuum::place in vacuum
kinds of histories::kinds of histories
doing and put::doing and put
kinds of things::kinds of things
bring together previous::bring together previous
achievement these existing::achievement these existing
ds0 and ds0::ds0 and ds0
kbps line rate::kbps line rate
hierarchy of rates::hierarchy of rates
achievement of sonet::achievement of sonet
popular in europe::popular in europe
development in usa::development in usa
sonet got introduced::sonet got introduced
sonet and sdh::sonet and sdh
part of world::part of world
problem so bringing::problem so bringing
bridging the atlantic::bridging the atlantic
accommodates other applications::accommodates other applications
kind of hierarchy::kind of hierarchy
accommodated in sonet::accommodated in sonet
flexibility is achieved::flexibility is achieved
recovery from failure::recovery from failure
talking about protection::talking about protection
terminal equipment failure::terminal equipment failure
deploy a sonet::deploy a sonet
fashion and sonet::fashion and sonet
sonet can recover::sonet can recover
give the so-called::give the so-called
so-called career great::so-called career great
career great service::career great service
absolutely not acceptable::absolutely not acceptable
features of sonet::features of sonet
sdh by itu::sdh by itu
anci and sdh::NNP and sdh
pure time division::pure time division
multiplexing system sonet::multiplexing system sonet
system sonet encompasses::system sonet encompasses
sonet encompasses optical::sonet encompasses optical
optical and electrical::optical and electrical
rates are low::rates are low
start becoming higher::start becoming higher
higher and higher::higher and higher
communication and optical::communication and optical
couple of lectures::couple of lectures
lectures our specification::lectures our specification
feature of sonet::feature of sonet
sonet uses octet::sonet uses octet
byte that means::byte that means
byte by byte::byte by byte
extremely precise timing::extremely precise timing
things are synchronous::things are synchronous
things become synchronous::things become synchronous
derive a lot::derive a lot
lot of advantages::lot of advantages
sonet provides support::sonet provides support
support for operation::support for operation
feed into sonet::feed into sonet
nowadays but earlier::nowadays but earlier
rates which existed::rates which existed
lack of synchronicity::lack of synchronicity
handling the signals::handling the signals
incur some overhead::incur some overhead
incur some complexity::incur some complexity
difficulty with pdh::difficulty with pdh
sdh or sonet::sdh or sonet
ability to identify::ability to identify
identify sub streams::identify sub streams
