keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
software that manages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
manages computer hardware	0.0000000000	0.0	0.0	0.0	1.58496250072	False
hardware and software	0.0000000000	0.0	0.0	0.0	1.58496250072	False
services for computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs the operating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer system application	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system application programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs usually require	0.0000000000	0.0	0.0	0.0	1.58496250072	False
require an operating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system to function	0.0000000000	0.0	0.0	0.0	1.58496250072	False
function time-sharing operating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
time-sharing operating systems	0.0000000000	0.0	0.0	2.99838187702	4.75488750216	False
operating systems schedule	0.0000000000	0.0	0.0	0.0	3.16992500144	False
systems schedule tasks	0.0000000000	0.0	0.0	0.0	3.16992500144	False
tasks for efficient	0.0000000000	0.0	0.0	0.0	3.16992500144	False
include accounting software	0.0000000000	0.0	0.0	0.0	3.16992500144	False
software for cost	0.0000000000	0.0	0.0	0.0	3.16992500144	False
allocation of processor	0.0000000000	0.0	0.0	0.0	3.16992500144	False
resources for hardware	0.0000000000	0.0	0.0	0.0	1.58496250072	False
input and output	0.0000000000	0.0	0.0	0.0	3.16992500144	False
output and memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operating system acts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
intermediary between programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
frequently makes system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
makes system calls	0.0000000000	0.0	0.0	0.0	1.58496250072	False
systems are found	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer from cellular	0.0000000000	0.0	0.0	0.0	1.58496250072	False
phones and video	0.0000000000	0.0	0.0	0.0	1.58496250072	False
video game consoles	0.0000000000	0.0	0.0	0.0	1.58496250072	False
consoles to web	0.0000000000	0.0	0.0	0.0	1.58496250072	False
servers and supercomputers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
examples of popular	0.0000000000	0.0	0.0	0.0	1.58496250072	False
popular modern operating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
modern operating systems	0.5441176471	0.0	0.0	3.99676375405	9.50977500433	False
operating systems include	0.5285714286	0.0	0.0	1.9978425027	6.33985000288	False
systems include android	0.0000000000	0.0	0.0	0.0	1.58496250072	False
microsoft windows windows	0.0000000000	0.0	0.0	0.0	1.58496250072	False
windows windows phone	0.0000000000	0.0	0.0	0.0	1.58496250072	False
NNP the first	0.0000000000	0.0	0.0	0.0	0.0	False
examples share roots	0.0000000000	0.0	0.0	0.0	1.58496250072	False
roots in unix	0.0000000000	0.0	0.0	0.0	3.16992500144	False
types of operating	0.0000000000	0.0	0.0	0.0	3.16992500144	False
single- and multi-tasking	0.0000000000	0.0	0.0	0.0	3.16992500144	False
single- and multi-user	0.0000000000	0.0	0.0	0.0	3.16992500144	False
examples of operating	0.0000000000	0.0	0.0	0.0	3.16992500144	False
unix and unix-like	0.0000000000	0.0	0.0	1.99838187702	4.75488750216	False
unix-like operating systems	0.0000000000	0.0	0.0	1.99838187702	4.75488750216	False
systems 3.1.1 bsd	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linux 3.1.2.1 google	0.0000000000	0.0	0.0	0.0	1.58496250072	False
3.1.2.1 google chromium	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kernel 4.1.1 program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
4.1.1 program execution	0.0000000000	0.0	0.0	0.0	1.58496250072	False
execution 4.1.2 interrupts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
interrupts 4.1.3 modes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
modes 4.1.4 memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
4.1.4 memory management	0.0000000000	0.0	0.0	0.0	1.58496250072	False
management 4.1.5 virtual	0.0000000000	0.0	0.0	0.0	1.58496250072	False
4.1.5 virtual memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memory 4.1.6 multitasking	0.0000000000	0.0	0.0	0.0	1.58496250072	False
multitasking 4.1.7 disk	0.0000000000	0.0	0.0	0.0	1.58496250072	False
