v.srinivasa rajkumar educational::v.srinivasa rajkumar educational
rajkumar educational technology::rajkumar educational technology
educational technology i.i.t.delhi::educational technology i.i.t.delhi
technology i.i.t.delhi presents::technology i.i.t.delhi presents
presents a video::presents a video
programming languages lecture::programming languages lecture
programming languages today::programming languages today
elementary concepts broad::elementary concepts broad
concepts broad classification::concepts broad classification
classification of programming::classification of programming
machine a computer::machine a computer
call a bare::call a bare
piece of hardware::piece of hardware
lot of switches::lot of switches
connected with complicated::connected with complicated
memory the arithmetic::memory the arithmetic
consists of switches::consists of switches
big problem operating::big problem operating
operating those millions::operating those millions
millions and millions::millions and millions
millions of switches::millions of switches
consists of binary::consists of binary
consisting of binary::consisting of binary
stored program concept::stored program concept
data and instructions::data and instructions
string and depending::string and depending
instruction to execute::instruction to execute
means that programming::means that programming
interpret certain sequences::interpret certain sequences
sequences of bits::sequences of bits
manipulate some registers::manipulate some registers
load into memory::load into memory
store um load::store um load
load from memory::load from memory
store into memory::store into memory
memory or perform::memory or perform
perform some arithmetic::perform some arithmetic
call the machine::call the machine
language a programming::language a programming
notation for describing::notation for describing
algorithms and data::algorithms and data
language to give::language to give
means of representing::means of representing
representation of algorithms::representation of algorithms
perform your manipulations::perform your manipulations
first the first::first the first
data which means::data which means
means a sequence::means a sequence
sequence of instructions::sequence of instructions
regarded as data::regarded as data
items a sequence::items a sequence
sequence of data::sequence of data
data items provided::data items provided
item as instructions::item as instructions
instructions by interpreting::instructions by interpreting
constitutes the data::constitutes the data
constitutes a part::constitutes a part
part an instruction::part an instruction
high level view::high level view
program in machine::program in machine
language a program::language a program
necessarily an algorithm::necessarily an algorithm
non terminating program::non terminating program
longer a algorithm::longer a algorithm
thing to realize::thing to realize
object it doesn::object it doesn
concrete um form::concrete um form
entity which requires::entity which requires
requires a concrete::requires a concrete
computation which means::computation which means
constitutes a primitive::constitutes a primitive
possibly an infinite::possibly an infinite
sequence of steps::sequence of steps
number of programs::number of programs
notation for writing::notation for writing
emphasis the fact::emphasis the fact
notation is important::notation is important
objects are finitary::objects are finitary
represent any infinitary::represent any infinitary
manner you require::manner you require
understandable you require::understandable you require
require certain rules::require certain rules
giving a finitary::giving a finitary
kinds of infinitary::kinds of infinitary
case an algorithm::case an algorithm
necessarily be finitary::necessarily be finitary
infinite the codomain::infinite the codomain
algorithm in general::algorithm in general
general as computing::general as computing
relation a method::relation a method
method for computing::method for computing
computing some mathematical::computing some mathematical
function or relation::function or relation
functions and relations::functions and relations
objects basically mathematical::objects basically mathematical
basically mathematical functions::basically mathematical functions
mathematical functions relations::mathematical functions relations
representations of infinitary::representations of infinitary
study of programming::study of programming
programming or computation::programming or computation
give finite specifications::give finite specifications
specifications of computation::specifications of computation
steps of abstract::steps of abstract
abstract mathematical functions::abstract mathematical functions
fairly rigorous notation::fairly rigorous notation
sort of programming::sort of programming
algorithm to compute::algorithm to compute
compute some function::compute some function
set of primitive::set of primitive
functions or primitive::functions or primitive
primitive computation steps::primitive computation steps
steps in terms::steps in terms
express this algorithm::express this algorithm
lot of mathematics::lot of mathematics
representation of infinite::representation of infinite
studied in school::studied in school
thing in school::thing in school
represent a set::represent a set
set builder form::set builder form
clear so roaster::clear so roaster
form just means::form just means
enumerating a list::enumerating a list
list of elements::list of elements
form essentially means::form essentially means
means um giving::means um giving
giving an abstract::giving an abstract
giving a predicate::giving a predicate
set should satisfy::set should satisfy
definition by abstraction::definition by abstraction
braces you write::braces you write
don t include::don t include
dot dot dot::dot dot dot
inadequacy of mathematical::inadequacy of mathematical
underlying computation process::underlying computation process
mathematics is concerned::mathematics is concerned
concerned a large::concerned a large
set builder notation::set builder notation
represent the set::represent the set
notation which consists::notation which consists
consists of braces::consists of braces
braces which consists::braces which consists
definition a bound::definition a bound
predicate in terms::predicate in terms
locally declared variable::locally declared variable
sort of declaration::sort of declaration
firstly this represents::firstly this represents
represents a logical::represents a logical
logical predicate expressed::logical predicate expressed
expressed in first::expressed in first
first order logic::first order logic
succinct finitary specification::succinct finitary specification
essentially an infinitary::essentially an infinitary
implicitly using human::implicitly using human
intelligence and human::intelligence and human
human um human::human um human
ability to perform::ability to perform
induction to claim::induction to claim
satisfy other predicates::satisfy other predicates
call an accurate::call an accurate
accurate succinct finitary::accurate succinct finitary
succinct finitary representation::succinct finitary representation
language of first::language of first
order logic built::order logic built
predicate a single::predicate a single
single binary predicate::single binary predicate
predicate on sets::predicate on sets
language of logic::language of logic
analogies between programming::analogies between programming
languages and logic::languages and logic
motivations of logic::motivations of logic
slightly more abstract::slightly more abstract
nature but programming::nature but programming
programming language derive::programming language derive
language like first::language like first
freedom to write::freedom to write
write these dots::write these dots
method of construction::method of construction
construction of predicates::construction of predicates
rules of inferenceing::rules of inferenceing
rules like modese::rules like modese
language with rule::language with rule
rule with axioms::rule with axioms
rules of inference::rules of inference
rules and axioms::rules and axioms
axioms those axioms::axioms those axioms
axioms and rules::axioms and rules
exists an algorithm::exists an algorithm
simple logical rule::simple logical rule
predicate x arrow::predicate x arrow
rule actually specifies::rule actually specifies
suppose to proposition::suppose to proposition
sentences of first::sentences of first
pattern that call::pattern that call
call one sentence::call one sentence
pattern x conditional::pattern x conditional
rules of inferencing::rules of inferencing
logic are finitary::logic are finitary
statement was derived::statement was derived
rule of influence::rule of influence
arrow b arrow::arrow b arrow
two as input::two as input
case the algorithm::case the algorithm
rule of inference::rule of inference
motivations actually derived::motivations actually derived
derived from logic::derived from logic
logic a large::logic a large
part of logic::part of logic
kinds of proofs::kinds of proofs
kinds of theorems::kinds of theorems
theorems in mathematics::theorems in mathematics
proved by algorithms::proved by algorithms
machine whose basic::machine whose basic
machine whose primitive::machine whose primitive
matching and substitution::matching and substitution
instance of doing::instance of doing
doing pattern matching::doing pattern matching
substitution an inference::substitution an inference
representation a proof::representation a proof
object a theorem::object a theorem
finite a theorem::finite a theorem
sentence of logical::sentence of logical
finite object representing::finite object representing
number of instances::number of instances
influence the nature::influence the nature
generating an infinite::generating an infinite
sequence of random::sequence of random
numbers i don::numbers i don
pseudo random numbers::pseudo random numbers
pure random numbers::pure random numbers
computational process period::computational process period
infinite sets represented::infinite sets represented
represented as predicates::represented as predicates
predicates um urinary::predicates um urinary
urinary binary ternary::urinary binary ternary
interested in infinitary::interested in infinitary
infinitary computational processes::infinitary computational processes
interested in programming::interested in programming
inherently infinite objects::inherently infinite objects
infinite objects infinitary::infinite objects infinitary
objects infinitary objects::objects infinitary objects
important to realize::important to realize
realize that right::realize that right
right from nineteen::right from nineteen
mathematician david hilbert::mathematician david hilbert
david hilbert post::david hilbert post
post this problem::post this problem
congress in mathematics::congress in mathematics
mathematics the main::mathematics the main
emphasis of logicians::emphasis of logicians
logicians and computer::logicians and computer
game but logicians::game but logicians
find to define::find to define
define the notion::define the notion
algorithm to define::algorithm to define
process every thing::process every thing
logic a bit::logic a bit
number of rules::number of rules
rules for generating::rules for generating
number of sentences::number of sentences
set of formation::set of formation
generate an infinite::generate an infinite
number of logical::number of logical
algorithm to check::algorithm to check
string of symbols::string of symbols
syntactically valid sentence::syntactically valid sentence
set of rules::set of rules
apply proportional logic::apply proportional logic
area of mathematics::area of mathematics
theory or number::theory or number
properties of infinite::properties of infinite
extension of proportional::extension of proportional
logic to first::logic to first
theory in first::theory in first
logic the axioms::logic the axioms
axioms of set::axioms of set
axiomatic set theory::axiomatic set theory
don t assume::don t assume
assume any predefined::assume any predefined
set of objects::set of objects
generate all sets::generate all sets
sets you generate::sets you generate
single predicate binary::single predicate binary
predicate binary predicate::predicate binary predicate
predicate called belong::predicate called belong
essentially in capturing::essentially in capturing
infinitary a processes::infinitary a processes
processes within finitary::processes within finitary
progression of ideas::progression of ideas
platonic in nature::platonic in nature
discipline of mathematics::discipline of mathematics
deal of accuracy::deal of accuracy
primitive computational processes::primitive computational processes
constraints of logical::constraints of logical
primitive computational process::primitive computational process
ruler and complex::ruler and complex
constructions yeah ruler::constructions yeah ruler
two computational primitive::two computational primitive
computational primitive computational::computational primitive computational
primitive computational steps::primitive computational steps
mark off segments::mark off segments
compass to draw::compass to draw
draw certain angles::draw certain angles
draw arbitrary angles::draw arbitrary angles
concepts to trisect::concepts to trisect
trisect an arbitrary::trisect an arbitrary
allowed to measure::allowed to measure
measure the angle::measure the angle
draw a line::draw a line
proof it shows::proof it shows
forty five degrees::forty five degrees
angle to raise::angle to raise
algorithms of ruler::algorithms of ruler
two computation processes::two computation processes
domain of euclidean::domain of euclidean
geometry which means::geometry which means
measure out angles::measure out angles
allowed to prove::allowed to prove
measure out lengths::measure out lengths
lengths in terms::lengths in terms
terms of centimeters::terms of centimeters
centimeters or meters::centimeters or meters
out an arbitrary::out an arbitrary
bisect that arbitrary::bisect that arbitrary
trisect that arbitrary::trisect that arbitrary
unit of length::unit of length
normal computational process::normal computational process
ruler and compass::ruler and compass
interested in machine::interested in machine
language very difficult::language very difficult
right i agree::right i agree
difficult to program::difficult to program
interested in primarily::interested in primarily
high level languages::high level languages
process the primitives::process the primitives
primitives of computation::primitives of computation
implemented a language::implemented a language
done some programming::done some programming
programming in pascal::programming in pascal
doing pascal programming::doing pascal programming
underlying machine language::underlying machine language
language the underlying::language the underlying
level of abstraction::level of abstraction
machine whether pascal::machine whether pascal
hard ware machine::hard ware machine
ware machine language::ware machine language
machine and cover::machine and cover
layers and layers::layers and layers
layers of software::layers of software
capabilities to manipulate::capabilities to manipulate
switches to write::switches to write
programs in binary::programs in binary
extra computational power::extra computational power
construction of complicated::construction of complicated
complicated structured programs::complicated structured programs
kinds of abstraction::kinds of abstraction
abstraction mechanisms procedures::abstraction mechanisms procedures
mechanisms procedures functions::mechanisms procedures functions
study programming languages::study programming languages
kinds of features::kinds of features
