keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
raining 	0.0000000000	0.0	0.0	0.0	0.0	False
athe series 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
partial derivative 	0.0000000000	0.0	0.000490065041499	7.99910833705	4.0	False
astronomic fair 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
essentially a morphological 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
effort at stanford 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
four 	0.5235294118	0.0	0.0	0.0	0.0	False
formal deductive reasoning 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
full pharse 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
words mother -in 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
electricity 	0.0000000000	0.0	0.000163355013833	0.0	0.0	False
therethere are systems 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
last lecture 	0.0000000000	0.0	0.0	0.0	1.0	False
itselfit 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
components that define 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
delta xij 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
values the number 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pages 	0.0000000000	0.0	0.00024503252075	0.0	0.0	False
meta learning 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
50:48 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
28:25 	0.0000000000	0.0	0.000163355013833	0.0	0.0	False
uncertain 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
natural language understanding 	0.0000000000	0.0	0.0	1.99933125279	4.75488750216	False
basics 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
autonomous vehicles 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
nine1959 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
words are put 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
specially 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
vast open 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
good results 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
del net 	0.0000000000	0.0	0.000326710027666	9.99888542131	5.0	False
-to -day 	0.0000000000	0.0	0.0	0.0	1.0	False
dialogs 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
exploration rover 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
psychologyand psychology 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
shows the four 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
eighteenth 18th century 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
evaluating 	0.0000000000	0.0	0.000163355013833	0.0	0.0	False
two hidden units 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
jet propulsion 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
mental states 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
mathematicalmathematical problem 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
true autonomy 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
military 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
sentence i manually 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
publishes news 	0.0000000000	0.0	0.000326710027666	0.0	2.0	False
term from wixi 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
classification 	0.2383077472	0.0	0.0024503252075	0.0	0.0	False
out mymy 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
explained 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
replace 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
brought 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
science deals 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
dog chased 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
derivatives 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
56:16 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
forty two1642 built 	0.0000000000	0.0	0.0	0.0	1.58496250072	False
total probability 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
learning hypothesis 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
sstate 	0.0000000000	0.0	8.16775069165e-05	0.0	0.0	False
theare answer.s 	0.0000000000	0.0	0.000163355013833	0.0	1.0	False
