keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
design and analysis	0.4044250113	0.0	0.0	15.9990185829	72.9082750332	False
analysis of algorithms	0.4027442552	0.0	0.0	18.998890572	82.4180500375	False
algorithms prof abhiram	0.5045772752	0.0	0.0	8.99963730238	26.9443625123	False
prof abhiram ranade	0.5045772752	0.0	0.0	8.99963730238	26.9443625123	False
abhiram ranade computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ranade computer science	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer science engineering	0.5086862106	0.0	0.0	11.9993172751	50.7188000231	False
science engineering department	0.0000000000	0.0	0.0	0.0	3.16992500144	False
engineering department indian	0.0000000000	0.0	0.0	0.0	3.16992500144	False
department indian institute	0.0000000000	0.0	0.0	0.0	3.16992500144	False
institute of technology	0.5081344902	0.0	0.0	10.9993599454	47.5488750216	False
give also convey	0.0000000000	0.0	0.0	0.0	1.58496250072	False
convey a spirit	0.0000000000	0.0	0.0	0.0	1.58496250072	False
easy to design	0.0000000000	0.0	0.0	0.0	3.16992500144	False
cleverness is needed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
needed and designing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithms which give	0.0000000000	0.0	0.0	0.0	3.16992500144	False
answers very quickly	0.0000000000	0.0	0.0	0.0	1.58496250072	False
main course goal	0.0000000000	0.0	0.0	0.0	3.16992500144	False
design of fast	0.0000000000	0.0	0.0	0.0	1.58496250072	False
defined design techniques	0.0000000000	0.0	0.0	0.0	1.58496250072	False
study these techniques	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lots of exercises	0.0000000000	0.0	0.0	0.0	1.58496250072	False
apply these ideas	0.0000000000	0.0	0.0	0.0	1.58496250072	False
solve algorithm design	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithm design problems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
done some amount	0.0000000000	0.0	0.0	0.0	1.58496250072	False
amount of programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
scheme or basic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
discrete mathematics background	0.0000000000	0.0	0.0	0.0	1.58496250072	False
build the model	0.0000000000	0.0	0.0	0.0	1.58496250072	False
analytical will build	0.0000000000	0.0	0.0	0.0	1.58496250072	False
build a model	0.0000000000	0.0	0.0	0.0	1.58496250072	False
build a mathematical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
study their properties	0.0000000000	0.0	0.0	0.0	1.58496250072	False
properties of algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reason about algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
mathematically prove properties	0.0000000000	0.0	0.0	0.0	1.58496250072	False
properties the emphasis	0.0000000000	0.0	0.0	0.0	1.58496250072	False
proof prove properties	0.0000000000	0.0	0.0	0.0	1.58496250072	False
properties about speed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
speed say prove	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of things	0.0000000000	0.0	0.0	0.0	1.58496250072	False
give an overview	0.0000000000	0.0	0.0	0.0	1.58496250072	False
develop the basic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
define the mathematical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
fairly long stretch	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stretch which involves	0.0000000000	0.0	0.0	0.0	1.58496250072	False
techniques for designing	0.0000000000	0.0	0.0	1.99993599454	4.75488750216	False
designing fast algorithms	0.0000000000	0.0	0.0	0.0	3.16992500144	False
algorithms while doing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
surveying many problems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problems from optimization	0.0000000000	0.0	0.0	0.0	1.58496250072	False
optimization graph theory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
theory some problems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problems from geometry	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithm design techniques	0.5016059957	0.0	0.0	4.99987198908	9.50977500433	False
design really god	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithms our techniques	0.0000000000	0.0	0.0	0.0	1.58496250072	False
fairly intricate theory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
theory has developed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
