database management system::database management system
management system prof::management system prof
prof d janakiram::prof d janakiram
department of computer::department of computer
science & engineering::science & engineering
engineering indian institute::engineering indian institute
institute of technology::institute of technology
introduction to database::introduction to database
year under graduate::year under graduate
systems probably operating::systems probably operating
concepts are required::concepts are required
duration and expected::duration and expected
covering the transacting::covering the transacting
transacting processing system::transacting processing system
instructor dr srinath::instructor dr srinath
covering the initial::covering the initial
sections on database::sections on database
design er modeling::design er modeling
lecture is give::lecture is give
introduction to databases::introduction to databases
databases and show::databases and show
show the importance::show the importance
importance of databases::importance of databases
data in digital::data in digital
mode of data::mode of data
stored by corporates::stored by corporates
organizations as increased::organizations as increased
terabytes now databases::terabytes now databases
day today life::day today life
lot of transactions::lot of transactions
day today transactions::day today transactions
airline ticket reservation::airline ticket reservation
reservation or withdrawal::reservation or withdrawal
withdrawal of money::withdrawal of money
store the costumer::store the costumer
form of databases::form of databases
transactions like withdrawal::transactions like withdrawal
bank or reserving::bank or reserving
reserving a ticket::reserving a ticket
business processing world::business processing world
entity in terms::entity in terms
terms of developing::terms of developing
developing these applications::developing these applications
business process applications::business process applications
applications to show::applications to show
show what kind::show what kind
database have assumed::database have assumed
assumed in recent::assumed in recent
life i realized::life i realized
realized only yesterday::realized only yesterday
pay a premium::pay a premium
paying this policy::paying this policy
lic actually sends::lic actually sends
paper copy posted::paper copy posted
paying the premium::paying the premium
carry the cash::carry the cash
physically now move::physically now move
doing this transaction::doing this transaction
access this data::access this data
pay the premium::pay the premium
box which means::box which means
office without moving::office without moving
finish this entire::finish this entire
entire business transaction::entire business transaction
call as work::call as work
flow to show::flow to show
flow actually takes::flow actually takes
show you online::show you online
user the ability::user the ability
ability to login::ability to login
basically try login::basically try login
earlier with lic::earlier with lic
calculate the lone::calculate the lone
paid which shows::paid which shows
paid already online::paid already online
database actually shows::database actually shows
single point access::single point access
online premium payment::online premium payment
choose the policies::choose the policies
lot of options::lot of options
amount of premium::amount of premium
paying this premium::paying this premium
make this payment::make this payment
city bank debit::city bank debit
bank debit card::bank debit card
sbi net banking::sbi net banking
bank of india::bank of india
database of state::database of state
login into state::login into state
india s database::india s database
give my details::give my details
paying this money::paying this money
money to lic::money to lic
verify and confirm::verify and confirm
confirm life insurance::confirm life insurance
life insurance con::life insurance con
insurance con transactions::insurance con transactions
con transactions detail::con transactions detail
rupees and date::rupees and date
branch is indian::branch is indian
pay to lic::pay to lic
lic for paying::lic for paying
paying my premium::paying my premium
back to lic::back to lic
view or print::view or print
print a confirmation::print a confirmation
mail id provided::mail id provided
requirements to show::requirements to show
paid this premium::paid this premium
receipt which tells::receipt which tells
signed by lic::signed by lic
receipt is generated::receipt is generated
generated by lic::generated by lic
databases and doing::databases and doing
doing business transactions::doing business transactions
paid this amount::paid this amount
amount to lic::amount to lic
lic and lic::lic and lic
received this amount::received this amount
lots of issues::lots of issues
customer is protected::customer is protected
reflex this payment::reflex this payment
execute this online::execute this online
online sitting right::online sitting right
done very late::done very late
pay this premium::pay this premium
data is digitized::data is digitized
digitized and exposed::digitized and exposed
extremely important subject::extremely important subject
applications and making::applications and making
making them usable::making them usable
life by people::life by people
examples also exists::examples also exists
clear trip dot::clear trip dot
similarly make payments::similarly make payments
payments and buy::payments and buy
buy your tickets::buy your tickets
things with respect::things with respect
respect to booking::respect to booking
booking your reservations::booking your reservations
reservations and things::reservations and things
examples or principles::examples or principles
principles in developing::principles in developing
developing these kinds::developing these kinds
kinds of databases::kinds of databases
half an hour::half an hour
developing these kind::developing these kind
kind of applications::kind of applications
develop a database::develop a database
process within iit::process within iit
madras the business::madras the business
people to purchase::people to purchase
purchase computer systems::purchase computer systems
systems and peripherals::systems and peripherals
faculty of iit::faculty of iit
supply these peripherals::supply these peripherals
purchase these systems::purchase these systems
supply of computer::supply of computer
peripherals and computer::peripherals and computer
process is done::process is done
vendors can bid::vendors can bid
points of times::points of times
vendor is chosen::vendor is chosen
rate contract system::rate contract system
changing in terms::changing in terms
quote at regular::quote at regular
computer system configuration::computer system configuration
things are chosen::things are chosen
systems are chosen::systems are chosen
choose whatever systems::choose whatever systems
generate the required::generate the required
papers for purchasing::papers for purchasing
purchasing those systems::purchasing those systems
paper based system::paper based system
supply their quotes::supply their quotes
quotes on paper::quotes on paper
word processing system::word processing system
system like microsoft::system like microsoft
microsoft word providing::microsoft word providing
providing a comparative::providing a comparative
basically file systems::basically file systems
lot of processing::lot of processing
processing of entering::processing of entering
entering these data::entering these data
involves a tds::involves a tds
choose the systems::choose the systems
entire process starting::entire process starting
lot of manual::lot of manual
circulation of large::circulation of large
quantity of papers::quantity of papers
two various members::two various members
involved in choosing::involved in choosing
choosing these things::choosing these things
processing by choosing::processing by choosing
introducing data base::introducing data base
data base systems::data base systems
systems for automating::systems for automating
automating the entire::automating the entire
entire business process::entire business process
process or work::process or work
processes or work::processes or work
work flow elements::work flow elements
first cut requirement::first cut requirement
developed to show::developed to show
sort of automated::sort of automated
introduce the database::introduce the database
automating this business::automating this business
rate contract details::rate contract details
members in choosing::members in choosing
choosing their requirements::choosing their requirements
search through computer::search through computer
configuration or add::configuration or add
add on parts::add on parts
parts or space::parts or space
space for computer::space for computer
systems or printers::systems or printers
printers and scanners::printers and scanners
scanners and note::scanners and note
note book computers::note book computers
iit specification number::iit specification number
specification number wise::specification number wise
specification will give::specification will give
search through vendor::search through vendor
click on specification::click on specification
wise and submit::wise and submit
choose the fourth::choose the fourth
specification and submit::specification and submit
submit that specification::submit that specification
company infotech limited::company infotech limited
limited which quoted::limited which quoted
cpu clock speed::cpu clock speed
submit this quote::submit this quote
canonical electronics private::canonical electronics private
electronics private limited::electronics private limited
matching this requirement::matching this requirement
satisfies my requirement::satisfies my requirement
back end database::back end database
access that data::access that data
accessing the data::accessing the data
retrieve the data::retrieve the data
data which matches::data which matches
match the required::match the required
values and retrieving::values and retrieving
retrieving the data::retrieving the data
navigate through data::navigate through data
data which means::data which means
number is concerned::number is concerned
choosing which means::choosing which means
information that satisfies::information that satisfies
registered my database::registered my database
students who registered::students who registered
ways we retrieve::ways we retrieve
retrieve this data::retrieve this data
iit serial number::iit serial number
company name unit::company name unit
price without monitor::price without monitor
data now lot::data now lot
lot of information::lot of information
organized as flat::organized as flat
storing the data::storing the data
kind of data::kind of data
model or real::model or real
real world data::real world data
world data model::world data model
store the information::store the information
information about maruti::information about maruti
object data model::object data model
kind of engine::kind of engine
parts that engine::parts that engine
terms of objects::terms of objects
flat table base::flat table base
table base model::table base model
relational database system::relational database system
applications that fit::applications that fit
model for building::model for building
building this computer::building this computer
computer rate contract::computer rate contract
relational model fits::relational model fits
developing the application::developing the application
enables the vendors::enables the vendors
enabled this database::enabled this database
vendor to login::vendor to login
give a guest::give a guest
enter my system::enter my system
kinds of specifications::kinds of specifications
list of specifications::list of specifications
decides his specification::decides his specification
give this information::give this information
supply that information::supply that information
information here unit::information here unit
basically can give::basically can give
put some comments::put some comments
decided to quote::decided to quote
basically the entire::basically the entire
entire relational database::entire relational database
database system concept::database system concept
system concept makes::system concept makes
concept makes sense::concept makes sense
doing this update::doing this update
make my decisions::make my decisions
processes or transaction::processes or transaction
transaction to access::transaction to access
quotation is registered::quotation is registered
situated in delhi::situated in delhi
parts of chennai::parts of chennai
quotes that quote::quotes that quote
processes and transaction::processes and transaction
challenges are conceptual::challenges are conceptual
understanding in building::understanding in building
understand this application::understand this application
store this data::store this data
data or create::data or create
create my tables::create my tables
make the transactions::make the transactions
created a database::created a database
mysql relational database::mysql relational database
tables and store::tables and store
store the database::store the database
database underneath server::database underneath server
put my data::put my data
key database system::key database system
creating this rate::creating this rate
rate contract rc-april::rate contract rc-april
storing the information::storing the information
quotations for add::quotations for add
add on systems::add on systems
quotation for computer::quotation for computer
table and approved::table and approved
quotations for note::quotations for note
books and approved::books and approved
quotation for printers::quotation for printers
sense they form::sense they form
form the schema::form the schema
critical in database::critical in database
study as part::study as part
design my database::design my database
point for design::point for design
people who select::people who select
vendors have quoted::vendors have quoted
attributes these entities::attributes these entities
quotations for computers::quotations for computers
break an entity::break an entity
registered with iit::registered with iit
madras then vendors::madras then vendors
create this information::create this information
converting this entity::converting this entity
thing like users::thing like users
information on company::information on company
designing your database::designing your database
convert the entities::convert the entities
entities into tables::entities into tables
store this information::store this information
terms of converting::terms of converting
converting an entity::converting an entity
information is duplicated::information is duplicated
duplication of data::duplication of data
data will create::data will create
piece of fact::piece of fact
fact at multiple::fact at multiple
lot of problems::lot of problems
database design concepts::database design concepts
concepts will explain::concepts will explain
process of design::process of design
entity relationship diagram::entity relationship diagram
design my system::design my system
case of quotations::case of quotations
bulk price bulk::bulk price bulk
bulk two prices::bulk two prices
number of systems::number of systems
additional with monitor::additional with monitor
kind of monitor::kind of monitor
schemas also changed::schemas also changed
tomorrow i don::tomorrow i don
bulk two price::bulk two price
longer my requirement::longer my requirement
computer which means::computer which means
understand as schema::understand as schema
business processes evolved::business processes evolved
evolved and systems::evolved and systems
systems evolved schema::systems evolved schema
deal with databases::deal with databases
earlier in terms::earlier in terms
browse the entire::browse the entire
systems which quoted::systems which quoted
price they didn::price they didn
comments for people::comments for people
viewsonic or acer::viewsonic or acer
acer tft monitors::acer tft monitors
data gets changed::data gets changed
guest and quoted::guest and quoted
information is reflected::information is reflected
vat is extra::vat is extra
flow is concerned::flow is concerned
information whatever people::information whatever people
people have quoted::people have quoted
quoted and pick::quoted and pick
pick whatever quotations::pick whatever quotations
quotations for examples::quotations for examples
examples for computers::examples for computers
reflect the approved::reflect the approved
systems for computer::systems for computer
organized in terms::organized in terms
pick the informations::pick the informations
detail how transactions::detail how transactions
data and change::data and change
change the state::change the state
shown you earlier::shown you earlier
first level search::first level search
choose a specification::choose a specification
make a query::make a query
submit that thing::submit that thing
reads the data::reads the data
read only transactions::read only transactions
database and reading::database and reading
