keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
circuits and systems	0.5123339658	0.0	0.0	5.99903981092	20.6045125094	False
prof s srinivasan	0.5094339623	0.0	0.0	3.99926139301	15.8496250072	False
department of electrical	0.5103969754	0.0	0.0	3.99918753231	17.4345875079	False
electrical engineering indian	0.5103969754	0.0	0.0	3.99918753231	17.4345875079	False
engineering indian institute	0.5103969754	0.0	0.0	3.99918753231	17.4345875079	False
institute of technology	0.5103969754	0.0	0.0	3.99918753231	17.4345875079	False
technology madras lecture	0.5103969754	0.0	0.0	3.99970455721	6.33985000288	False
introduction to digital	0.0000000000	0.0	0.0	0.0	1.58496250072	False
circuits and digital	0.0000000000	0.0	0.0	0.0	3.16992500144	False
signals a signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
light intensity variation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lot of processing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
processing of signals	0.0000000000	0.0	0.0	0.0	3.16992500144	False
signals in real	0.0000000000	0.0	0.0	0.0	1.58496250072	False
microphone the speech	0.0000000000	0.0	0.0	0.0	1.58496250072	False
typical signal processing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signal processing scenario	0.0000000000	0.0	0.0	0.0	1.58496250072	False
electrical engineering domain	0.0000000000	0.0	0.0	0.0	1.58496250072	False
domain we talk	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signals that means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
quantity a voltage	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signal is defined	0.0000000000	0.0	0.0	0.0	1.58496250072	False
variation of electrical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
variation any signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
occurs the speech	0.0000000000	0.0	0.0	0.0	1.58496250072	False
speech or temperature	0.0000000000	0.0	0.0	0.0	1.58496250072	False
seismic earthquake activity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
activity any signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
transducer a sort	0.0000000000	0.0	0.0	0.0	1.58496250072	False
device this device	0.0000000000	0.0	0.0	0.0	1.58496250072	False
device which converts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
converts non electrical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
non electrical quantity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
electrical quantity electrical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
quantity electrical signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
transducers in electrical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
define the signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parameter of interests	0.0000000000	0.0	0.0	0.0	1.58496250072	False
interests the voltage	0.0000000000	0.0	0.0	0.0	1.58496250072	False
voltage or current	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signal varies continuously	0.0000000000	0.0	0.0	0.0	1.58496250072	False
variation of signal	0.0000000000	0.0	0.0	0.0	3.16992500144	False
signal voltage level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of values	0.0000000000	0.0	0.0	0.0	3.16992500144	False
values this signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call this minimum	0.0000000000	0.0	0.0	0.0	1.58496250072	False
value as vmax	0.0000000000	0.0	0.0	0.0	1.58496250072	False
two different values	0.0000000000	0.0	0.0	0.0	1.58496250072	False
values we define	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signal always varies	0.0000000000	0.0	0.0	0.0	1.58496250072	False
make a measurement	0.4023845007	0.0	0.0	3.99970455721	6.33985000288	False
analog signal analog	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signal analog signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signal or analog	0.0000000000	0.0	0.0	0.0	3.16992500144	False
process the signal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
monitor the temperature	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system every minute	0.0000000000	0.0	0.0	0.0	1.58496250072	False
signal the signal	0.0000000000	0.0	0.0	0.0	3.16992500144	False
signal will vary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
suppose i put	0.0000000000	0.0	0.0	0.0	1.58496250072	False
put this value	0.0000000000	0.0	0.0	0.0	1.58496250072	False
easier i make	0.0000000000	0.0	0.0	0.0	1.58496250072	False
