keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
hms annotated reference	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reference with examples	0.0000000000	0.0	0.0	0.0	3.16992500144	False
examples granville barne	0.0000000000	0.0	0.0	0.0	1.58496250072	False
barne ! luca	0.0000000000	0.0	0.0	0.0	1.58496250072	False
luca del tongo	0.4059040590	0.0	0.0	3.99927457381	6.33985000288	False
del tongo data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tongo data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures and algorithms	0.5116279070	0.0	0.0	5.99909321727	7.92481250361	False
examples first edition	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first edition copyright	0.0000000000	0.0	0.0	0.0	1.58496250072	False
book is made	0.0000000000	0.0	0.0	0.0	1.58496250072	False
place for .net	0.0000000000	0.0	0.0	0.0	1.58496250072	False
big oh notation	0.2878743821	0.0	0.0	9.99818643453	15.8496250072	False
1.2.2 imperative programming	0.0000000000	0.0	0.0	0.0	3.16992500144	False
imperative programming language	0.0000000000	0.0	0.0	4.99909321727	7.92481250361	False
1.2.3 object oriented	0.0000000000	0.0	0.0	0.0	3.16992500144	False
object oriented concepts	0.0000000000	0.0	0.0	3.99945593036	4.75488750216	False
tips for working	0.0000000000	0.0	0.0	0.0	3.16992500144	False
singly linked list	0.2681291895	0.0	0.0	14.9961915125	33.2842125151	False
traversing the list	0.4059040590	0.0	0.0	1.99927457381	6.33985000288	False
list in reverse	0.0000000000	0.0	0.0	1.99945593036	4.75488750216	False
doubly linked list	0.3379815646	0.0	0.0	13.9969169387	26.9443625123	False
2.2.3 reverse traversal	0.0000000000	0.0	0.0	0.0	3.16992500144	False
binary search tree	0.3047091413	0.0	0.0	38.9934711643	57.058650026	False
finding the parent	0.0000000000	0.0	0.0	0.0	3.16992500144	False
attaining a reference	0.0000000000	0.0	0.0	0.0	3.16992500144	False
finding the smallest	0.0000000000	0.0	0.0	0.0	3.16992500144	False
smallest and largest	0.0000000000	0.0	0.0	0.0	3.16992500144	False
double ended queue	0.2887139108	0.0	0.0	5.99927457381	6.33985000288	False
attaining the greatest	0.0000000000	0.0	0.0	0.0	3.16992500144	False
greatest common denominator	0.2887139108	0.0	0.0	5.99927457381	6.33985000288	False
computing the maximum	0.0000000000	0.0	0.0	0.0	3.16992500144	False
reversing the order	0.0000000000	0.0	0.0	0.0	3.16992500144	False
order of words	0.0000000000	0.0	0.0	3.99945593036	4.75488750216	False
detecting a palindrome	0.0000000000	0.0	0.0	3.99945593036	4.75488750216	False
counting the number	0.0000000000	0.0	0.0	3.99945593036	4.75488750216	False
number of words	0.3049907579	0.0	0.0	5.99891186072	9.50977500433	False
determining the number	0.0000000000	0.0	0.0	0.0	3.16992500144	False
number of repeated	0.4059040590	0.0	0.0	1.99927457381	6.33985000288	False
rst matching character	0.0000000000	0.0	0.0	0.0	3.16992500144	False
a.1 iterative algorithms	0.0000000000	0.0	0.0	0.0	3.16992500144	False
a.2 recursive algorithms	0.0000000000	0.0	0.0	0.0	3.16992500144	False
recursive vs iterative	0.5116279070	0.0	0.0	6.99909321727	7.92481250361	False
c.1 activation records	0.0000000000	0.0	0.0	0.0	3.16992500144	False
c.2 some problems	0.0000000000	0.0	0.0	0.0	3.16992500144	False
problems are recursive	0.0000000000	0.0	0.0	0.0	3.16992500144	False
recursive in nature	0.4059040590	0.0	0.0	5.99927457381	6.33985000288	False
d.1 what constitutes	0.0000000000	0.0	0.0	0.0	3.16992500144	False
constitutes a unit	0.0000000000	0.0	0.0	0.0	3.16992500144	False
write my tests	0.0000000000	0.0	0.0	0.0	3.16992500144	False
view my test	0.0000000000	0.0	0.0	0.0	3.16992500144	False
d.5 the structuring	0.0000000000	0.0	0.0	0.0	3.16992500144	False
structuring of tests	0.0000000000	0.0	0.0	0.0	3.16992500144	False
d.6 code coverage	0.0000000000	0.0	0.0	0.0	3.16992500144	False
preface every book	0.0000000000	0.0	0.0	0.0	1.58496250072	False
simply this book	0.0000000000	0.0	0.0	0.0	1.58496250072	False
series of emails	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nt we create	0.0000000000	0.0	0.0	0.0	0.0	False
present our pseudocode	0.0000000000	0.0	0.0	0.0	1.58496250072	False
grown into pseudocode	0.0000000000	0.0	0.0	0.0	1.58496250072	False
