keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
talking about quick	0.0000000000	0.0	0.0	0.0	1.58496250072	False
series of lectures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lectures the first	0.0000000000	0.0	0.0	0.0	1.58496250072	False
argued a worst	0.0000000000	0.0	0.0	0.0	1.58496250072	False
worst case running	0.0000000000	0.0	0.0	0.0	3.16992500144	False
order n squared	0.0000000000	0.0	0.0	0.0	3.16992500144	False
squared so today	0.0000000000	0.0	0.0	0.0	1.58496250072	False
today the quick	0.0000000000	0.0	0.0	0.0	1.58496250072	False
quick sort algorithm	0.0000000000	0.0	0.0	0.0	3.16992500144	False
average in expectation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
expectation it takes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithm in practice	0.0000000000	0.0	0.0	0.0	1.58496250072	False
place sorting algorithm	0.0000000000	0.0	0.0	1.99847638395	4.75488750216	False
algorithm an algorithm	0.0000000000	0.0	0.0	0.0	3.16992500144	False
sort in place	0.0000000000	0.0	0.0	0.0	1.58496250072	False
require any additional	0.0000000000	0.0	0.0	0.0	1.58496250072	False
two more variables	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sort a large	0.0000000000	0.0	0.0	0.0	1.58496250072	False
collection of numbers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
divide and conquer	0.4171122995	0.0	0.0	3.99796851193	6.33985000288	False
lot of divide	0.0000000000	0.0	0.0	0.0	1.58496250072	False
level the idea	0.0000000000	0.0	0.0	0.0	1.58496250072	False
idea behind divide	0.0000000000	0.0	0.0	0.0	1.58496250072	False
solve you divide	0.0000000000	0.0	0.0	0.0	1.58496250072	False
divide the problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pieces you solve	0.0000000000	0.0	0.0	0.0	1.58496250072	False
solve the problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
case of quick	0.0000000000	0.0	0.0	0.0	1.58496250072	False
partition our array	0.0000000000	0.0	0.0	0.0	1.58496250072	False
numbers and partitioned	0.0000000000	0.0	0.0	0.0	1.58496250072	False
partitioned it break	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call the lower	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call the higher	0.0000000000	0.0	0.0	0.0	1.58496250072	False
part the property	0.0000000000	0.0	0.0	0.0	1.58496250072	False
part every number	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sort the lower	0.0000000000	0.0	0.0	0.998476383951	4.75488750216	False
sort the higher	0.0000000000	0.0	0.0	0.0	1.58496250072	False
put all elements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
thing is sorted	0.0000000000	0.0	0.0	0.0	3.16992500144	False
sorted the lower	0.0000000000	0.0	0.0	0.0	1.58496250072	False
part is sorted	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sorted the higher	0.0000000000	0.0	0.0	0.0	1.58496250072	False
part every elements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
partition is done	0.0000000000	0.0	0.0	0.0	1.58496250072	False
give a algorithm	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linear time procedure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
partitioning is done	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lower half lower	0.0000000000	0.0	0.0	0.0	3.16992500144	False
half lower part	0.0000000000	0.0	0.0	0.0	3.16992500144	False
takes us parameters	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parameters the array	0.0000000000	0.0	0.0	0.0	1.58496250072	False
partitions the sub	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pivot element t.k	0.0000000000	0.0	0.0	0.0	1.58496250072	False
value p minus	0.0000000000	0.0	0.0	0.0	1.58496250072	False
location this location	0.0000000000	0.0	0.0	0.0	1.58496250072	False
array the sub	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lop while true	0.0000000000	0.0	0.0	0.0	1.58496250072	False
true which means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reach a location	0.0000000000	0.0	0.0	3.99847638395	4.75488750216	False
reach a locations	0.0000000000	0.0	0.0	0.0	3.16992500144	False
equal to ten	0.1930693069	0.0	0.0	10.9969527679	9.50977500433	False
reached a location	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sense called prints	0.0000000000	0.0	0.0	0.0	1.58496250072	False
