lecture we looked::lecture we looked
looked at stacks::looked at stacks
queues and linked::queues and linked
part the class::part the class
queues linked list::queues linked list
list and double::list and double
double ended queues::double ended queues
recall the stack::recall the stack
follow the last::follow the last
last in first::last in first
first out principle::first out principle
removed first right::removed first right
first right queue::first right queue
first in first::first in first
principle whoever joins::principle whoever joins
joins the queue::joins the queue
queue early earlier::queue early earlier
familiar with queues::familiar with queues
queue for instance::queue for instance
instance here notion::instance here notion
element is removed::element is removed
queue the element::queue the element
remove the element::remove the element
element from queue::element from queue
insert an element::insert an element
remove an element::remove an element
abstract data type::abstract data type
create a queue::create a queue
queue the method::queue the method
method to add::method to add
add an element::add an element
queue and dequeue::queue and dequeue
queue the front::queue the front
differ from dequeue::differ from dequeue
dequeue it doesn::dequeue it doesn
remove the front::remove the front
method to implement::method to implement
implement the queue::implement the queue
queue and empty::queue and empty
queue is empty::queue is empty
return the true::return the true
empty and false::empty and false
case of stacks::case of stacks
define similar axioms::define similar axioms
element or enqueue::element or enqueue
enqueue an element::enqueue an element
suppose i create::suppose i create
dequeue an element::dequeue an element
queue um queue::queue um queue
enqueued a element::enqueued a element
means i added::means i added
added a element::added a element
two the queue::two the queue
elements of first::elements of first
elements of queue::elements of queue
front of queue::front of queue
queue if queue::queue if queue
notion of front::notion of front
front of enqueue::front of enqueue
removed an element::removed an element
queue was empty::queue was empty
queue i removed::queue i removed
right lets check::right lets check
out lets assume::out lets assume
assume that queue::assume that queue
first i added::first i added
empty i added::empty i added
left an empty::left an empty
left be left::left be left
element the original::element the original
original queue queue::original queue queue
started with queue::started with queue
queue i added::queue i added
dequeued which means::dequeued which means
means i remove::means i remove
element of queue::element of queue
implement a queue::implement a queue
array to implement::array to implement
right um suppose::right um suppose
suppose someone tells::suppose someone tells
allocate an array::allocate an array
array of size::array of size
location this blue::location this blue
reached this place::reached this place
right the first::right the first
element i insert::element i insert
element i inserted::element i inserted
deleting an elements::deleting an elements
deleting an element::deleting an element
effect the elements::effect the elements
elements the queue::elements the queue
kind of drift::kind of drift
kind of deleted::kind of deleted
deleted f minus::deleted f minus
minus one element::minus one element
lets say queue::lets say queue
right not accurate::right not accurate
accurate completely accurate::accurate completely accurate
accurate the statement::accurate the statement
inserting an elements::inserting an elements
elements this queue::elements this queue
queue i insert::queue i insert
insert another element::insert another element
inserted another element::inserted another element
insert anymore elements::insert anymore elements
doing ill rap::doing ill rap
start and setting::start and setting
setting the elements::setting the elements
right of rear::right of rear
location the first::location the first
initially a queue::initially a queue
front was referring::front was referring
minus one right::minus one right
right because rear::right because rear
point i reaches::point i reaches
reaches at equation::reaches at equation
empty or full::empty or full
full or empty::full or empty
removing the elements::removing the elements
elements i didn::elements i didn
deleted i removed::deleted i removed
element i removed::element i removed
removed this removed::removed this removed
remove this right::remove this right
suppose i incremented::suppose i incremented
move one step::move one step
move another step::move another step
add a element::add a element
manner f equals::manner f equals
code for enqueue::code for enqueue
number of elements::number of elements
queue is full::queue is full
full we written::full we written
written the queue::written the queue
queue full exception::queue full exception
case then add::case then add
add the rear::add the rear
rear location put::rear location put
put the element::put the element
circular so rap::circular so rap
rap around right::rap around right
two it returns::two it returns
returns this value::returns this value
setting r minus::setting r minus
minus f tells::minus f tells
queue n minus::queue n minus
elements right check::elements right check
confused is empty::confused is empty
empty f equals::empty f equals
element with queue::element with queue
means the queue::means the queue
full f equals::full f equals
equals r return::equals r return
empty will return::empty will return
method for front::method for front
empty then raise::empty then raise
raise an exception::raise an exception
return an front::return an front
removing the front::removing the front
front element done::front element done
increment the front::increment the front
index and remove::index and remove
element by setting::element by setting
implement our queue::implement our queue
queue the disadvantage::queue the disadvantage
array is fixed::array is fixed
queue you knew::queue you knew
maximum size queue::maximum size queue
idea maximum size::idea maximum size
size its increases::size its increases
double the size::double the size
linked list assume::linked list assume
familiar with linked::familiar with linked
essentially blinked list::essentially blinked list
tail of list::tail of list
element some data::element some data
linked list implement::linked list implement
queue then question::queue then question
right the tail::right the tail
remove this element::remove this element
element the linked::element the linked
element from linked::element from linked
change this pointer::change this pointer
accessing it pointer::accessing it pointer
element no problem::element no problem
element the front::element the front
implement from methods::implement from methods
dequeue which means::dequeue which means
increment just making::increment just making
making the head::making the head
delete the head::delete the head
delete this element::delete this element
connected here make::connected here make
make the head::make the head
node so inserting::node so inserting
inserting the head::inserting the head
kind of move::kind of move
move the head::move the head
element recall enqueue::element recall enqueue
element this pointer::element this pointer
modified to pointer::modified to pointer
pointer this element::pointer this element
element and tail::element and tail
question we discuss::question we discuss
difficult to remove::difficult to remove
remove this node::remove this node
node to remove::node to remove
access the previous::access the previous
kind of list::kind of list
list to start::list to start
problem his question::problem his question
problem in removing::problem in removing
removing this node::removing this node
node the problem::node the problem
make this point::make this point
throw the entire::throw the entire
node very expensive::node very expensive
tail which means::tail which means
means the front::means the front
queue data type::queue data type
type is concern::type is concern
introduce another data::introduce another data
double ended queue::double ended queue
queue right whats::queue right whats
whats the double::whats the double
insert and delete::insert and delete
operations both ends::operations both ends
insert first insert::insert first insert
first insert last::first insert last
insert last remove::insert last remove
remove first remove::remove first remove
first remove last::first remove last
remove last insert::remove last insert
queue and insert::queue and insert
first and last::first and last
queue both ends::queue both ends
singly linked list::singly linked list
idea to implement::idea to implement
implement such double::implement such double
doubly linked list::doubly linked list
list to implement::list to implement
implement double double::implement double double
double double ended::double double ended
queues so first::queues so first
pointer one previous::pointer one previous
two sentinel nodes::two sentinel nodes
pointers one pointing::pointers one pointing
operations of double::operations of double
queue in constant::queue in constant
delete this node::delete this node
pointer to trail::pointer to trail
follow the pointer::follow the pointer
port and set::port and set
pointer to trailer::pointer to trailer
previous point trailer::previous point trailer
node perhaps applied::node perhaps applied
header and trailer::header and trailer
linked list header::linked list header
sentinel nodes dummy::sentinel nodes dummy
nodes dummy nodes::nodes dummy nodes
nodes they don::nodes they don
dare to mark::dare to mark
mark the start::mark the start
