dictionary abstract data::dictionary abstract data
abstract data type::abstract data type
search is done::search is done
analysis for binary::analysis for binary
table how hashing::table how hashing
hashing is done::hashing is done
collision resolution techniques::collision resolution techniques
techniques a dictionary::techniques a dictionary
type that store::type that store
store stores element::store stores element
store bank accounts::store bank accounts
key the notion::key the notion
right so bank::right so bank
account has lots::account has lots
lots of information::lots of information
access the bank::access the bank
account or data::account or data
accounts stores wealth::accounts stores wealth
wealth of information::wealth of information
list of transactions::list of transactions
last few days::last few days
key a dictionary::key a dictionary
stores the elements::stores the elements
talk of key::talk of key
key the key::key the key
number this helps::number this helps
helps us access::helps us access
application that wishes::application that wishes
operate an account::operate an account
kind of operation::kind of operation
provide the account::provide the account
number as key::number as key
basically an abstract::basically an abstract
database the dictionary::database the dictionary
store this key::store this key
key element pairs::key element pairs
pairs the key::pairs the key
number for instance::number for instance
identifies particular student::identifies particular student
supported is searching::supported is searching
searching by key::searching by key
kind of methods::kind of methods
standard container methods::standard container methods
queues and stacks::queues and stacks
size which tells::size which tells
dictionary is empty::dictionary is empty
elements which returns::elements which returns
find the element::find the element
kind of settings::kind of settings
return all elements::return all elements
insert an element::insert an element
remove an element::remove an element
remove all elements::remove all elements
remember the notion::remember the notion
wealth of data::wealth of data
special element nill::special element nill
dictionary then lets::dictionary then lets
return a nill::return a nill
comparison of keys::comparison of keys
keys for equality::keys for equality
two particular keys::two particular keys
right one key::right one key
doing is searching::doing is searching
right for instance::right for instance
notion of taking::notion of taking
taking two names::taking two names
require is comparing::require is comparing
right we don::right we don
lectures is talk::lectures is talk
ways of implementing::ways of implementing
implementing this abstract::implementing this abstract
list to implement::list to implement
implement dictionary right::implement dictionary right
implement a dictionary::implement a dictionary
implement this dictionary::implement this dictionary
dictionary every node::dictionary every node
predecessor or successor::predecessor or successor
completely arbitrary manner::completely arbitrary manner
throw them arbitrary::throw them arbitrary
linked list implementation::linked list implementation
implementation right today::implementation right today
whats called hash::whats called hash
binary tree red::binary tree red
tree red black::tree red black
red black trees::red black trees
black trees avl::black trees avl
trees avl trees::trees avl trees
trees b trees::trees b trees
mechanisms data structures::mechanisms data structures
structures to implement::structures to implement
critical very important::critical very important
important data type::important data type
right in java::right in java
class called java::class called java
java that util::java that util
util dot dictionary::util dot dictionary
dictionary which lays::dictionary which lays
interface java dot::interface java dot
java dot util::java dot util
dot util dot::dot util dot
util dot map::util dot map
dictionary you understand::dictionary you understand
problem searching right::problem searching right
problem of searching::problem of searching
searching is falling::searching is falling
set of sequence::set of sequence
sequence of numbers::sequence of numbers
keys and databases::keys and databases
right so index::right so index
number or null::number or null
sitting at position::sitting at position
call searching lets::call searching lets
technique called binary::technique called binary
search i imagine::search i imagine
recall the technique::recall the technique
search is divide::search is divide
divide and conquer::divide and conquer
doing in divide::doing in divide
divide and search::divide and search
range of elements::range of elements
query the key::query the key
sorted order increasing::sorted order increasing
increasing or decreasing::increasing or decreasing
decreasing for binary::decreasing for binary
search to work::search to work
right ill compare::right ill compare
fourteen and twenty::fourteen and twenty
twenty two twenty::twenty two twenty
two is larger::two is larger
means that twenty::means that twenty
twenty two lies::twenty two lies
set of elements::set of elements
low and high::low and high
range of part::range of part
searching for twenty::searching for twenty
middle element compare::middle element compare
element compare twenty::element compare twenty
middle element twenty::middle element twenty
element which means::element which means
means the twenty::means the twenty
two this part::two this part
element we search::element we search
compare this middle::compare this middle
location and returns::location and returns
returns this information::returns this information
write a recursive::write a recursive
read and understand::read and understand
notion of low::notion of low
search so procedure::search so procedure
searching for low::searching for low
end and high::end and high
thing if low::thing if low
basically that means::basically that means
return an null::return an null
null the key::null the key
obtained by taking::obtained by taking
taking the average::taking the average
average of low::average of low
high and check::high and check
check if middle::check if middle
return the position::return the position
found the keys::found the keys
mid if key::mid if key
array the left::array the left
staring location low::staring location low
ending location mid::ending location mid
location mid minus::location mid minus
array which means::array which means
means the mid::means the mid
two high right::two high right
binary search small::binary search small
search small pieces::search small pieces
pieces of code::pieces of code
write a iterative::write a iterative
procedure you understand::procedure you understand
understand this thing::understand this thing
procedure the low::procedure the low
low to begin::low to begin
doing same thing::doing same thing
right and updating::right and updating
high and low::high and low
first step low::first step low
low becomes mid::low becomes mid
element was larger::element was larger
element the element::element the element
mid element low::mid element low
element is smaller::element is smaller
mid element high::mid element high
high become mid::high become mid
find the key::find the key
return the location::return the location
location we found::location we found
found the key::found the key
key or low::key or low
low becomes larger::low becomes larger
larger than high::larger than high
loop and return::loop and return
write binary search::write binary search
two different ways::two different ways
log n base::log n base
base two right::base two right
problem is halved::problem is halved
comparison each comparison::comparison each comparison
essentially the range::essentially the range
comparison the range::comparison the range
right after logging::right after logging
roughly require log::roughly require log
base two comparison::base two comparison
location you desire::location you desire
desire in constant::desire in constant
write any base::write any base
base for log::base for log
understand this class::understand this class
base two suppose::base two suppose
suppose the numbers::suppose the numbers
assume the numbers::assume the numbers
elements go throw::elements go throw
throw entire array::throw entire array
compare your key::compare your key
element you searched::element you searched
array if sorted::array if sorted
huge difference coming::huge difference coming
right the sorting::right the sorting
sort the element::sort the element
element to begin::element to begin
small pseudo code::small pseudo code
array one element::array one element
asked to implement::asked to implement
caller id facility::caller id facility
large phone company::large phone company
right various company::right various company
person whose making::person whose making
making the call::making the call
return the callers::return the callers
case in delhi::case in delhi
range of phone::range of phone
million phone numbers::million phone numbers
range his hundred::range his hundred
numbers are present::numbers are present
right you understand::right you understand
understand the difference::understand the difference
actual different number::actual different number
number of elements::number of elements
understands the problem::understands the problem
means its suppose::means its suppose
searching take order::searching take order
understand why right::understand why right
roughly the order::roughly the order
order so removing::order so removing
removing an element::removing an element
suppose particular person::suppose particular person
search first first::search first first
first first search::first first search
searching and removing::searching and removing
removing since searching::removing since searching
searching itself taking::searching itself taking
thing an order::thing an order
list you don::list you don
putting the elements::putting the elements
location yes inserting::location yes inserting
implementation is good::implementation is good
things is failable::things is failable
maintain log files::maintain log files
maintain some kinds::maintain some kinds
kinds of log::kinds of log
file for instance::file for instance
instance any kind::instance any kind
transactions are happening::transactions are happening
revert the transaction::revert the transaction
taking what happening::taking what happening
maintain this maintain::maintain this maintain
searches or removals::searches or removals
thing happens transaction::thing happens transaction
frequent but searches::frequent but searches
searches and delete::searches and delete
case this implementation::case this implementation
good because insert::good because insert
takes only constant::takes only constant
frequently to decide::frequently to decide
decide what type::decide what type
implement the abstract::implement the abstract
abstract the dictionary::abstract the dictionary
dictionary data type::dictionary data type
searching take log::searching take log
log n log::log n log
log n provide::log n provide
kind of direct::kind of direct
direct access mechanism::direct access mechanism
searching takes log::searching takes log
inserting and removing::inserting and removing
putting in input::putting in input
input an array::input an array
maintain the sorted::maintain the sorted
insert the element::insert the element
element particular location::element particular location
case similarly delete::case similarly delete
examples in previous::examples in previous
inserting take order::inserting take order
order n elements::order n elements
order plus log::order plus log
log n order::log n order
recall your big::recall your big
big oh notation::big oh notation
notation so order::notation so order
lot of searching::lot of searching
inserts and deletes::inserts and deletes
deletes from dictionary::deletes from dictionary
array of size::array of size
right huge array::right huge array
array and put::array and put
position which corresponds::position which corresponds
corresponds to ankurs::corresponds to ankurs
ankurs phone number::ankurs phone number
operations insert search::operations insert search
search and delete::search and delete
insert a caller::insert a caller
caller id capability::caller id capability
array that location::array that location
location and retrive::location and retrive
remove the element::remove the element
constant time great::constant time great
great what bad::great what bad
implementation your wasting::implementation your wasting
lot of space::lot of space
spaces is turning::spaces is turning
order one excepted::order one excepted
two much spaces::two much spaces
spaces and lets::spaces and lets
hundred million phone::hundred million phone
create an array::create an array
size the hundred::size the hundred
create a smaller::create a smaller
users two locations::users two locations
number of users::number of users
compute this value::compute this value
compute this quantity::compute this quantity
ankur at location::ankur at location
insert and delete::insert and delete
delete and lets::delete and lets
lets say keys::lets say keys
numbers but entry::numbers but entry
numbers is huge::numbers is huge
infact i don::infact i don
set of values::set of values
create a table::create a table
table of size::table of size
modulo five function::modulo five function
takes the last::takes the last
last two digits::last two digits
mapped to location::mapped to location
table of hundred::table of hundred
hundred entries table::hundred entries table
put you depending::put you depending
depending upon last::depending upon last
problem not arise::problem not arise
delete and search::delete and search
address this problem::address this problem
addressing this issue::addressing this issue
keys which mapped::keys which mapped
concept called chaining::concept called chaining
ways of addressing::ways of addressing
issue and today::issue and today
today in todays::today in todays
first technique simplest::first technique simplest
technique simplest technique::technique simplest technique
technique called chain::technique called chain
put the elements::put the elements
linked list starting::linked list starting
taking the key::taking the key
key and computing::key and computing
keys were mapped::keys were mapped
case three keys::case three keys
keys getting mapped::keys getting mapped
map to location::map to location
four no keys::four no keys
address the problem::address the problem
problem of collision::problem of collision
resolve the collision::resolve the collision
things in constant::things in constant
right worst case::right worst case
worst case worst::worst case worst
case worst case::case worst case
