continue our discussion::continue our discussion
concept of hashing::concept of hashing
collision in hashing::collision in hashing
hashing using linked::hashing using linked
method of hashing::method of hashing
method of collision::method of collision
chaining so today::chaining so today
two other method::two other method
collision resolution linear::collision resolution linear
resolution linear probing::resolution linear probing
probing and double::probing and double
discussing what hash::discussing what hash
functions what good::functions what good
good hash function::good hash function
function the function::function the function
quick to compute::quick to compute
distribute the keys::distribute the keys
keys get mapped::keys get mapped
performance of hashing::performance of hashing
linked list good::linked list good
list good hash::list good hash
paradox called birthday::paradox called birthday
thirty five students::thirty five students
students more sitting::students more sitting
compute that probability::compute that probability
sixty five days::sixty five days
thirty five people::thirty five people
fairly high probability::fairly high probability
kind of thing::kind of thing
thing is happening::thing is happening
right your days::right your days
key and put::key and put
keys were end::keys were end
slot birthday paradox::slot birthday paradox
paradox no matter::paradox no matter
matter what kind::matter what kind
kind of hash::kind of hash
notion this problem::notion this problem
deal with non::deal with non
non integer keys::non integer keys
keys in fact::keys in fact
keys were telephone::keys were telephone
return the telephone::return the telephone
numbers this manner::numbers this manner
integer we doesn::integer we doesn
drop this hyphen::drop this hyphen
techniques of converting::techniques of converting
converting non integers::converting non integers
non integers keys::non integers keys
non integer key::non integer key
last two digits::last two digits
hash function value::hash function value
converting non integer::converting non integer
keys into integer::keys into integer
hash code map::hash code map
make a hash::make a hash
function so recall::function so recall
recall a hash::recall a hash
basically a mapping::basically a mapping
mapping of keys::mapping of keys
table your hash::table your hash
code map maps::code map maps
maps the key::maps the key
key to integer::key to integer
bring this integer::bring this integer
minus one right::minus one right
call compression map::call compression map
kind of functions::kind of functions
requirement of hash::requirement of hash
key gets map::key gets map
map an key::map an key
location you understand::location you understand
mapped to location::mapped to location
maps it location::maps it location
location thirteen right::location thirteen right
kind of randomization::kind of randomization
map equal keys::map equal keys
minimize the probability::minimize the probability
probability of collisions::probability of collisions
collisions so lets::collisions so lets
popular hash code::popular hash code
hash code maps::hash code maps
code maps recall::code maps recall
recall the hash::recall the hash
map the part::map the part
part which converts::part which converts
converts your key::converts your key
pat and interpret::pat and interpret
numeric type thirty::numeric type thirty
thirty two bits::thirty two bits
interpret the bits::interpret the bits
numbers a longer::numbers a longer
longer double real::longer double real
double real number::double real number
number which takes::number which takes
chunks of thirty::chunks of thirty
bits and add::bits and add
first four bytes::first four bytes
bytes and add::bytes and add
eventually some thirty::eventually some thirty
thirty two bit::thirty two bit
kind of tree::kind of tree
compute the hash::compute the hash
lets say ankur::lets say ankur
compute the value::compute the value
number of collisions::number of collisions
two different names::two different names
kind of things::kind of things
converts strings character::converts strings character
strings character strings::strings character strings
whats called polynomial::whats called polynomial
polynomial whose coefficient::polynomial whose coefficient
evaluate this polynomial::evaluate this polynomial
evaluation that value::evaluation that value
right that integer::right that integer
map to map::map to map
code map weren::code map weren
convert a string::convert a string
non integer data::non integer data
right so evaluate::right so evaluate
stuff so people::stuff so people
people have looked::people have looked
thirty three thirty::thirty three thirty
thirty seven thirty::thirty seven thirty
lets say english::lets say english
fifty thousand words::fifty thousand words
technique to convert::technique to convert
convert your words::convert your words
observed experimental right::observed experimental right
code map lets::code map lets
table now suppose::table now suppose
size thousand twenty::size thousand twenty
choose your right::choose your right
taking some integer::taking some integer
essentially that means::essentially that means
last ten bits::last ten bits
write the integer::write the integer
taking the last::taking the last
last two bits::last two bits
lets say mod::lets say mod
taking some small::taking some small
bits the last::bits the last
ten bits basing::ten bits basing
basing the hash::basing the hash
kind of compression::kind of compression
map this simple::map this simple
simple compression map::simple compression map
two in fact::two in fact
fact it helps::fact it helps
number to give::number to give
two thousand strings::two thousand strings
put in hash::put in hash
pick the size::pick the size
hash table lets::hash table lets
threes roughly thousand::threes roughly thousand
strings per location::strings per location
size of hash::size of hash
hash table close::hash table close
kind of effect::kind of effect
effect its start::effect its start
preferably a prime::preferably a prime
things dont work::things dont work
lot of collisions::lot of collisions
right and lot::right and lot
follow perhaps improve::follow perhaps improve
kinds of compression::kinds of compression
essentially first read::essentially first read
suppose your key::suppose your key
max so recall::max so recall
recall now assuming::recall now assuming
keys are integers::keys are integers
map to convert::map to convert
integer right keys::integer right keys
max so first::max so first
multiply each key::multiply each key
first we converted::first we converted
multiply that number::multiply that number
function which means::function which means
means the round::means the round
popular compression map::popular compression map
doing such things::doing such things
lot of jugglery::lot of jugglery
smaller fraction part::smaller fraction part
evident some evident::evident some evident
root five minus::root five minus
book by donald::book by donald
knuth on sorting::knuth on sorting
sorting and searching::sorting and searching
searching which covers::searching which covers
covers hash functions::covers hash functions
add and divide::add and divide
two fixed numbers::two fixed numbers
kind of problem::kind of problem
right in fact::right in fact
avoid any kind::avoid any kind
kind of patterns::kind of patterns
random number generator::random number generator
right as part::right as part
random number random::random number random
number random number::number random number
technique called linear::technique called linear
technique linear congruential::technique linear congruential
linear congruential generators::linear congruential generators
instance your random::instance your random
initial k value::initial k value
compute this quantity::compute this quantity
give random number::give random number
value you return::value you return
return right whichever::return right whichever
right whichever last::right whichever last
whichever last random::whichever last random
last random number::last random number
generate random number::generate random number
pseudo random number::pseudo random number
technique called universal::technique called universal
hash function function::hash function function
set of keys::set of keys
function get mapped::function get mapped
make life difficult::make life difficult
spend a lot::spend a lot
doing insert delete::doing insert delete
insert delete searching::insert delete searching
delete searching right::delete searching right
bunch of hash::bunch of hash
hash function lets::hash function lets
lets say fifteen::lets say fifteen
fifteen different hash::fifteen different hash
pick one hash::pick one hash
function to put::function to put
put the keys::put the keys
