class we discussed::class we discussed
collision resolution techniques::collision resolution techniques
first saw chaining::first saw chaining
chaining then last::chaining then last
double hashing linear::double hashing linear
hashing linear programming::hashing linear programming
bit of analysis::bit of analysis
right in today::right in today
talk about trees::talk about trees
trees some data::trees some data
structures for trees::structures for trees
top most trees::top most trees
notion of parent::notion of parent
parent and children::parent and children
parent of node::parent of node
difference between ancestor::difference between ancestor
ancestor and grandparent::ancestor and grandparent
siblings please note::siblings please note
children of node::children of node
great grand parent::great grand parent
term just call::term just call
terms we defined::terms we defined
nature of family::nature of family
right the extremists::right the extremists
leaf a leaf::leaf a leaf
tree so leaf::tree so leaf
leaves more definitions::leaves more definitions
nodes right node::nodes right node
associate a notion::associate a notion
notion of level::notion of level
node the root::node the root
level zero children::level zero children
level two right::level two right
depth in level::depth in level
depth zero depth::depth zero depth
depth two depth::depth two depth
node the height::node the height
point the degree::point the degree
node the number::node the number
number of children::number of children
leaves have degree::leaves have degree
basically basic terminology::basically basic terminology
terminology quite intuitive::terminology quite intuitive
represent the hierarchy::represent the hierarchy
lets called electronics::lets called electronics
r&d one divisions::r&d one divisions
divisions another purchasing::divisions another purchasing
purchasing another manufacturing::purchasing another manufacturing
manufacturing fourth division::manufacturing fourth division
fourth division sales::fourth division sales
lets say domestic::lets say domestic
division an international::division an international
represent the organizational::represent the organizational
tree to represent::tree to represent
represent the table::represent the table
table of contents::table of contents
lets say book::lets say book
book called student::book called student
chapters overview grading::chapters overview grading
overview grading environment::overview grading environment
grading environment programming::grading environment programming
environment programming support::environment programming support
programming support code::programming support code
sections called exams::sections called exams
homework s programs::homework s programs
build up tree::build up tree
tree your file::tree your file
directory certain directory::directory certain directory
two sub directories::two sub directories
directories in mat::directories in mat
homework s assignment::homework s assignment
start using definitions::start using definitions
node are ordered::node are ordered
put this child::put this child
child right suppose::child right suppose
draw family tree::draw family tree
draw the eldest::draw the eldest
move from left::move from left
notion of ordered::notion of ordered
reflect that order::reflect that order
notion of order::notion of order
two sub directory::two sub directory
sub directory trees::sub directory trees
nt really make::nt really make
make a sense::make a sense
convey any additional::convey any additional
children s right::children s right
tree a binary::tree a binary
notion of left::notion of left
four five leaves::four five leaves
children this node::children this node
children one child::children one child
defined the notion::defined the notion
interchange the top::interchange the top
top two nodes::top two nodes
stil remain ordered::stil remain ordered
remain ordered wont::remain ordered wont
ordered wont wont::ordered wont wont
wont be ordered::wont be ordered
ordered be started::ordered be started
manner which means::manner which means
means i put::means i put
move this entire::move this entire
two different binary::two different binary
representing an information::representing an information
change the order::change the order
define a binary::define a binary
binary tree recursive::binary tree recursive
tree recursive format::tree recursive format
right a binary::right a binary
read the single::read the single
node a leaf::node a leaf
attached two trees::attached two trees
two trees binary::two trees binary
trees binary tree::trees binary tree
tree this part::tree this part
left sub tree::left sub tree
right sub tree::right sub tree
construct any binary::construct any binary
node i attached::node i attached
attached left sub::attached left sub
tree right sub::tree right sub
sub tree recursive::sub tree recursive
