keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
structures and programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stacks and queues	0.0000000000	0.0	0.0	0.0	1.58496250072	False
queues the first	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
study this semester	0.0000000000	0.0	0.0	0.0	1.58496250072	False
order they arrive	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stacks are data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures which maintain	0.0000000000	0.0	0.0	0.0	3.16992500144	False
maintain the order	0.0000000000	0.0	0.0	0.0	3.16992500144	False
order of last-in	0.0000000000	0.0	0.0	0.0	1.58496250072	False
queues are data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
order of first-in	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lines at stores	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stores are organized	0.0000000000	0.0	0.0	0.0	1.58496250072	False
organized as queues	0.0000000000	0.0	0.0	0.0	1.58496250072	False
applications in programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data structure operations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operations on stacks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stacks the terminology	0.0000000000	0.0	0.0	0.0	1.58496250072	False
spring loaded plate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
loaded plate containers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
plate containers common	0.0000000000	0.0	0.0	0.0	1.58496250072	False
common in dining	0.0000000000	0.0	0.0	0.0	1.58496250072	False
plate is washed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
plate is popped	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stack a stack	0.0000000000	0.0	0.0	0.0	1.58496250072	False
don t care	0.0000000000	0.0	0.0	0.0	1.58496250072	False
maintaining procedure calls	0.0000000000	0.0	0.0	0.0	1.58496250072	False
procedure calls stacks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
maintain the return	0.0000000000	0.0	0.0	0.0	1.58496250072	False
modula-3 procedures call	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call other procedures	0.0000000000	0.0	0.0	0.0	3.16992500144	False
procedures which call	0.0000000000	0.0	0.0	0.0	1.58496250072	False
jacob and esau	0.0000000000	0.0	0.0	0.0	3.16992500144	False
esau were twin	0.0000000000	0.0	0.0	0.0	1.58496250072	False
brothers where esau	0.0000000000	0.0	0.0	0.0	1.58496250072	False
esau was born	0.0000000000	0.0	0.0	0.0	1.58496250072	False
issac s birthright	0.0000000000	0.0	0.0	0.0	1.58496250072	False
jacob got esau	0.0000000000	0.0	0.0	0.0	1.58496250072	False
esau to give	0.0000000000	0.0	0.0	0.0	1.58496250072	False
bowl of soup	0.0000000000	0.0	0.0	0.0	1.58496250072	False
patriarch of israel	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tricking his brother	0.0000000000	0.0	0.0	0.0	1.58496250072	False
famous 11th century	0.0000000000	0.0	0.0	0.0	1.58496250072	False
11th century jewish	0.0000000000	0.0	0.0	0.0	1.58496250072	False
century jewish commentator	0.0000000000	0.0	0.0	0.0	1.58496250072	False
explained the problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
jacob was conceived	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tube to assume	0.0000000000	0.0	0.0	0.0	1.58496250072	False
assume his rightful	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first in line	0.0000000000	0.0	0.0	0.0	1.58496250072	False
line abstract operations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
item x note	0.0000000000	0.0	0.0	0.0	1.58496250072	False
search operation initialize	0.0000000000	0.0	0.0	0.0	1.58496250072	False
two are boolean	0.0000000000	0.0	0.0	0.0	1.58496250072	False
boolean queries defining	0.0000000000	0.0	0.0	0.0	1.58496250072	False
defining these abstract	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract operations lets	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lets us build	0.0000000000	0.0	0.0	0.0	1.58496250072	False
build a stack	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reuse without knowing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
knowing the details	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implementation the easiest	0.0000000000	0.0	0.0	0.0	1.58496250072	False
