keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
structures and algorithms	0.4721110360	0.0	0.0	15.9992058018	60.2285750274	False
naveen garg department	0.5095948827	0.0	0.0	11.9992476017	57.058650026	False
department of computer	0.5095948827	0.0	0.0	11.9992476017	57.058650026	False
science and engineering	0.5095948827	0.0	0.0	11.9992476017	57.058650026	False
engineering indian institute	0.5093233884	0.0	0.0	11.9992685017	55.4736875252	False
institute of technology	0.5093233884	0.0	0.0	11.9992685017	55.4736875252	False
talk about abstract	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data types	0.0000000000	0.0	0.0	3.99993730014	4.75488750216	False
stacks are implemented	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implemented in java	0.0000000000	0.0	0.0	0.0	1.58496250072	False
java and application	0.0000000000	0.0	0.0	0.0	1.58496250072	False
talk about growable	0.0000000000	0.0	0.0	0.0	1.58496250072	False
bit of amortized	0.0000000000	0.0	0.0	0.0	1.58496250072	False
talk about stacks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stacks in java	0.0000000000	0.0	0.0	0.0	1.58496250072	False
java virtual machine	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data type	0.2948147495	0.0	0.0	34.9992058018	60.2285750274	False
basically a specification	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of axioms	0.0000000000	0.0	0.0	0.0	3.16992500144	False
axioms that define	0.0000000000	0.0	0.0	0.0	3.16992500144	False
define the semantics	0.0000000000	0.0	0.0	0.0	1.58496250072	False
types like integer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
understand the notion	0.0000000000	0.0	0.0	0.0	3.16992500144	False
notion of addition	0.0000000000	0.0	0.0	0.0	1.58496250072	False
integers in mathematics	0.0000000000	0.0	0.0	0.0	1.58496250072	False
define data types	0.0000000000	0.0	0.0	0.0	1.58496250072	False
types those operations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parameters that operation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
case of integers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
integers as defined	0.0000000000	0.0	0.0	0.0	1.58496250072	False
defined in mathematics	0.0000000000	0.0	0.0	0.0	1.58496250072	False
add a variable	0.0000000000	0.0	0.0	0.0	1.58496250072	False
variable of type	0.0000000000	0.0	0.0	0.0	3.16992500144	False
method in java	0.0000000000	0.0	0.0	0.0	1.58496250072	False
create an instance	0.0000000000	0.0	0.0	0.0	1.58496250072	False
talking about sophisticated	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sophisticated data types	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lot of work	0.0000000000	0.0	0.0	0.0	3.16992500144	False
work access functions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
type and manipulation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
manipulate or modify	0.0000000000	0.0	0.0	0.0	1.58496250072	False
modify the data	0.0000000000	0.0	0.0	0.0	3.16992500144	False
talking about data	0.0000000000	0.0	0.0	1.99993730014	4.75488750216	False
types ? data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
identify the requirements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
level of abstraction	0.0000000000	0.0	0.0	0.0	1.58496250072	False
talking in terms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
terms of adding	0.0000000000	0.0	0.0	0.0	1.58496250072	False
terms of stacks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stacks or queues	0.0000000000	0.0	0.0	0.0	1.58496250072	False
advanced data type	0.0000000000	0.0	0.0	0.0	1.58496250072	False
encapsulate the data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data is organized	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithms that work	0.0000000000	0.0	0.0	0.0	1.58496250072	False
separate the issues	0.0000000000	0.0	0.0	0.0	1.58496250072	False
issues of correctness	0.0000000000	0.0	0.0	0.0	1.58496250072	False
correctness and efficiency	0.0000000000	0.0	0.0	0.0	1.58496250072	False
start by giving	0.0000000000	0.0	0.0	0.0	1.58496250072	False
giving a simple	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set a set	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set is defined	0.0000000000	0.0	0.0	0.0	1.58496250072	False
collection of objects	0.0000000000	0.0	0.0	2.99993730014	4.75488750216	False
modify that collection	0.0000000000	0.0	0.0	0.0	1.58496250072	False
