keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
structures and algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
naveen garg department	0.0000000000	0.0	0.0	0.0	1.58496250072	False
department of computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
science and engineering	0.0000000000	0.0	0.0	0.0	1.58496250072	False
engineering indian institute	0.0000000000	0.0	0.0	0.0	1.58496250072	False
institute of technology	0.0000000000	0.0	0.0	0.0	1.58496250072	False
dictionary abstract data	0.5272727273	0.0	0.0	3.99731363331	6.33985000288	False
abstract data type	0.2883977901	0.0	0.0	14.9932840833	15.8496250072	False
search is done	0.0000000000	0.0	0.0	0.0	1.58496250072	False
analysis for binary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
hashing is done	0.0000000000	0.0	0.0	0.0	1.58496250072	False
collision resolution techniques	0.0000000000	0.0	0.0	0.0	1.58496250072	False
techniques a dictionary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
type that stores	0.0000000000	0.0	0.0	0.0	1.58496250072	False
located very quickly	0.0000000000	0.0	0.0	0.0	1.58496250072	False
store bank accounts	0.0000000000	0.0	0.0	0.0	3.16992500144	False
accounts the notion	0.0000000000	0.0	0.0	0.0	1.58496250072	False
account has lots	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lots of information	0.0000000000	0.0	0.0	0.0	1.58496250072	False
access the bank	0.0000000000	0.0	0.0	0.0	1.58496250072	False
account or data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
account stores wealth	0.0000000000	0.0	0.0	0.0	1.58496250072	False
wealth of information	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list of transactions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
last few days	0.0000000000	0.0	0.0	0.0	1.58496250072	False
key a dictionary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stores the elements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
talk of key	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number that helps	0.0000000000	0.0	0.0	0.0	1.58496250072	False
information any application	0.0000000000	0.0	0.0	0.0	1.58496250072	False
application that wishes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kind of operation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
provide the account	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number as key	0.0000000000	0.0	0.0	0.0	1.58496250072	False
key the process	0.0000000000	0.0	0.0	0.0	1.58496250072	False
key the dictionary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
basically an abstract	0.0000000000	0.0	0.0	0.0	1.58496250072	False
store the keyelement	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pairs the key	0.0000000000	0.0	0.0	0.0	1.58496250072	False
key your entry	0.0000000000	0.0	0.0	0.0	1.58496250072	False
identifies particular student	0.0000000000	0.0	0.0	0.0	1.58496250072	False
dictionary is searching	0.0000000000	0.0	0.0	0.0	1.58496250072	False
searching by key	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of method	0.0000000000	0.0	0.0	0.0	1.58496250072	False
type the standard	0.0000000000	0.0	0.0	0.0	1.58496250072	False
standard container methods	0.0000000000	0.0	0.0	0.0	1.58496250072	False
queues and stacks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
dictionary is empty	0.0000000000	0.0	0.0	0.0	1.58496250072	False
find the element	0.0000000000	0.0	0.0	1.99798522498	4.75488750216	False
kind of settings	0.0000000000	0.0	0.0	0.0	1.58496250072	False
return all elements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
insert an element	0.0000000000	0.0	0.0	0.0	3.16992500144	False
remove an element	0.0000000000	0.0	0.0	0.0	3.16992500144	False
remove all elements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
remember the notion	0.0000000000	0.0	0.0	0.0	1.58496250072	False
special element nil	0.0000000000	0.0	0.0	0.0	1.58496250072	False
search it means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
return a nill	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element one thing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
comparison of keys	0.0000000000	0.0	0.0	0.0	1.58496250072	False
keys for equality	0.0000000000	0.0	0.0	0.0	3.16992500144	False
two particular keys	0.0000000000	0.0	0.0	0.0	1.58496250072	False
doing is searching	0.0000000000	0.0	0.0	0.0	1.58496250072	False
notion of taking	0.0000000000	0.0	0.0	0.0	1.58496250072	False
