keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
structures can implement	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data types	0.0000000000	0.0	0.0	0.0	1.58496250072	False
contract of operations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
complexity in comparison	0.0000000000	0.0	0.0	0.0	1.58496250072	False
adt different kinds	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures are suited	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of applications	0.0000000000	0.0	0.0	0.0	1.58496250072	False
specialized to specific	0.0000000000	0.0	0.0	0.0	1.58496250072	False
databases use b-tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
indexes for small	0.0000000000	0.0	0.0	0.0	1.58496250072	False
percentages of data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
retrieval and compilers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
compilers and databases	0.0000000000	0.0	0.0	0.0	1.58496250072	False
databases use dynamic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
dynamic hash tables	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tables data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data structures provide	0.0000000000	0.0	0.0	0.0	1.58496250072	False
provide a means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means to manage	0.0000000000	0.0	0.0	0.0	1.58496250072	False
manage large amounts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
amounts of data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
databases and internet	0.0000000000	0.0	0.0	0.0	1.58496250072	False
internet indexing services	0.0000000000	0.0	0.0	0.0	1.58496250072	False
efficient data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures are key	0.0000000000	0.0	0.0	0.0	1.58496250072	False
key to designing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
designing efficient algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithms some formal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
formal design methods	0.0000000000	0.0	0.0	0.0	1.58496250072	False
methods and programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programming languages emphasize	0.0000000000	0.0	0.0	0.0	1.58496250072	False
languages emphasize data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
emphasize data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
key organizing factor	0.0000000000	0.0	0.0	0.0	1.58496250072	False
factor in software	0.0000000000	0.0	0.0	0.0	1.58496250072	False
software design storing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
storing and retrieving	0.0000000000	0.0	0.0	0.0	1.58496250072	False
out on data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
secondary memory.data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer to fetch	0.0000000000	0.0	0.0	0.0	1.58496250072	False
fetch and store	0.0000000000	0.0	0.0	0.0	1.58496250072	False
representing a memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stored in memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memory and manipulated	0.0000000000	0.0	0.0	0.0	1.58496250072	False
array and record	0.0000000000	0.0	0.0	0.0	1.58496250072	False
record data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures are based	0.0000000000	0.0	0.0	0.0	3.16992500144	False
based on computing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computing the addresses	0.0000000000	0.0	0.0	0.0	1.58496250072	False
addresses of data	0.0000000000	0.0	0.0	0.0	3.16992500144	False
items with arithmetic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linked data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
based on storing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
combined in non-trivial	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structure usually requires	0.0000000000	0.0	0.0	0.0	1.58496250072	False
writing a set	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of procedures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
procedures that create	0.0000000000	0.0	0.0	0.0	1.58496250072	False
create and manipulate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structure the efficiency	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operations this observation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
motivates the theoretical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
