keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
widely used abstract	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data type	0.0000000000	0.0	0.0	0.0	3.16992500144	False
data structure implementing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implementing this adt	0.0000000000	0.0	0.0	0.0	1.58496250072	False
adt that simulates	0.0000000000	0.0	0.0	0.0	1.58496250072	False
simulates a hierarchical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
hierarchical tree structure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
value and subtrees	0.0000000000	0.0	0.0	0.0	1.58496250072	False
subtrees of children	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nodes a tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree data structure	0.6470588235	0.0	0.0	1.99111900533	7.92481250361	False
collection of nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data structure consisting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list of references	0.5593220339	0.0	0.0	6.98934280639	9.50977500433	False
references to nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reference is duplicated	0.0000000000	0.0	0.0	0.0	1.58496250072	False
represented and worked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
separately by node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list of nodes	0.0000000000	0.0	0.0	0.0	3.16992500144	False
list of edges	0.0000000000	0.0	0.0	0.0	1.58496250072	False
edges between nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
represent a digraph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data structure made	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nodes or vertices	0.0000000000	0.0	0.0	0.0	1.58496250072	False
vertices and edges	0.0000000000	0.0	0.0	0.0	1.58496250072	False
cycle the tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
null or empty	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree a tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
potentially many levels	0.0000000000	0.0	0.0	0.0	1.58496250072	False
levels of additional	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nodes that form	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form a hierarchy	0.0000000000	0.0	0.0	0.0	1.58496250072	False
root the top	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parent the converse	0.0000000000	0.0	0.0	0.0	1.58496250072	False
notion of child	0.0000000000	0.0	0.0	0.0	1.58496250072	False
child siblings nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
descendant a node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reachable by repeated	0.0000000000	0.0	0.0	0.0	3.16992500144	False
proceeding from parent	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parent to child	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ancestor a node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
proceeding from child	0.0000000000	0.0	0.0	0.0	1.58496250072	False
child to parent	0.0000000000	0.0	0.0	0.0	1.58496250072	False
leaf a node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
children internal node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
node a node	0.0000000000	0.0	0.0	0.0	3.16992500144	False
child external node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
children degree number	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of sub	0.0000000000	0.0	0.0	0.0	1.58496250072	False
node edge connection	0.0000000000	0.0	0.0	0.0	1.58496250072	False
path a sequence	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence of nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nodes and edges	0.0000000000	0.0	0.0	0.0	1.58496250072	False
connecting a node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
level the level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
node is defined	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of connections	0.0000000000	0.0	0.0	0.0	1.58496250072	False
height of tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree the height	0.0000000000	0.0	0.0	0.0	1.58496250072	False
number of edges	0.3188405797	0.0	0.0	5.99289520426	6.33985000288	False
longest downward path	0.0000000000	0.0	0.0	3.9946714032	4.75488750216	False
height of node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
