widely used abstract::widely used abstract
abstract data type::abstract data type
data structure implementing::data structure implementing
implementing this adt::implementing this adt
adt that simulates::adt that simulates
simulates a hierarchical::simulates a hierarchical
hierarchical tree structure::hierarchical tree structure
value and subtrees::value and subtrees
subtrees of children::subtrees of children
set of linked::set of linked
nodes a tree::nodes a tree
tree data structure::tree data structure
collection of nodes::collection of nodes
data structure consisting::data structure consisting
list of references::list of references
references to nodes::references to nodes
reference is duplicated::reference is duplicated
represented and worked::represented and worked
separately by node::separately by node
list of nodes::list of nodes
list of edges::list of edges
edges between nodes::edges between nodes
represent a digraph::represent a digraph
data structure made::data structure made
nodes or vertices::nodes or vertices
vertices and edges::vertices and edges
cycle the tree::cycle the tree
null or empty::null or empty
tree a tree::tree a tree
potentially many levels::potentially many levels
levels of additional::levels of additional
nodes that form::nodes that form
form a hierarchy::form a hierarchy
root the top::root the top
parent the converse::parent the converse
notion of child::notion of child
child siblings nodes::child siblings nodes
descendant a node::descendant a node
reachable by repeated::reachable by repeated
proceeding from parent::proceeding from parent
parent to child::parent to child
ancestor a node::ancestor a node
proceeding from child::proceeding from child
child to parent::child to parent
leaf a node::leaf a node
children internal node::children internal node
node a node::node a node
child external node::child external node
children degree number::children degree number
number of sub::number of sub
node edge connection::node edge connection
path a sequence::path a sequence
sequence of nodes::sequence of nodes
nodes and edges::nodes and edges
connecting a node::connecting a node
level the level::level the level
node is defined::node is defined
number of connections::number of connections
height of tree::height of tree
tree the height::tree the height
number of edges::number of edges
longest downward path::longest downward path
height of node::height of node
node the height::node the height
depth the depth::depth the depth
tree s root::tree s root
root node forest::root node forest
forest a forest::forest a forest
disjoint trees data::disjoint trees data
trees data type::trees data type
type vs data::type vs data
concrete data structure::concrete data structure
value and children::value and children
tree are interpreted::tree are interpreted
list of children::list of children
case the list::case the list
group of nodes::group of nodes
structure actually defines::structure actually defines
defines a directed::defines a directed
two references point::two references point
tree that violates::tree that violates
references to trees::references to trees
linked tree data::linked tree data
discussed implicitly assuming::discussed implicitly assuming
represented by references::represented by references
type a tree::type a tree
tree is defined::tree is defined
list of trees::list of trees
possibly an empty::possibly an empty
tree t consists::tree t consists
defined in terms::defined in terms
terms of values::terms of values
assumes referential transparency::assumes referential transparency
lists of values::lists of values
list possibly empty::list possibly empty
references possibly null::references possibly null
node n consists::node n consists
data structure defines::data structure defines
add a condition::add a condition
reference can point::reference can point
root in fact::root in fact
node a list::node a list
analyzing its global::analyzing its global
topologically a tree::topologically a tree
defined below type::defined below type
abstract tree type::abstract tree type
abstract forest type::abstract forest type
terms of type::terms of type
inductive type defined::inductive type defined
tree with root::tree with root
generally with values::generally with values
