keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
applied mathematics letters	0.6363636364	0.0	0.0	2.99163568773	14.2646625065	False
aml graph similarity	0.0000000000	0.0	0.0	0.0	0.0	False
graph similarity scoring	0.0000000000	0.0	0.0	0.0	1.58496250072	False
scoring and matching	0.0000000000	0.0	0.0	0.0	1.58496250072	False
laura a zager	0.0000000000	0.0	0.0	0.0	1.58496250072	False
george c verghese	0.0000000000	0.0	0.0	0.0	1.58496250072	False
department of electrical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
engineering and computer	0.0000000000	0.0	0.0	0.0	3.16992500144	False
institute of technology	0.0000000000	0.0	0.0	0.0	3.16992500144	False
united states received	0.0000000000	0.0	0.0	0.0	1.58496250072	False
received in revised	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract we outline	0.0000000000	0.0	0.0	0.0	1.58496250072	False
outline a class	0.0000000000	0.0	0.0	0.0	1.58496250072	False
class of graph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
graph similarity measures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
similarity of local	0.0000000000	0.0	0.0	0.0	1.58496250072	False
neighborhoods to derive	0.0000000000	0.0	0.0	0.0	1.58496250072	False
derive pairwise similarity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pairwise similarity scores	0.0000000000	0.0	0.0	0.0	1.58496250072	False
two different graphs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
present a related	0.0000000000	0.0	0.0	0.0	3.16992500144	False
related similarity measure	0.0000000000	0.0	0.0	0.0	3.16992500144	False
update to generate	0.0000000000	0.0	0.0	0.0	3.16992500144	False
generate both node	0.0000000000	0.0	0.0	0.0	3.16992500144	False
node and edge	0.0000000000	0.0	0.0	2.99721189591	4.75488750216	False
edge similarity scores	0.0000000000	0.0	0.0	2.99721189591	4.75488750216	False
scores this measure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
task of graph	0.0000000000	0.0	0.0	0.0	3.16992500144	False
graphs and networks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
networks ; graph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithms ; similarity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
measures ; graph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
matching ; graph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
introduction many applications	0.0000000000	0.0	0.0	0.0	1.58496250072	False
graphs a good	0.0000000000	0.0	0.0	0.0	1.58496250072	False
deal of research	0.0000000000	0.0	0.0	0.0	1.58496250072	False
graph isomorphism problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
distance and maximum	0.0000000000	0.0	0.0	0.0	1.58496250072	False
world wide web	0.0000000000	0.0	0.0	0.0	1.58496250072	False
web has generated	0.0000000000	0.0	0.0	0.0	1.58496250072	False
generated tremendous interest	0.0000000000	0.0	0.0	0.0	1.58496250072	False
interest in aggregate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
aggregate statistical measures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
measures of graph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
exists a class	0.0000000000	0.0	0.0	0.0	1.58496250072	False
class of similarity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
node or edge	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element in graph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
similar this idea	0.0000000000	0.0	0.0	0.0	1.58496250072	False
idea naturally leads	0.0000000000	0.0	0.0	0.0	1.58496250072	False
leads to iterative	0.0000000000	0.0	0.0	0.0	1.58496250072	False
methods for computing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computing similarity scores	0.0000000000	0.0	0.0	0.0	1.58496250072	False
scores for similarity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
similarity between elements	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of vertices	0.0000000000	0.0	0.0	0.0	1.58496250072	False
vertices or nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of edges	0.0000000000	0.0	0.0	0.0	1.58496250072	False
directed or undirected	0.0000000000	0.0	0.0	0.0	1.58496250072	False
undirected the aim	0.0000000000	0.0	0.0	0.0	1.58496250072	False
highlight graph similarity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
graph similarity methods	0.0000000000	0.0	0.0	0.0	3.16992500144	False
