applied mathematics letters::applied mathematics letters
www.elsevier.com graph similarity::aml graph similarity
graph similarity scoring::graph similarity scoring
scoring and matching::scoring and matching
laura a zager::laura a zager
george c verghese::george c verghese
department of electrical::department of electrical
engineering and computer::engineering and computer
institute of technology::institute of technology
united states received::united states received
received in revised::received in revised
abstract we outline::abstract we outline
outline a class::outline a class
class of graph::class of graph
graph similarity measures::graph similarity measures
similarity of local::similarity of local
neighborhoods to derive::neighborhoods to derive
derive pairwise similarity::derive pairwise similarity
pairwise similarity scores::pairwise similarity scores
two different graphs::two different graphs
present a related::present a related
related similarity measure::related similarity measure
update to generate::update to generate
generate both node::generate both node
node and edge::node and edge
edge similarity scores::edge similarity scores
scores this measure::scores this measure
task of graph::task of graph
graphs and networks::graphs and networks
networks ; graph::networks ; graph
algorithms ; similarity::algorithms ; similarity
measures ; graph::measures ; graph
matching ; graph::matching ; graph
introduction many applications::introduction many applications
graphs a good::graphs a good
deal of research::deal of research
graph isomorphism problem::graph isomorphism problem
distance and maximum::distance and maximum
world wide web::world wide web
web has generated::web has generated
generated tremendous interest::generated tremendous interest
interest in aggregate::interest in aggregate
aggregate statistical measures::aggregate statistical measures
measures of graph::measures of graph
exists a class::exists a class
class of similarity::class of similarity
node or edge::node or edge
element in graph::element in graph
similar this idea::similar this idea
idea naturally leads::idea naturally leads
leads to iterative::leads to iterative
methods for computing::methods for computing
computing similarity scores::computing similarity scores
scores for similarity::scores for similarity
similarity between elements::similarity between elements
set of vertices::set of vertices
vertices or nodes::vertices or nodes
set of edges::set of edges
directed or undirected::directed or undirected
undirected the aim::undirected the aim
highlight graph similarity::highlight graph similarity
graph similarity methods::graph similarity methods
elds that utilize::elds that utilize
utilize this iterative::utilize this iterative
present a simple::present a simple
uential iterative approach::uential iterative approach
hits search algorithm::hits search algorithm
search algorithm introduced::search algorithm introduced
introduced by kleinberg::introduced by kleinberg
web search results::web search results
two different categories::two different categories
sources of information::sources of information
high-quality hubs kleinberg::high-quality hubs kleinberg
hubs kleinberg proposed::hubs kleinberg proposed
proposed an iterative::proposed an iterative
algorithm for computing::algorithm for computing
computing a hub::computing a hub
hub and authority::hub and authority
simply the sum::simply the sum
nodes that point::nodes that point
point to node::point to node
score of node::score of node
node n points::node n points
lzager @ mit.edu::lzager @ mit.edu
initial values chosen::initial values chosen
algorithms also utilize::algorithms also utilize
utilize the idea::utilize the idea
recursively computing node::recursively computing node
computing node similarity::computing node similarity
node similarity scores::node similarity scores
similarity scores based::similarity scores based
scores of neighboring::scores of neighboring
ooding algorithm proposed::ooding algorithm proposed
proposed by melnik::proposed by melnik
simrank algorithm proposed::simrank algorithm proposed
proposed by jeh::proposed by jeh
jeh and widom::jeh and widom
method for phylogenetic::method for phylogenetic
phylogenetic tree construction::phylogenetic tree construction
tree construction proposed::tree construction proposed
proposed by heymans::proposed by heymans
heymans and singh::heymans and singh
vertex similarity method::vertex similarity method
method of leicht::method of leicht
depicted in fig::depicted in fig
equation to construct::equation to construct
construct a similarity::construct a similarity
two graphs blondel::two graphs blondel
denote the similarity::denote the similarity
similarity of node::similarity of node
initial conditions blondel::initial conditions blondel
choose to initialize::choose to initialize
explore the application::explore the application
measure to graph::measure to graph
iterative method framework::iterative method framework
two graph elements::two graph elements
elements are similar::elements are similar
neighborhoods are similar::neighborhoods are similar
suggest one simple::suggest one simple
construct an edge::construct an edge
source and terminal::source and terminal
nodes are similar::nodes are similar
nition of edge::nition of edge
edge similarity introduces::edge similarity introduces
introduces a coupling::introduces a coupling
coupling between edge::coupling between edge
edge and node::edge and node
denote the source::denote the source
node of edge::node of edge
denote the terminal::denote the terminal
node set cardinality::node set cardinality
edge set cardinality::edge set cardinality
convenient to represent::convenient to represent
represent the adjacency::represent the adjacency
denote the node::denote the node
node similarity score::node similarity score
score between node::score between node
ypq the edge::ypq the edge
out-degree of node::out-degree of node
equation for edge::equation for edge
node scores takes::node scores takes
assembled into matrices::assembled into matrices
construction of source::construction of source
update process represented::update process represented
represented in eqs::represented in eqs
introduce the vec::introduce the vec
operator on matrices::operator on matrices
stacks the columns::stacks the columns
denotes the kronecker::denotes the kronecker
product of matrices::product of matrices
determining the score::determining the score
matrix iteration problem::matrix iteration problem
iteration problem concatenating::iteration problem concatenating
concatenating these vectors::concatenating these vectors
yields a single::yields a single
single matrix update::single matrix update
matrix update equation::matrix update equation
graph similarity measure::graph similarity measure
condition x0 chosen::condition x0 chosen
nonnegative similarity scores::nonnegative similarity scores
pair of nodes::pair of nodes
pair of edges::pair of edges
presented as theorem::presented as theorem
matrix with perron::matrix with perron
componentwise positive vector::componentwise positive vector
sequence bk converges::sequence bk converges
apply this theorem::apply this theorem
expand the matrix::expand the matrix
