keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
basic java application	0.0000000000	0.0	0.0	0.0	1.58496250072	False
application a program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence of instructions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer can execute	0.0000000000	0.0	0.0	0.0	1.58496250072	False
execute to perform	0.0000000000	0.0	0.0	0.0	1.58496250072	False
task a simple	0.0000000000	0.0	0.0	0.0	1.58496250072	False
simple enough idea	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer to make	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means that programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
written in programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programming languages programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
languages programming languages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programming languages differ	0.0000000000	0.0	0.0	0.0	1.58496250072	False
differ from ordinary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ordinary human languages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program the rules	0.0000000000	0.0	0.0	0.0	1.58496250072	False
rules that determine	0.0000000000	0.0	0.0	0.0	3.16992500144	False
language syntax rules	0.0000000000	0.0	0.0	0.0	1.58496250072	False
constructed using things	0.0000000000	0.0	0.0	0.0	1.58496250072	False
things like loops	0.0000000000	0.0	0.0	0.0	1.58496250072	False
syntactically correct program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
names and things	0.6357142857	0.0	0.0	12.991510277	60.2285750274	False
compiled or interpreted	0.0000000000	0.0	0.0	0.0	1.58496250072	False
interpreted ; programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
fix the problem	0.0000000000	0.0	0.0	0.0	3.16992500144	False
develop a detailed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
write a program	0.0000000000	0.0	0.0	0.0	3.16992500144	False
run and produce	0.0000000000	0.0	0.0	0.0	1.58496250072	False
produce the correct	0.0000000000	0.0	0.0	0.0	1.58496250072	False
right the meaning	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program is referred	0.0000000000	0.0	0.0	0.0	1.58496250072	False
semantically correct program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pretty bad program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program has style	0.0000000000	0.0	0.0	0.0	1.58496250072	False
make it easy	0.0000000000	0.0	0.0	0.0	1.58496250072	False
easy for people	0.0000000000	0.0	0.0	0.0	1.58496250072	False
people to read	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sense to human	0.0000000000	0.0	0.0	0.0	1.58496250072	False
readers the computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
paramount these aspects	0.0000000000	0.0	0.0	0.0	1.58496250072	False
aspects of programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
explain the syntax	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memorize the syntax	0.0000000000	0.0	0.0	0.0	1.58496250072	False
writing short programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
test your understanding	0.0000000000	0.0	0.0	0.0	1.58496250072	False
absorb the pragmatics	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pragmatics this means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
doesn t make	0.0000000000	0.0	0.0	1.99932975871	4.75488750216	False
construct complex programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs to solve	0.0000000000	0.0	0.0	0.0	1.58496250072	False
solve particular problems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
experience and taste	0.0000000000	0.0	0.0	0.0	1.58496250072	False
hints about software	0.0000000000	0.0	0.0	0.0	1.58496250072	False
textbook we begin	0.0000000000	0.0	0.0	0.0	1.58496250072	False
begin our exploration	0.0000000000	0.0	0.0	0.0	1.58496250072	False
exploration of java	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program that displays	0.0000000000	0.0	0.0	0.0	1.58496250072	False
displays the message	0.0000000000	0.0	0.0	1.99932975871	4.75488750216	False
message hello world	0.4073226545	0.0	0.0	2.99932975871	4.75488750216	False
big first step	0.0000000000	0.0	0.0	0.0	1.58496250072	False
step in learning	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first programming language	0.0000000000	0.0	0.0	0.0	1.58496250072	False
understand the basic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
