keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
lecture we looked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
looked at stacks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
queues and linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implement the queue	0.4299065421	0.0	0.0	3.99653379549	6.33985000288	False
array to implement	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implement our queue	0.0000000000	0.0	0.0	0.0	1.58496250072	False
array is fixed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
queue you knew	0.0000000000	0.0	0.0	0.0	1.58496250072	False
maximum size queue	0.0000000000	0.0	0.0	0.0	1.58496250072	False
idea maximum size	0.0000000000	0.0	0.0	0.0	1.58496250072	False
size its increases	0.0000000000	0.0	0.0	0.0	1.58496250072	False
double the size	0.0000000000	0.0	0.0	0.0	1.58496250072	False
familiar with linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
essentially blinked list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tail of list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element some data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linked list implement	0.0000000000	0.0	0.0	0.0	1.58496250072	False
queue then question	0.0000000000	0.0	0.0	0.0	1.58496250072	False
front of queue	0.0000000000	0.0	0.0	0.0	1.58496250072	False
right the tail	0.0000000000	0.0	0.0	0.0	1.58496250072	False
remove this element	0.1729323308	0.0	0.0	4.99566724437	7.92481250361	False
element the linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element from linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
change this pointer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
accessing it pointer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element no problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
remove the element	0.4646464646	0.0	0.0	4.99306759099	12.6797000058	False
element the front	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implement from methods	0.0000000000	0.0	0.0	0.0	1.58496250072	False
dequeue which means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
increment just making	0.0000000000	0.0	0.0	0.0	1.58496250072	False
making the head	0.0000000000	0.0	0.0	0.0	1.58496250072	False
delete the head	0.0000000000	0.0	0.0	0.0	1.58496250072	False
delete this element	0.0000000000	0.0	0.0	0.0	1.58496250072	False
connected here make	0.0000000000	0.0	0.0	0.0	1.58496250072	False
make the head	0.0000000000	0.0	0.0	3.99740034662	4.75488750216	False
node so inserting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
inserting the head	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kind of move	0.0000000000	0.0	0.0	0.0	1.58496250072	False
move the head	0.0000000000	0.0	0.0	0.0	1.58496250072	False
remove the front	0.0000000000	0.0	0.0	0.0	1.58496250072	False
add an element	0.2343522562	0.0	0.0	7.99393414211	11.094737505	False
enqueue an element	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element recall enqueue	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element this pointer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
modified to pointer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
pointer this element	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element and tail	0.0000000000	0.0	0.0	0.0	1.58496250072	False
question we discuss	0.0000000000	0.0	0.0	0.0	1.58496250072	False
difficult to remove	0.0000000000	0.0	0.0	0.0	1.58496250072	False
remove an element	0.5476190476	0.0	0.0	3.99653379549	6.33985000288	False
remove this node	0.2455516014	0.0	0.0	7.99480069324	9.50977500433	False
node to remove	0.0000000000	0.0	0.0	0.0	1.58496250072	False
access the previous	0.0000000000	0.0	0.0	0.0	3.16992500144	False
kind of list	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list to start	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem his question	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem in removing	0.0000000000	0.0	0.0	5.99740034662	4.75488750216	False
removing this node	0.0000000000	0.0	0.0	0.0	3.16992500144	False
node the problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
make this point	0.0000000000	0.0	0.0	3.99740034662	4.75488750216	False
throw the entire	0.0000000000	0.0	0.0	0.0	1.58496250072	False
node very expensive	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tail which means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
