lecture we looked::lecture we looked
looked at stacks::looked at stacks
queues and linked::queues and linked
implement the queue::implement the queue
array to implement::array to implement
implement our queue::implement our queue
array is fixed::array is fixed
queue you knew::queue you knew
maximum size queue::maximum size queue
idea maximum size::idea maximum size
size its increases::size its increases
double the size::double the size
familiar with linked::familiar with linked
essentially blinked list::essentially blinked list
tail of list::tail of list
element some data::element some data
linked list implement::linked list implement
queue then question::queue then question
front of queue::front of queue
right the tail::right the tail
remove this element::remove this element
element the linked::element the linked
element from linked::element from linked
change this pointer::change this pointer
accessing it pointer::accessing it pointer
element no problem::element no problem
remove the element::remove the element
element the front::element the front
implement from methods::implement from methods
dequeue which means::dequeue which means
increment just making::increment just making
making the head::making the head
delete the head::delete the head
delete this element::delete this element
connected here make::connected here make
make the head::make the head
node so inserting::node so inserting
inserting the head::inserting the head
kind of move::kind of move
move the head::move the head
remove the front::remove the front
add an element::add an element
enqueue an element::enqueue an element
element recall enqueue::element recall enqueue
element this pointer::element this pointer
modified to pointer::modified to pointer
pointer this element::pointer this element
element and tail::element and tail
question we discuss::question we discuss
difficult to remove::difficult to remove
remove an element::remove an element
remove this node::remove this node
node to remove::node to remove
access the previous::access the previous
kind of list::kind of list
list to start::list to start
problem his question::problem his question
problem in removing::problem in removing
removing this node::removing this node
node the problem::node the problem
make this point::make this point
throw the entire::throw the entire
node very expensive::node very expensive
tail which means::tail which means
means the front::means the front
queue data type::queue data type
type is concern::type is concern
singly linked list::singly linked list
idea to implement::idea to implement
implement such double::implement such double
double ended queue::double ended queue
doubly linked list::doubly linked list
list to implement::list to implement
implement double double::implement double double
double double ended::double double ended
double ended queues::double ended queues
queues so first::queues so first
pointer one previous::pointer one previous
two sentinel nodes::two sentinel nodes
pointers one pointing::pointers one pointing
operations of double::operations of double
queue in constant::queue in constant
delete this node::delete this node
pointer to trail::pointer to trail
follow the pointer::follow the pointer
port and set::port and set
pointer to trailer::pointer to trailer
previous point trailer::previous point trailer
node perhaps applied::node perhaps applied
header and trailer::header and trailer
linked list header::linked list header
sentinel nodes dummy::sentinel nodes dummy
nodes dummy nodes::nodes dummy nodes
nodes they don::nodes they don
dare to mark::dare to mark
mark the start::mark the start
answering his question::answering his question
delete san franchiso::delete san franchiso
makes this pointer::makes this pointer
point to point::point to point
done in constant::done in constant
operation in constant::operation in constant
front or delete::front or delete
independent of number::independent of number
number of elements::number of elements
fairly generic data::fairly generic data
generic data type::generic data type
implement other data::implement other data
implementation of double::implementation of double
make a stack::make a stack
stack or make::stack or make
make a queue::make a queue
implementation to implement::implementation to implement
implement a stack::implement a stack
instance the method::instance the method
top would correspond::top would correspond
correspond to lets::correspond to lets
make the top::make the top
correspond to return::correspond to return
last element double::last element double
element double ended::element double ended
queue the method::queue the method
correspond to inserting::correspond to inserting
method pop correspond::method pop correspond
correspond to deleting::correspond to deleting
ended queue right::ended queue right
sacrificing about last::sacrificing about last
make this correspond::make this correspond
size just corresponds::size just corresponds
queue is empty::queue is empty
empty double ended::empty double ended
circularly linked list::circularly linked list
pointers first stack::pointers first stack
first stack head::first stack head
head and tail::head and tail
structure to implement::structure to implement
implement both queues::implement both queues
queues and stack::queues and stack
front the queue::front the queue
queue the rear::queue the rear
makes this front::makes this front
queue this right::queue this right
insert an element::insert an element
guy and make::guy and make
element your inserting::element your inserting
node and create::node and create
node and copy::node and copy
copy this element::copy this element
node right make::node right make
copying the reference::copying the reference
queue to remove::queue to remove
removing an element::removing an element
corresponds to removing::corresponds to removing
removing the first::removing the first
first one right::first one right
remove the first::remove the first
copy the contents::copy the contents
remove the rome::remove the rome
rome i copy::rome i copy
seatle to rome::seatle to rome
sequences so vectors::sequences so vectors
talk about vectors::talk about vectors
talk about positions::talk about positions
talk about list::talk about list
list and general::list and general
arrays and linked::arrays and linked
implement this data::implement this data
vector data type::vector data type
data type vector::data type vector
type vector data::type vector data
type is sequence::type is sequence
elements its support::elements its support
support these methods::support these methods
notion of rank::notion of rank
rank every element::rank every element
sequence of elements::sequence of elements
element at rank::element at rank
rank here corresponds::rank here corresponds
rank or integers::rank or integers
integers so first::integers so first
element was element::element was element
suppose i asked::suppose i asked
replaces the element::replaces the element
element e insert::element e insert
rank r insert::rank r insert
insert the element::insert the element
rank e rank::rank e rank
delete the element::delete the element
methods yeah note::methods yeah note
rank of student::rank of student
two and departmental::two and departmental
suppose departmental rank::suppose departmental rank
four does department::four does department
natural data type::natural data type
data type structure::data type structure
data structure implement::data structure implement
implement using arrays::implement using arrays
lets see lets::lets see lets
implementation using arrays::implementation using arrays
element with rank::element with rank
rank one element::rank one element
rank two element::rank two element
element as rank::element as rank
rank zero rank::rank zero rank
rank r whats::rank r whats
put an element::put an element
elements once step::elements once step
first n minus::first n minus
doing this first::doing this first
two is moved::two is moved
moved one step::moved one step
element is pushed::element is pushed
thing is increased::thing is increased
right n suppose::right n suppose
stores the size::stores the size
size of vector::size of vector
elements one step::elements one step
right all elements::right all elements
two n minus::two n minus
element at location::element at location
sitting at location::sitting at location
operations worst case::operations worst case
right this implementation::right this implementation
implementation is expensive::implementation is expensive
point of view::point of view
two operations insert::two operations insert
insert certain rank::insert certain rank
remove certain rank::remove certain rank
worst case order::worst case order
operations are faster::operations are faster
array and retrive::array and retrive
retrive theelements sitting::retrive theelements sitting
sitting there replace::sitting there replace
replace at rank::replace at rank
location and replace::location and replace
replace with element::replace with element
right chart shows::right chart shows
methods all elements::methods all elements
elements all methods::elements all methods
methods except inserted::methods except inserted
inserted at rank::inserted at rank
rank and remove::rank and remove
remove at rank::remove at rank
rank take constant::rank take constant
implementing this thing::implementing this thing
right doubly linked::right doubly linked
linked list vector::linked list vector
showing here operation::showing here operation
operation of inserting::operation of inserting
insert at rank::insert at rank
node and put::node and put
understand the process::understand the process
process of insertion::process of insertion
insertion right create::insertion right create
create this node::create this node
insert i make::insert i make
makes a previous::makes a previous
previous pointer point::previous pointer point
