list from wikipedia::list from wikipedia
encyclopedia this article::encyclopedia this article
includes a list::includes a list
list of references::list of references
sources remain unclear::sources remain unclear
insufficient inline citations::insufficient inline citations
improve this article::improve this article
article by introducing::article by introducing
introducing more precise::introducing more precise
data structure consisting::data structure consisting
group of nodes::group of nodes
represent a sequence::represent a sequence
node is composed::node is composed
composed of data::composed of data
complex variants add::complex variants add
variants add additional::variants add additional
add additional links::add additional links
links this structure::links this structure
insertion or removal::insertion or removal
removal of elements::removal of elements
sequence a linked::sequence a linked
list whose nodes::list whose nodes
node the last::node the last
node is linked::node is linked
signify the end::signify the end
list linked lists::list linked lists
common data structures::common data structures
common abstract data::common abstract data
abstract data types::abstract data types
abstract data type::abstract data type
uncommon to implement::uncommon to implement
basis of implementation::basis of implementation
implementation the principal::implementation the principal
easily be inserted::easily be inserted
inserted or removed::inserted or removed
removed without reallocation::removed without reallocation
reallocation or reorganization::reallocation or reorganization
contiguously in memory::contiguously in memory
compiling and running::compiling and running
running the program::running the program
program linked lists::program linked lists
lists allow insertion::lists allow insertion
insertion and removal::insertion and removal
removal of nodes::removal of nodes
number of operations::number of operations
link being added::link being added
added or removed::added or removed
removed is maintained::removed is maintained
maintained during list::maintained during list
simple linked lists::simple linked lists
form of efficient::form of efficient
obtaining the last::obtaining the last
maintained as separate::maintained as separate
separate node reference::separate node reference
finding a node::finding a node
locating the place::locating the place
inserted may require::inserted may require
require sequential scanning::require sequential scanning
elements the advantages::elements the advantages
advantages and disadvantages::advantages and disadvantages
concepts and nomenclature::concepts and nomenclature
singly linked list::singly linked list
doubly linked list::doubly linked list
multiply linked list::multiply linked list
circular linked list::circular linked list
lists vs dynamic::lists vs dynamic
singly linked linear::singly linked linear
linked linear lists::linked linear lists
linked list operations::linked list operations
linearly linked lists::linearly linked lists
6.1.1 singly linked::6.1.1 singly linked
singly linked lists::singly linked lists
circularly linked list::circularly linked list
lists using arrays::lists using arrays
arrays of node::arrays of node
internal and external::internal and external
speeding up search::speeding up search
random access lists::random access lists
related data structures::related data structures
external links advantages::external links advantages
dynamic data structure::dynamic data structure
allocating the needed::allocating the needed
program is running::program is running
running * insertion::running * insertion
insertion and deletion::insertion and deletion
deletion node operations::deletion node operations
list * linear::list * linear
linear data structures::linear data structures
stacks and queues::stacks and queues
expand in real::expand in real
memory overhead disadvantages::memory overhead disadvantages
due to pointers::due to pointers
pointers requiring extra::pointers requiring extra
requiring extra storage::requiring extra storage
extra storage space::extra storage space
space * nodes::space * nodes
read in order::read in order
beginning as linked::beginning as linked
inherently sequential access::inherently sequential access
access * nodes::access * nodes
nodes are stored::nodes are stored
required to access::required to access
access individual elements::access individual elements
list * difficulties::list * difficulties
arise in linked::arise in linked
traversing for instance::traversing for instance
lists are cumbersome::lists are cumbersome
cumbersome to navigate::cumbersome to navigate
doubly linked lists::doubly linked lists
easier to read::easier to read
memory is wasted::memory is wasted
wasted in allocating::wasted in allocating
back pointer history::back pointer history
lists were developed::lists were developed
shaw and herbert::shaw and herbert
herbert a simon::herbert a simon
simon at rand::simon at rand
primary data structure::primary data structure
information processing language::information processing language
processing language ipl::processing language ipl
authors to develop::authors to develop
develop several early::develop several early
early artificial intelligence::early artificial intelligence
artificial intelligence programs::artificial intelligence programs
including the logic::including the logic
logic theory machine::logic theory machine
general problem solver::general problem solver
computer chess program::computer chess program
chess program reports::chess program reports
appeared in ire::appeared in ire
transactions on information::transactions on information
western joint computer::western joint computer
joint computer conference::joint computer conference
first unesco international::first unesco international
unesco international conference::unesco international conference
conference on information::conference on information
now-classic diagram consisting::now-classic diagram consisting
consisting of blocks::consisting of blocks
blocks representing list::blocks representing list
representing list nodes::representing list nodes
nodes with arrows::nodes with arrows
pointing to successive::pointing to successive
successive list nodes::successive list nodes
list nodes appears::list nodes appears
programming the logic::programming the logic
newell and shaw::newell and shaw
shaw in proc::shaw in proc
newell and simon::newell and simon
simon were recognized::simon were recognized
acm turing award::acm turing award
made basic contributions::made basic contributions
contributions to artificial::contributions to artificial
psychology of human::psychology of human
problem of machine::problem of machine
translation for natural::translation for natural
natural language processing::natural language processing
language processing led::language processing led
processing led victor::processing led victor
led victor yngve::led victor yngve
yngve at massachusetts::yngve at massachusetts
institute of technology::institute of technology
lists as data::lists as data
comit programming language::comit programming language
language for computer::language for computer
field of linguistics::field of linguistics
linguistics a report::linguistics a report
language for mechanical::language for mechanical
translation " appeared::translation " appeared
appeared in mechanical::appeared in mechanical
standing for list::standing for list
created by john::created by john
published its design::published its design
entitled " recursive::entitled " recursive
functions of symbolic::functions of symbolic
computation by machine::computation by machine
lisp s major::lisp s major
major data structures::major data structures
lists and languages::lists and languages
primary data representation::primary data representation
established bert green::established bert green
mit lincoln laboratory::mit lincoln laboratory
lincoln laboratory published::lincoln laboratory published
published a review::published a review
review article entitled::review article entitled
entitled " computer::entitled " computer
languages for symbol::languages for symbol
transactions on human::transactions on human
factors in electronics::factors in electronics
electronics in march::electronics in march
summarized the advantages::summarized the advantages
