keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
computer networks prof	0.5076923077	0.0	0.0	2.99924419923	15.8496250072	False
networks prof sujoy	0.5076923077	0.0	0.0	2.99954651954	9.50977500433	False
prof sujoy ghosh	0.5076923077	0.0	0.0	2.99954651954	9.50977500433	False
sujoy ghosh dept	0.5038167939	0.0	0.0	2.99969767969	6.33985000288	False
dept of computer	0.5038167939	0.0	0.0	2.99969767969	6.33985000288	False
science and engineering	0.5076923077	0.0	0.0	2.99939535938	12.6797000058	False
iit kharagpur lecture	0.5076923077	0.0	0.0	2.99969767969	6.33985000288	False
day so today	0.0000000000	0.0	0.0	0.0	3.16992500144	False
talking about switches	0.0000000000	0.0	0.0	0.0	3.16992500144	False
types of switches	0.3620405924	0.0	0.0	9.99924419923	15.8496250072	False
kind of switches	0.5116279070	0.0	0.0	7.99909303907	19.0195500087	False
talking about packet	0.5038167939	0.0	0.0	2.99969767969	6.33985000288	False
heart of data	0.0000000000	0.0	0.0	0.0	3.16992500144	False
networks first thing	0.0000000000	0.0	0.0	0.0	3.16992500144	False
order n2 kind	0.0000000000	0.0	0.0	0.0	3.16992500144	False
kind of lines	0.0000000000	0.0	0.0	0.0	3.16992500144	False
user is connected	0.0000000000	0.0	0.0	0.0	3.16992500144	False
essentially a switch	0.0000000000	0.0	0.0	0.0	3.16992500144	False
switching office switches	0.0000000000	0.0	0.0	0.0	3.16992500144	False
office switches establish	0.0000000000	0.0	0.0	0.0	3.16992500144	False
switches establish temporary	0.0000000000	0.0	0.0	0.0	3.16992500144	False
establish temporary circuits	0.0000000000	0.0	0.0	0.0	3.16992500144	False
means they establish	0.0000000000	0.0	0.0	0.0	3.16992500144	False
establish a temporary	0.0000000000	0.0	0.0	0.0	3.16992500144	False
switching station switching	0.0000000000	0.0	0.0	0.0	3.16992500144	False
station switching systems	0.0000000000	0.0	0.0	0.0	3.16992500144	False
discussion about telecom	0.0000000000	0.0	0.0	0.0	3.16992500144	False
station the switching	0.0000000000	0.0	0.0	0.0	3.16992500144	False
making this connection	0.0000000000	0.0	0.0	0.0	3.16992500144	False
kind of computers	0.0000000000	0.0	0.0	0.0	3.16992500144	False
capable of sending	0.0000000000	0.0	0.0	0.0	3.16992500144	False
sending some kind	0.0000000000	0.0	0.0	0.0	3.16992500144	False
kind of signals	0.0000000000	0.0	0.0	0.0	3.16992500144	False
signals or instructions	0.0000000000	0.0	0.0	0.0	3.16992500144	False
switch for setting	0.0000000000	0.0	0.0	0.0	3.16992500144	False
plane is sort	0.0000000000	0.0	0.0	0.0	3.16992500144	False
connection is set	0.5057471264	0.0	0.0	3.99954651954	9.50977500433	False
naturally the call	0.0000000000	0.0	0.0	0.0	3.16992500144	False
close to switching	0.0000000000	0.0	0.0	0.0	3.16992500144	False
decide about long-range	0.0000000000	0.0	0.0	0.0	3.16992500144	False
seven-layer osi protocols	0.0000000000	0.0	0.0	0.0	3.16992500144	False
layer whose job	0.0000000000	0.0	0.0	0.0	3.16992500144	False
order to reach	0.0000000000	0.0	0.0	0.0	3.16992500144	False
reach the ultimate	0.0000000000	0.0	0.0	0.0	3.16992500144	False
ultimate destination station	0.0000000000	0.0	0.0	0.0	3.16992500144	False
strictly a local	0.0000000000	0.0	0.0	0.0	3.16992500144	False
coming from input	0.0000000000	0.0	0.0	0.0	3.16992500144	False
routers to reach	0.0000000000	0.0	0.0	0.0	3.16992500144	False
reach my destination	0.0000000000	0.0	0.0	0.0	3.16992500144	False
switch the job	0.0000000000	0.0	0.0	0.0	3.16992500144	False
signal is coming	0.5038167939	0.0	0.0	2.99969767969	6.33985000288	False
required routing static	0.0000000000	0.0	0.0	0.0	3.16992500144	False
routing static routing	0.0000000000	0.0	0.0	0.0	3.16992500144	False
means same destination	0.0000000000	0.0	0.0	0.0	3.16992500144	False
destination is routed	0.0000000000	0.0	0.0	0.0	3.16992500144	False
depending on traffic	0.0000000000	0.0	0.0	0.0	3.16992500144	False
means some part	0.0000000000	0.0	0.0	0.0	3.16992500144	False
avoid that path	0.0000000000	0.0	0.0	0.0	3.16992500144	False
distribute the telephone	0.0000000000	0.0	0.0	0.0	3.16992500144	False
numbers to subscribers	0.0000000000	0.0	0.0	0.0	3.16992500144	False
easy to route	0.0000000000	0.0	0.0	0.0	3.16992500144	False
connectivity between input	0.0000000000	0.0	0.0	0.0	3.16992500144	False
