keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
peter baer galvin	0.0000000000	0.0	0.0	0.0	3.16992500144	False
operating system concepts	0.0000000000	0.0	0.0	0.0	3.16992500144	False
view really shows	0.0000000000	0.0	0.0	0.0	1.58496250072	False
shows the complete	0.0000000000	0.0	0.0	0.0	1.58496250072	False
good overall picture	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system * computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
apps + users	0.0000000000	0.0	0.0	0.0	1.58496250072	False
serves as interface	0.0000000000	0.0	0.0	0.0	1.58496250072	False
apps & users	0.0000000000	0.0	0.0	0.0	3.16992500144	False
services for apps	0.0000000000	0.0	0.0	0.0	1.58496250072	False
distinction between system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
applications and 3rd	0.0000000000	0.0	0.0	0.0	1.58496250072	False
party or user	0.0000000000	0.0	0.0	0.0	1.58496250072	False
fit together figure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
modern computer system	0.0000000000	0.0	0.0	0.0	3.16992500144	False
system 1.2.1 computer-system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
1.2.1 computer-system operation	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operation * bootstrap	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program * shared	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memory between cpu	0.0000000000	0.0	0.0	0.0	1.58496250072	False
slicing for multi-process	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operation * interrupt	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implementation of system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system calls figure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
single process doing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
process doing output	0.0000000000	0.0	0.0	0.0	1.58496250072	False
output 1.2.2 storage	0.0000000000	0.0	0.0	0.0	1.58496250072	False
1.2.2 storage structure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structure * main	0.0000000000	0.0	0.0	0.0	1.58496250072	False
loaded into ram	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ram to run	0.0000000000	0.0	0.0	0.0	1.58496250072	False
run o instructions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
instructions and data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
fetched from ram	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ram into registers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
registers o ram	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ram is volatile	0.0000000000	0.0	0.0	0.0	1.58496250072	False
medium " size	0.0000000000	0.0	0.0	0.0	1.58496250072	False
size and speed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memory is faster	0.0000000000	0.0	0.0	0.0	3.16992500144	False
expensive per bit	0.0000000000	0.0	0.0	0.0	3.16992500144	False
registers o cpu	0.0000000000	0.0	0.0	0.0	1.58496250072	False
cache * non-volatile	0.0000000000	0.0	0.0	0.0	1.58496250072	False
permanent " storage	0.0000000000	0.0	0.0	0.0	1.58496250072	False
disks o magnetic	0.0000000000	0.0	0.0	0.0	3.16992500144	False
disks o optical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
magnetic tapes figure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
1.2.3 -NONE- structure	0.0000000000	0.0	0.0	0.0	0.0	False
structure * typical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
typical operation involves	0.0000000000	0.0	0.0	0.0	1.58496250072	False
involves JJ requests	0.0000000000	0.0	0.0	0.0	0.0	False
direct memory access	0.0000000000	0.0	0.0	0.0	1.58496250072	False
interrupt handling figure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer system works	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
environments 1.3.1 single-processor	0.0000000000	0.0	0.0	0.0	1.58496250072	False
1.3.1 single-processor systems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
cpu which manages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
manages the computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computer and runs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
runs user apps	0.0000000000	0.0	0.0	0.0	1.58496250072	False
run user apps	0.0000000000	0.0	0.0	0.0	1.58496250072	False
