peter baer galvin::peter baer galvin
operating system concepts::operating system concepts
view really shows::view really shows
shows the complete::shows the complete
good overall picture::good overall picture
system * computer::system * computer
apps + users::apps + users
serves as interface::serves as interface
apps & users::apps & users
services for apps::services for apps
distinction between system::distinction between system
applications and 3rd::applications and 3rd
party or user::party or user
fit together figure::fit together figure
modern computer system::modern computer system
system 1.2.1 computer-system::system 1.2.1 computer-system
1.2.1 computer-system operation::1.2.1 computer-system operation
operation * bootstrap::operation * bootstrap
program * shared::program * shared
memory between cpu::memory between cpu
slicing for multi-process::slicing for multi-process
operation * interrupt::operation * interrupt
implementation of system::implementation of system
system calls figure::system calls figure
single process doing::single process doing
process doing output::process doing output
output 1.2.2 storage::output 1.2.2 storage
1.2.2 storage structure::1.2.2 storage structure
structure * main::structure * main
loaded into ram::loaded into ram
ram to run::ram to run
run o instructions::run o instructions
instructions and data::instructions and data
fetched from ram::fetched from ram
ram into registers::ram into registers
registers o ram::registers o ram
ram is volatile::ram is volatile
medium " size::medium " size
size and speed::size and speed
memory is faster::memory is faster
expensive per bit::expensive per bit
registers o cpu::registers o cpu
cache * non-volatile::cache * non-volatile
permanent " storage::permanent " storage
disks o magnetic::disks o magnetic
disks o optical::disks o optical
magnetic tapes figure::magnetic tapes figure
1.2.3 i structure::1.2.3 -NONE- structure
structure * typical::structure * typical
typical operation involves::typical operation involves
involves i requests::involves JJ requests
direct memory access::direct memory access
interrupt handling figure::interrupt handling figure
computer system works::computer system works
kinds of computer::kinds of computer
environments 1.3.1 single-processor::environments 1.3.1 single-processor
1.3.1 single-processor systems::1.3.1 single-processor systems
cpu which manages::cpu which manages
manages the computer::manages the computer
computer and runs::computer and runs
runs user apps::runs user apps
run user apps::run user apps
apps 1.3.2 multiprocessor::apps 1.3.2 multiprocessor
1.3.2 multiprocessor systems::1.3.2 multiprocessor systems
economy of scale::economy of scale
shared among processors::shared among processors
reliability o failure::reliability o failure
cpu slows system::cpu slows system
processing provides system::processing provides system
system of checks::system of checks
checks and balances::checks and balances
symmetric multiprocessing architecture::symmetric multiprocessing architecture
multiprocessing architecture figure::multiprocessing architecture figure
chip 1.3.3 clustered::chip 1.3.3 clustered
1.3.3 clustered systems::1.3.3 clustered systems
systems * independent::systems * independent
shared common storage::shared common storage
storage and connected::storage and connected
considerations for access::considerations for access
access to shared::access to shared
storage are required::storage are required
distributed lock management::distributed lock management
collaboration protocols figure::collaboration protocols figure
structure a time-sharing::structure a time-sharing
management * process::management * process
management * job::management * job
scheduling * resource::scheduling * resource
resource allocation strategies::resource allocation strategies
strategies * swap::strategies * swap
memory in physical::memory in physical
memory * interrupt::memory * interrupt
handling * file::handling * file
file system management::file system management
management * protection::management * protection
protection and security::protection and security
security * inter-process::security * inter-process
inter-process communications figure::inter-process communications figure
operating-system operations interrupt-driven::operating-system operations interrupt-driven
operations interrupt-driven nature::operations interrupt-driven nature
nature of modern::nature of modern
modern oses requires::modern oses requires
requires that erroneous::requires that erroneous
dual-mode and multimode::dual-mode and multimode
operation * user::operation * user
mode when executing::mode when executing
executing harmless code::executing harmless code
code in user::code in user
applications * kernel::applications * kernel
a.k.a system mode::a.k.a system mode
executing potentially dangerous::executing potentially dangerous
potentially dangerous code::potentially dangerous code
executed in kernel::executed in kernel
mode * kernel::mode * kernel
entered by making::entered by making
making system calls::making system calls
system calls user::system calls user
calls user code::calls user code
flip the mode::flip the mode
switch * modern::switch * modern
modern computers support::modern computers support
computers support dual-mode::computers support dual-mode
support dual-mode operation::support dual-mode operation
operation in hardware::operation in hardware
modern oses support::modern oses support
oses support dual-mode::oses support dual-mode
dual-mode operation figure::dual-mode operation figure
transition from user::transition from user
user to kernel::user to kernel
concept of modes::concept of modes
