keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
system is a program	0.0000000000	0.0	0.0	0.0	2.0	False
manages the computer hardware	0.0000000000	0.0	0.0	0.0	4.0	False
basis for application programs	0.0000000000	0.0	0.0	0.0	2.0	False
application programs and acts	0.0000000000	0.0	0.0	0.0	2.0	False
intermediary between the computer	0.0000000000	0.0	0.0	0.0	2.0	False
user and the computer	0.0000000000	0.0	0.0	0.0	2.0	False
computer hardware an amazing	0.0000000000	0.0	0.0	0.0	2.0	False
hardware an amazing aspect	0.0000000000	0.0	0.0	0.0	2.0	False
amazing aspect of operating	0.0000000000	0.0	0.0	0.0	2.0	False
aspect of operating systems	0.0000000000	0.0	0.0	0.0	2.0	False
systems is how varied	0.0000000000	0.0	0.0	0.0	2.0	False
accomplishing these tasks mainframe	0.0000000000	0.0	0.0	0.0	2.0	False
tasks mainframe operating systems	0.0000000000	0.0	0.0	0.0	2.0	False
operating systems are designed	0.3445378151	0.0	0.0	3.99806949807	8.0	False
designed primarily to optimize	0.0000000000	0.0	0.0	0.0	2.0	False
primarily to optimize utilization	0.0000000000	0.0	0.0	0.0	2.0	False
optimize utilization of hardware	0.0000000000	0.0	0.0	0.0	2.0	False
operating systems support complex	0.0000000000	0.0	0.0	0.0	2.0	False
systems support complex games	0.0000000000	0.0	0.0	0.0	2.0	False
operating systems for handheld	0.0000000000	0.0	0.0	0.0	2.0	False
systems for handheld computers	0.0000000000	0.0	0.0	0.0	2.0	False
handheld computers are designed	0.0000000000	0.0	0.0	0.0	2.0	False
user can easily interface	0.0000000000	0.0	0.0	0.0	2.0	False
interface with the computer	0.0000000000	0.0	0.0	0.0	2.0	False
computer to execute programs	0.0000000000	0.0	0.0	0.0	2.0	False
combination of the two	0.0000000000	0.0	0.0	0.0	2.0	False
details of computer system	0.0000000000	0.0	0.0	0.0	2.0	False
system structure we begin	0.0000000000	0.0	0.0	0.0	2.0	False
discussing the basic functions	0.0000000000	0.0	0.0	0.0	2.0	False
basic functions of system	0.0000000000	0.0	0.0	0.0	2.0	False
functions of system startup	0.0000000000	0.0	0.0	0.0	2.0	False
storage we also describe	0.0000000000	0.0	0.0	0.0	2.0	False
describe the basic computer	0.0000000000	0.0	0.0	0.0	2.0	False
computer architecture that makes	0.0000000000	0.0	0.0	0.0	2.0	False
write a functional operating	0.0000000000	0.0	0.0	0.0	2.0	False
system because an operating	0.0000000000	0.0	0.0	0.0	2.0	False
created piece by piece	0.0000000000	0.0	0.0	0.0	2.0	False
portion of the system	0.0000000000	0.0	0.0	0.0	2.0	False
functions in this chapter	0.0000000000	0.0	0.0	0.0	2.0	False
provide a general overview	0.0000000000	0.0	0.0	0.0	2.0	False
components of an operating	0.0000000000	0.0	0.0	0.0	2.0	False
operating system a computer	0.0000000000	0.0	0.0	0.0	2.0	False
system a computer system	0.0000000000	0.0	0.0	0.0	2.0	False
system can be divided	0.0000000000	0.0	0.0	0.0	2.0	False
roughly into four components	0.0000000000	0.0	0.0	0.0	2.0	False
hardware the central processing	0.0000000000	0.0	0.0	0.0	2.0	False
resources for the system	0.0000000000	0.0	0.0	0.0	2.0	False
system the application programs	0.0000000000	0.0	0.0	0.0	2.0	False
programs such as word	0.0000000000	0.0	0.0	0.0	2.0	False
browsers define the ways	0.0000000000	0.0	0.0	0.0	2.0	False
solve users  computing	0.0000000000	0.0	0.0	0.0	0.0	False
users  computing problems	0.0000000000	0.0	0.0	0.0	0.0	False
computing problems the operating	0.0000000000	0.0	0.0	0.0	2.0	False
problems the operating system	0.0000000000	0.0	0.0	0.0	2.0	False
system controls and coordinates	0.0000000000	0.0	0.0	0.0	2.0	False
view a computer system	0.0000000000	0.0	0.0	0.0	2.0	False
computer system as consisting	0.0000000000	0.0	0.0	0.0	2.0	False
data the operating system	0.0000000000	0.0	0.0	0.0	2.0	False
system provides the means	0.0000000000	0.0	0.0	0.0	2.0	False
resources in the operation	0.0000000000	0.0	0.0	0.0	2.0	False
operation of the computer	0.0000000000	0.0	0.0	0.0	4.0	False
computer system an operating	0.0000000000	0.0	0.0	0.0	2.0	False
system an operating system	0.0000000000	0.0	0.0	0.0	2.0	False
similar to a government	0.0000000000	0.0	0.0	0.0	2.0	False
government like a government	0.0000000000	0.0	0.0	0.0	2.0	False
performs no useful function	0.0000000000	0.0	0.0	0.0	2.0	False
