keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
operating JJ administration	0.0000000000	0.0	0.0	0.0	0.0	False
administration in unix	0.5551128818	0.0	0.0	17.9942708333	34.8691750159	False
unix lecture notes	0.5801526718	0.0	0.0	16.99453125	33.2842125151	False
lecture notes pcp	0.7951764497	0.0	0.0	19.984375	95.0977500433	False
system administration plays	0.0000000000	0.0	0.0	0.0	1.58496250072	False
plays a pivotal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system is accessed	0.0000000000	0.0	0.0	0.0	1.58496250072	False
accessed by multiple	0.0000000000	0.0	0.0	0.0	1.58496250072	False
users the primary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
management is assured	0.0000000000	0.0	0.0	0.0	1.58496250072	False
assured of efficiency	0.0000000000	0.0	0.0	0.0	1.58496250072	False
efficiency in utilization	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system s resources	0.0000000000	0.0	0.0	0.0	0.0	False
general user community	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system administrators ensure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system s performance	0.0000000000	0.0	0.0	0.0	0.0	False
performance or service	0.0000000000	0.0	0.0	0.0	1.58496250072	False
availability in linux	0.0000000000	0.0	0.0	0.0	1.58496250072	False
environment with single	0.0000000000	0.0	0.0	0.0	1.58496250072	False
user pc usage	0.0000000000	0.0	0.0	0.0	1.58496250072	False
user also doubles	0.0000000000	0.0	0.0	0.0	1.58496250072	False
discuss in unix	0.0000000000	0.0	0.0	0.0	1.58496250072	False
unix context applies	0.0000000000	0.0	0.0	0.0	1.58496250072	False
applies to linux	0.0000000000	0.0	0.0	0.0	1.58496250072	False
privilege most major	0.0000000000	0.0	0.0	0.0	1.58496250072	False
major administrative tasks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
administrative tasks require	0.0000000000	0.0	0.0	0.0	1.58496250072	False
system administrator operates	0.0000000000	0.0	0.0	0.0	3.16992500144	False
mode with root	0.0000000000	0.0	0.0	2.99921875	4.75488750216	False
privileges these tasks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tasks include starting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
opening an account	0.0000000000	0.0	0.0	0.0	1.58496250072	False
user and giving	0.0000000000	0.0	0.0	0.0	1.58496250072	False
proper working set-up	0.0000000000	0.0	0.0	0.0	1.58496250072	False
working set-up administration	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set-up administration tasks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tasks also involve	0.0000000000	0.0	0.0	0.0	1.58496250072	False
distributing user disk	0.0000000000	0.0	0.0	0.0	1.58496250072	False
user disk space	0.0000000000	0.0	0.0	0.0	1.58496250072	False
taking regular back-ups	0.0000000000	0.0	0.0	0.0	1.58496250072	False
keeping system logs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ensuring secure operations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operations and providing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
providing network services	0.0000000000	0.0	0.0	0.0	1.58496250072	False
services and web	0.0000000000	0.0	0.0	0.0	1.58496250072	False
begin this module	0.0000000000	0.0	0.0	0.0	1.58496250072	False
module by enlisting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
enlisting the tasks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tasks in system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
administration and offering	0.0000000000	0.0	0.0	0.0	1.58496250072	False
unix administration tasks	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tasks most users	0.0000000000	0.0	0.0	0.0	1.58496250072	False
running a set	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of basic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
releases and patches	0.0000000000	0.0	0.0	0.0	1.58496250072	False
done with superuser	0.0000000000	0.0	0.0	0.0	1.58496250072	False
superuser privileges users	0.0000000000	0.0	0.0	0.0	1.58496250072	False
privileges users share	0.0000000000	0.0	0.0	0.0	1.58496250072	False
users share resources	0.0000000000	0.0	0.0	0.0	1.58496250072	False
resources like disk	0.0000000000	0.0	0.0	0.0	1.58496250072	False
space a system	0.0000000000	0.0	0.0	0.0	1.58496250072	False
policy system administration	0.0000000000	0.0	0.0	0.0	1.58496250072	False
administration also helps	0.0000000000	0.0	0.0	0.0	1.58496250072	False
