keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
language its design philosophy	0.0000000000	0.0	0.0	0.0	2.0	False
design philosophy emphasizes code	0.0000000000	0.0	0.0	0.0	2.0	False
philosophy emphasizes code readability	0.0000000000	0.0	0.0	0.0	2.0	False
programmers to express concepts	0.0000000000	0.0	0.0	0.0	2.0	False
concepts in fewer lines	0.0000000000	0.0	0.0	0.0	2.0	False
fewer lines of code	0.0000000000	0.0	0.0	0.0	2.0	False
language provides constructs intended	0.0000000000	0.0	0.0	0.0	2.0	False
intended to enable clear	0.0000000000	0.0	0.0	0.0	2.0	False
small and large scale	0.0000000000	0.0	0.0	0.0	2.0	False
large scale python supports	0.0000000000	0.0	0.0	0.0	2.0	False
scale python supports multiple	0.0000000000	0.0	0.0	0.0	2.0	False
python supports multiple programming	0.0000000000	0.0	0.0	0.0	2.0	False
supports multiple programming paradigms	0.0000000000	0.0	0.0	0.0	2.0	False
imperative and functional programming	0.0000000000	0.0	0.0	0.0	2.0	False
programming or procedural styles	0.0000000000	0.0	0.0	0.0	2.0	False
procedural styles it features	0.0000000000	0.0	0.0	0.0	2.0	False
features a dynamic type	0.0000000000	0.0	0.0	0.0	2.0	False
system and automatic memory	0.0000000000	0.0	0.0	0.0	2.0	False
large and comprehensive standard	0.0000000000	0.0	0.0	0.0	2.0	False
comprehensive standard library python	0.0000000000	0.0	0.0	0.0	2.0	False
standard library python interpreters	0.0000000000	0.0	0.0	0.0	2.0	False
installation on many operating	0.0000000000	0.0	0.0	0.0	2.0	False
allowing python code execution	0.0000000000	0.0	0.0	0.0	2.0	False
wide variety of systems	0.0000000000	0.0	0.0	0.0	2.0	False
systems using third-party tools	0.0000000000	0.0	0.0	0.0	2.0	False
code can be packaged	0.0000000000	0.0	0.0	0.0	2.0	False
allowing for the distribution	0.0000000000	0.0	0.0	0.0	2.0	False
distribution of python-based software	0.0000000000	0.0	0.0	0.0	2.0	False
installation of a python	0.0000000000	0.0	0.0	0.0	2.0	False
reference implementation of python	0.0000000000	0.0	0.0	0.0	2.0	False
free and open-source software	0.0000000000	0.0	0.0	0.0	2.0	False
implementations cpython is managed	0.0000000000	0.0	0.0	0.0	2.0	False
non-profit python software foundation	0.0000000000	0.0	0.0	0.0	2.0	False
python software foundation python	0.0000000000	0.0	0.0	0.0	2.0	False
object-oriented programming and structured	0.0000000000	0.0	0.0	0.0	2.0	False
programming and structured programming	0.0000000000	0.0	0.0	0.0	2.0	False
programming are fully supported	0.0000000000	0.0	0.0	0.0	2.0	False
number of language features	0.0000000000	0.0	0.0	0.0	2.0	False
language features which support	0.0000000000	0.0	0.0	0.0	2.0	False
programming and aspect-oriented programming	0.0000000000	0.0	0.0	0.0	2.0	False
including design by contract	0.0000000000	0.0	0.0	0.0	2.0	False
contract and logic programming	0.0000000000	0.0	0.0	0.0	2.0	False
python uses dynamic typing	0.0000000000	0.0	0.0	0.0	2.0	False
typing and a combination	0.0000000000	0.0	0.0	0.0	2.0	False
combination of reference counting	0.0000000000	0.0	0.0	0.0	2.0	False
garbage collector for memory	0.0000000000	0.0	0.0	0.0	2.0	False
collector for memory management	0.0000000000	0.0	0.0	0.0	2.0	False
management an important feature	0.0000000000	0.0	0.0	0.0	2.0	False
important feature of python	0.0000000000	0.0	0.0	0.0	2.0	False
method and variable names	0.0000000000	0.0	0.0	0.0	2.0	False
variable names during program	0.0000000000	0.0	0.0	0.0	2.0	False
names during program execution	0.0000000000	0.0	0.0	0.0	2.0	False
program execution the design	0.0000000000	0.0	0.0	0.0	2.0	False
design of python offers	0.0000000000	0.0	0.0	0.0	2.0	False
python offers some support	0.0000000000	0.0	0.0	0.0	2.0	False
support for functional programming	0.0000000000	0.0	0.0	0.0	2.0	False
programming in the lisp	0.0000000000	0.0	0.0	0.0	2.0	False
lisp tradition the language	0.0000000000	0.0	0.0	0.0	2.0	False
sets ; and generator	0.0000000000	0.0	0.0	0.0	2.0	False
library has two modules	0.0000000000	0.0	0.0	0.0	2.0	False
implement functional tools borrowed	0.0000000000	0.0	0.0	0.0	2.0	False
tools borrowed from haskell	0.0000000000	0.0	0.0	0.0	2.0	False
standard ml the core	0.0000000000	0.0	0.0	0.0	2.0	False
philosophy of the language	0.0000000000	0.0	0.0	0.0	2.0	False
summarized by the document	0.0000000000	0.0	0.0	0.0	2.0	False
