keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
v.srinivasa rajkumar educational	0.5026150628	0.0	0.0	11.9997919094	15.8496250072	False
rajkumar educational technology	0.5026150628	0.0	0.0	11.9997919094	15.8496250072	False
educational technology i.i.t.delhi	0.5010427529	0.0	0.0	3.99991676378	6.33985000288	False
technology i.i.t.delhi presents	0.5010427529	0.0	0.0	3.99991676378	6.33985000288	False
presents a video	0.5026150628	0.0	0.0	11.9997919094	15.8496250072	False
programming languages lecture	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programming languages today	0.0000000000	0.0	0.0	0.0	1.58496250072	False
elementary concepts broad	0.0000000000	0.0	0.0	0.0	1.58496250072	False
concepts broad classification	0.0000000000	0.0	0.0	0.0	1.58496250072	False
classification of programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
machine a computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call a bare	0.0000000000	0.0	0.0	0.0	1.58496250072	False
piece of hardware	0.0000000000	0.0	0.0	0.0	3.16992500144	False
lot of switches	0.0000000000	0.0	0.0	0.0	1.58496250072	False
connected with complicated	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memory the arithmetic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
consists of switches	0.0000000000	0.0	0.0	0.0	1.58496250072	False
big problem operating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
operating those millions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
millions and millions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
millions of switches	0.0000000000	0.0	0.0	0.0	1.58496250072	False
consists of binary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
consisting of binary	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stored program concept	0.0000000000	1	0.0	0.0	3.16992500144	False
data and instructions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
string and depending	0.0000000000	0.0	0.0	0.0	1.58496250072	False
instruction to execute	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means that programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
interpret certain sequences	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequences of bits	0.0000000000	0.0	0.0	0.0	1.58496250072	False
manipulate some registers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
load into memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
store um load	0.0000000000	0.0	0.0	0.0	1.58496250072	False
load from memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
store into memory	0.0000000000	0.0	0.0	0.0	1.58496250072	False
memory or perform	0.0000000000	0.0	0.0	0.0	1.58496250072	False
perform some arithmetic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call the machine	0.0000000000	0.0	0.0	0.0	1.58496250072	False
language a programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
notation for describing	0.0000000000	0.0	0.0	0.0	3.16992500144	False
algorithms and data	0.3340285019	0.0	0.0	5.99987514566	9.50977500433	False
language to give	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means of representing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
representation of algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
perform your manipulations	0.0000000000	0.0	0.0	0.0	1.58496250072	False
first the first	0.0000000000	0.0	0.0	0.0	3.16992500144	False
data which means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means a sequence	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence of instructions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
regarded as data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
items a sequence	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequence of data	0.0000000000	0.0	0.0	1.99993757283	4.75488750216	False
data items provided	0.0000000000	0.0	0.0	0.0	1.58496250072	False
item as instructions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
instructions by interpreting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
constitutes the data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
constitutes a part	0.0000000000	0.0	0.0	0.0	1.58496250072	False
part an instruction	0.0000000000	0.0	0.0	0.0	1.58496250072	False
high level view	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program in machine	0.0000000000	0.0	0.0	0.0	1.58496250072	False
language a program	0.0000000000	0.0	0.0	0.0	3.16992500144	False
necessarily an algorithm	0.0000000000	0.0	0.0	0.0	1.58496250072	False
