keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
features of mathematics	0.0000000000	0.0	0.0	0.0	1.58496250072	False
science like mathematicians	0.0000000000	0.0	0.0	0.0	1.58496250072	False
scientists use formal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
languages to denote	0.0000000000	0.0	0.0	0.0	1.58496250072	False
components into systems	0.0000000000	0.0	0.0	0.0	1.58496250072	False
systems and evaluating	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tradeoffs among alternatives	0.0000000000	0.0	0.0	0.0	1.58496250072	False
alternatives like scientists	0.0000000000	0.0	0.0	0.0	1.58496250072	False
observe the behavior	0.0000000000	0.0	0.0	0.0	1.58496250072	False
behavior of complex	0.0000000000	0.0	0.0	0.0	1.58496250072	False
predictions the single	0.0000000000	0.0	0.0	0.0	1.58496250072	False
single most important	0.0000000000	0.0	0.0	0.0	1.58496250072	False
scientist is problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem solving problem	0.0000000000	0.0	0.0	0.0	1.58496250072	False
solving problem solving	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem solving means	0.0000000000	0.0	0.0	0.0	1.58496250072	False
means the ability	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ability to formulate	0.0000000000	0.0	0.0	0.0	1.58496250072	False
creatively about solutions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
express a solution	0.0000000000	0.0	0.0	0.0	1.58496250072	False
process of learning	0.0000000000	0.0	0.0	0.0	1.58496250072	False
learning to program	0.0000000000	0.0	0.0	0.0	3.16992500144	False
opportunity to practice	0.0000000000	0.0	0.0	0.0	1.58496250072	False
practice problem solving	0.0000000000	0.0	0.0	0.0	1.58496250072	False
problem solving skills	0.0000000000	0.0	0.0	0.0	1.58496250072	False
python programming language	0.0000000000	0.0	0.0	0.0	1.58496250072	False
language the programming	0.0000000000	0.0	0.0	0.0	1.58496250072	False
learning is python	0.0000000000	0.0	0.0	0.0	1.58496250072	False
languages loosely speaking	0.0000000000	0.0	0.0	0.0	1.58496250072	False
execute programs written	0.0000000000	0.0	0.0	0.0	1.58496250072	False
written in low-level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
run this extra	0.0000000000	0.0	0.0	0.0	1.58496250072	False
extra processing takes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
disadvantage of high-level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
advantages are enormous	0.0000000000	0.0	0.0	0.0	1.58496250072	False
easier to program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
high-level language programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
language programs written	0.0000000000	0.0	0.0	0.0	1.58496250072	False
shorter and easier	0.0000000000	0.0	0.0	0.0	1.58496250072	False
easier to read	0.5048780488	0.0	0.0	1.99961505149	6.33985000288	False
languages are portable	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of computers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
modifications low-level programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs can run	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kind of computer	0.0000000000	0.0	0.0	0.0	3.16992500144	False
rewritten to run	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs are written	0.0000000000	0.0	0.0	0.0	1.58496250072	False
written in high-level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
high-level languages low-level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
languages low-level languages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
applications two kinds	0.0000000000	0.0	0.0	0.0	1.58496250072	False
kinds of programs	0.0000000000	0.0	0.0	0.0	1.58496250072	False
programs process high-level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
process high-level languages	0.0000000000	0.0	0.0	0.0	1.58496250072	False
languages into low-level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
interpreters and compilers	0.0000000000	0.0	0.0	0.0	1.58496250072	False
compilers an interpreter	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reads a high-level	0.0000000000	0.0	0.0	0.0	1.58496250072	False
program and executes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
processes the program	0.0000000000	0.0	0.0	0.0	1.58496250072	False
alternately reading lines	0.0000000000	0.0	0.0	0.0	1.58496250072	False
lines and performing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
