keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
confused with trie	0.0000000000	0.0	0.0	0.0	1.58496250072	False
type of tree	0.0000000000	0.0	0.0	0.0	3.16992500144	False
tree data structure	0.3972422850	0.0	0.0	10.9970321517	28.529325013	False
structure this article	0.0000000000	0.0	0.0	0.0	1.58496250072	False
article needs additional	0.0000000000	0.0	0.0	0.0	1.58496250072	False
citations for verification	0.0000000000	0.0	0.0	0.0	1.58496250072	False
improve this article	0.0000000000	0.0	0.0	0.0	3.16992500144	False
article by adding	0.0000000000	0.0	0.0	0.0	1.58496250072	False
citations to reliable	0.0000000000	0.0	0.0	0.0	3.16992500144	False
reliable sources unsourced	0.0000000000	0.0	0.0	0.0	3.16992500144	False
sources unsourced material	0.0000000000	0.0	0.0	0.0	3.16992500144	False
challenged and removed	0.0000000000	0.0	0.0	0.0	3.16992500144	False
simple unordered tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parent in computer	0.0000000000	0.0	0.0	0.0	1.58496250072	False
widely used abstract	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data type	0.0000000000	0.0	0.0	0.0	3.16992500144	False
data structure implementing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implementing this adt	0.0000000000	0.0	0.0	0.0	1.58496250072	False
adt that simulates	0.0000000000	0.0	0.0	0.0	1.58496250072	False
simulates a hierarchical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
hierarchical tree structure	0.0000000000	0.0	0.0	0.0	1.58496250072	False
value and subtrees	0.0000000000	0.0	0.0	0.0	1.58496250072	False
subtrees of children	0.0000000000	0.0	0.0	0.0	1.58496250072	False
set of linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nodes a tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
collection of nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
data structure consisting	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list of references	0.4488606253	0.0	0.0	5.99884583677	11.094737505	False
references to nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reference is duplicated	0.0000000000	0.0	0.0	0.0	1.58496250072	False
represented and worked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
separately by node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
list of nodes	0.0000000000	0.0	0.0	0.0	3.16992500144	False
list of edges	0.0000000000	0.0	0.0	0.0	1.58496250072	False
edges between nodes	0.0000000000	0.0	0.0	0.0	1.58496250072	False
represent a digraph	0.0000000000	0.0	0.0	0.0	1.58496250072	False
type vs data	0.0000000000	0.0	0.0	0.0	3.16992500144	False
external links definition	0.0000000000	0.0	0.0	2.99950535862	4.75488750216	False
two non-connected parts	0.0000000000	0.0	0.0	0.0	1.58496250072	False
trivially a tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree a tree	0.0000000000	0.0	0.0	3.99950535862	4.75488750216	False
data structure made	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nodes or vertices	0.0000000000	0.0	0.0	0.0	1.58496250072	False
vertices and edges	0.0000000000	0.0	0.0	0.0	1.58496250072	False
cycle the tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
null orempty tree	0.0000000000	1	0.0	0.0	1.58496250072	False
potentially many levels	0.0000000000	0.0	0.0	0.0	1.58496250072	False
levels of additional	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nodes that form	0.0000000000	0.0	0.0	0.0	1.58496250072	False
form a hierarchy	0.0000000000	0.0	0.0	0.0	1.58496250072	False
root the top	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree * parent	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parent the converse	0.0000000000	0.0	0.0	0.0	1.58496250072	False
notion of child	0.0000000000	0.0	0.0	0.0	3.16992500144	False
child * siblings	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parent * descendant	0.0000000000	0.0	0.0	0.0	1.58496250072	False
descendant a node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
reachable by repeated	0.0000000000	0.0	0.0	0.0	3.16992500144	False
proceeding from parent	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parent to child	0.0000000000	0.0	0.0	0.0	1.58496250072	False
child * ancestor	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ancestor a node	0.0000000000	0.0	0.0	0.0	1.58496250072	False
