keyphrase	dispersion	cuewords	tfidf	localspan	cscore	keyword
d	c	c	c	c	c	d
m						class
important nonlinear data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
nonlinear data structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures in computing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
computing trees tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
trees tree structures	0.0000000000	0.0	0.0	0.0	1.58496250072	False
breakthrough in data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
implement a host	0.0000000000	0.0	0.0	0.0	1.58496250072	False
host of algorithms	0.0000000000	0.0	0.0	0.0	1.58496250072	False
algorithms much faster	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linear data structures	0.0000000000	0.0	0.0	0.0	3.16992500144	False
lists or linked	0.0000000000	0.0	0.0	0.0	1.58496250072	False
linked lists trees	0.0000000000	0.0	0.0	0.0	1.58496250072	False
trees also provide	0.0000000000	0.0	0.0	0.0	1.58496250072	False
provide a natural	0.0000000000	0.0	0.0	0.0	1.58496250072	False
organization for data	0.0000000000	0.0	0.0	0.0	1.58496250072	False
structures in file	0.0000000000	0.0	0.0	0.0	1.58496250072	False
graphical user interfaces	0.0000000000	0.0	0.0	0.0	1.58496250072	False
clear what productivity	0.0000000000	0.0	0.0	0.0	1.58496250072	False
trees are nonlinear	0.0000000000	0.0	0.0	0.0	1.58496250072	False
relationships between objects	0.0000000000	0.0	0.0	0.0	1.58496250072	False
objects in sequences	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sequences the relationships	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree are hierarchical	0.0000000000	0.0	0.0	0.0	1.58496250072	False
terminology for tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree data structures	0.0000000000	0.0	0.0	0.0	3.16992500144	False
relationships we show	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tree in figure	0.5173913043	0.0	0.0	4.9986565911	12.6797000058	False
trees 8.1.1 tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
8.1.1 tree definitions	0.0000000000	0.0	0.0	0.0	1.58496250072	False
definitions and properties	0.0000000000	0.0	0.0	0.0	1.58496250072	False
properties a tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
abstract data type	0.5107296137	0.0	0.0	6.99916036944	7.92481250361	False
type that stores	0.0000000000	0.0	0.0	0.0	1.58496250072	False
stores elements hierarchically	0.0000000000	0.0	0.0	0.0	1.58496250072	False
elements a tree	0.0000000000	0.0	0.0	0.0	1.58496250072	False
visualized by placing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
placing elements inside	0.0000000000	0.0	0.0	0.0	1.58496250072	False
elements inside ovals	0.0000000000	0.0	0.0	0.0	1.58496250072	False
ovals or rectangles	0.0000000000	0.0	0.0	0.0	1.58496250072	False
drawing the connections	0.0000000000	0.0	0.0	0.0	1.58496250072	False
connections between parents	0.0000000000	0.0	0.0	0.0	1.58496250072	False
parents and children	0.0000000000	0.0	0.0	0.0	3.16992500144	False
children with straight	0.0000000000	0.0	0.0	0.0	1.58496250072	False
call the top	0.0000000000	0.0	0.0	0.0	1.58496250072	False
element the root	0.0000000000	0.0	0.0	0.0	1.58496250072	False
elements being connected	0.0000000000	0.0	0.0	0.0	1.58496250072	False
africa europe asia	0.0000000000	0.0	0.0	0.0	1.58496250072	False
europe asia australia	0.0000000000	0.0	0.0	0.0	1.58496250072	False
asia australia canada	0.0000000000	0.0	0.0	0.0	1.58496250072	False
canada s america	0.0000000000	0.0	0.0	0.0	1.58496250072	False
america overseas domestic	0.0000000000	0.0	0.0	0.0	1.58496250072	False
overseas domestic international	0.0000000000	0.0	0.0	0.0	1.58496250072	False
tuner r&d sales	0.0000000000	0.0	0.0	0.0	1.58496250072	False
r&d sales purchasing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
sales purchasing manufacturing	0.0000000000	0.0	0.0	0.0	1.58496250072	False
purchasing manufacturing electronics	0.0000000000	0.0	0.0	0.0	1.58496250072	False
representing the organization	0.0000000000	0.0	0.0	0.0	1.58496250072	False
corporation the root	0.0000000000	0.0	0.0	0.0	1.58496250072	False
root stores electronics	0.0000000000	0.0	0.0	0.0	1.58496250072	False
root store r&d	0.0000000000	0.0	0.0	0.0	1.58496250072	False
manufacturing the internal	0.0000000000	0.0	0.0	0.0	1.58496250072	False
